DOMINION BUREAU OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended September 14, 1957, in comparison with the previous week 1, and the 5 year (1952-56) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2,,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. ,,,,,,,,,,,
,,Report Week,Previous Week,Median 1952-56,Cumulative Total 3,,,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week ,Previous Week,Median 1952-56,,,,,,,,,,,,
,,,,,1957,1956,Median 1952-1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chickenpox,114,82,119,27311,26912,28898,..,..,..,..,..,..,-,4,11,..,..,..,29,17,26,63,41,47,6,1,5,..,..,..,..,..,..,16,19,25,1,,,,,,,,,,,
2,Diphtheria,2,4,1,99,71,71,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,2,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,,,,,,,,,,,
3,Dysentery: 4,68,10,13,501,440,455,-,-,-,-,-,-,-,-,-,3,-,-,59,6,..,-,-,2,6,-,-,-,-,-,-,3,-,-,1,3,3,,,,,,,,,,,
4,(a) Amoebic,-,-,-,6,1,4,-,-,-,-,-,-,-,-,-,-,-,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,,,,,,,,,,,
5,(b) Bacillary,68,10,13,495,439,453,-,-,-,-,-,-,-,-,-,3,-,-,59,6,..,-,-,2,6,-,-,-,-,-,-,3,-,-,1,3,5,,,,,,,,,,,
6,"Encephalitis, infectious",1,-,2,24,26,26,-,-,-,..,..,..,-,-,-,-,-,-,..,..,..,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,6,,,,,,,,,,,
7,"Influenza, epidemic",476,543,34,5507,8969,8969,..,..,..,89,201,-,218,201,23,..,..,..,115,-,-,36,28,3,3,3,2,-,-,-,..,..,..,15,110,1,7,,,,,,,,,,,
8,Measles,117,172,150,45662,41809,43969,-,-,1,..,..,..,3,60,6,..,..,..,6,8,29,17,27,39,16,10,4,..,..,..,38,42,23,37,25,25,8,,,,,,,,,,,
9,"Meningitis, Meningococcal",4,6,3,241,212,212,-,4,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,1,1,1,-,-,-,-,..,..,..,1,-,1,9,,,,,,,,,,,
10,Mumps,156,104,153,19819,21951,21951,..,..,..,..,..,..,41,15,6,..,..,..,17,10,..,79,55,67,6,11,6,..,..,..,..,..,..,13,13,16,10,,,,,,,,,,,
11,"Poliomyelitis, epidemic: 4",13,22,129,195,353,1513,-,-,1,-,-,-,-,-,4,1,3,4,3,-,13,3,5,20,-,1,-,1,7,5,4,3,33,1,3,14,11,,,,,,,,,,,
12,(a) With paralysis,6,12,73,113,199,696,-,-,-,-,-,-,-,-,1,-,-,-,1,-,7,2,5,11,-,1,-,(6),4,2,3,-,2,-,2,6,12,,,,,,,,,,,
13,(b) Without paralysis,6,9,42,73,142,461,-,-,1,-,-,-,-,-,-,1,3,4,2,-,4,1,-,9,-,-,-,(6),2,3,1,3,2,1,1,8,13,,,,,,,,,,,
14,Rubella,71,59,46,15617,49138,9118,-,-,-,..,..,..,5,6,2,..,..,..,7,4,2,19,25,19,-,1,-,..,..,..,25,17,8,15,6,14,14,,,,,,,,,,,
15,"Scarlet fever, etc. 5 **",65,64,81,6289,9047,9530,10,-,-,-,4,6,12,34,11,-,-,-,5,2,10,19,13,9,4,3,4,-,-,5,9,7,7,6,1,9,15,,,,,,,,,,,
