DOMINION BUREAU OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended October 12, 1957, in comparison with the previous week 1, and the 5 year (1952-56) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2,,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. ,,,,,,,,,,,
,,Report Week,Previous Week,Median 1952-56,Cumulative Total 3,,,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week ,Previous Week,Median 1952-56,,,,,,,,,,,,
,,,,,1957,1956,Median 1952-1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chickenpox,159,129,350,27830,27678,29985,..,..,..,..,..,..,2,1,11,..,..,..,67,18,68,61,72,87,3,7,14,..,..,..,..,..,..,26,31,51,1,,,,,,,,,,,
2,Diphtheria,1,1,2,107,89,89,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,,,,,,,,,,,
3,Dysentery: 4,12,8,10,544,486,543,-,-,-,-,-,-,-,-,-,-,1,-,2,4,..,-,-,2,4,3,-,-,-,-,-,-,-,6,-,3,3,,,,,,,,,,,
4,(a) Amoebic,-,-,-,7,2,4,-,-,-,-,-,-,-,-,-,-,-,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,,,,,,,,,,,
5,(b) Bacillary,12,8,9,537,484,541,-,-,-,-,-,-,-,-,-,-,1,-,2,4,..,-,-,2,4,3,-,-,-,-,-,-,-,6,-,3,5,,,,,,,,,,,
6,"Encephalitis, infectious",-,-,-,27,39,33,-,-,-,..,..,..,-,-,-,-,-,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,,,,,,,,,,,
7,"Influenza, epidemic",25286,4634,91,45772,9685,9414,*,..,..,122,145,-,804,328,61,*,..,..,-,184,-,1739,1712,2,398,1746,1,-,-,-,..,..,..,22223,519,1,7,,,,,,,,,,,
8,Measles,151,231,319,46448,43002,45380,-,-,1,..,..,..,-,-,6,..,..,..,48,26,73,14,23,84,12,21,7,..,..,..,53,44,8,24,117,31,8,,,,,,,,,,,
9,"Meningitis, Meningococcal",7,11,5,278,231,231,5,7,-,-,-,-,-,-,-,2,2,-,-,-,-,-,1,2,-,-,1,-,-,-,..,..,..,-,1,1,9,,,,,,,,,,,
10,Mumps,65,96,184,20221,22625,22625,..,..,..,..,..,..,2,2,18,..,..,..,10,18,..,30,58,84,12,2,11,..,..,..,..,..,..,11,16,49,10,,,,,,,,,,,
11,"Poliomyelitis, epidemic: 4",6,8,101,249,449,1933,-,-,-,-,-,-,-,-,2,-,-,4,-,1,6,3,1,17,1,-,1,-,2,9,2,2,10,-,2,9,11,,,,,,,,,,,
12,(a) With paralysis,6,6,54,150,259,922,-,-,-,-,-,-,-,-,-,-,-,1,-,1,2,3,1,9,1,-,1,-,1,2,2,1,2,-,1,4,12,,,,,,,,,,,
13,(b) Without paralysis,-,1,37,88,178,569,-,-,-,-,-,-,-,-,-,-,-,3,-,-,2,-,-,7,-,-,-,-,-,6,-,1,-,-,1,5,13,,,,,,,,,,,
14,Rubella,36,60,43,15812,49489,9274,-,-,-,..,..,..,-,-,-,..,..,..,1,6,3,16,17,16,-,1,-,..,..,..,15,19,5,4,17,14,14,,,,,,,,,,,
15,"Scarlet fever, etc. 5 **",113,129,113,6847,9588,9900,14,12,4,2,8,9,66,47,20,1,-,1,7,3,27,11,18,22,-,-,5,-,-,3,5,40,6,7,1,17,15,,,,,,,,,,,
