DOMINION BUREAU OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended November 30, 1957, in comparison with the previous week 1, and the 5 year (1952-56) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2,,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. ,,,,,,,,,,,
,,Report Week,Previous Week,Median 1952-56,Cumulative Total 3,,,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week ,Previous Week,Median 1952-56,,,,,,,,,,,,
,,,,,1957,1956,Median 1952-1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chickenpox,402,385,1004,29896,32861,34463,..,..,..,..,..,..,5,-,46,..,..,..,67,99,271,181,194,421,21,16,59,..,..,..,..,..,..,128,76,132,1,,,,,,,,,,,
2,Diphtheria,5,4,6,137,124,124,3,2,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,-,2,1,-,-,-,-,-,-,-,-,-,-,2,,,,,,,,,,,
3,Dysentery: 4,7,8,10,579,597,648,-,-,-,-,5,-,-,-,-,1,1,-,1,1,..,1,-,3,2,-,-,-,-,-,-,-,-,2,1,3,3,,,,,,,,,,,
4,(a) Amoebic,-,-,-,7,2,4,-,-,-,-,-,-,-,-,-,-,-,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,,,,,,,,,,,
5,(b) Bacillary,7,8,10,572,54,645,-,-,-,-,5,-,-,-,-,1,1,-,1,1,..,1,-,3,2,-,-,-,-,-,-,-,-,2,1,3,5,,,,,,,,,,,
6,"Encephalitis, infectious",-,1,-,31,45,41,-,-,-,..,..,..,-,-,-,-,-,-,..,..,..,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,6,,,,,,,,,,,
7,"Influenza, epidemic",3584,6466,112,168047,10630,9900,*,..,..,194,561,-,206,450,49,..,251,..,-,-,-,-,21,3,2370,5041,2,696,-,-,..,..,..,118,142,-,7,,,,,,,,,,,
8,Measles,224,398,857,47830,48932,52087,-,-,4,..,..,..,34,41,17,..,..,..,43,14,204,39,37,291,20,185,50,..,..,..,68,64,56,20,57,14,8,,,,,,,,,,,
9,"Meningitis, Meningococcal",5,6,5,320,266,266,-,2,-,-,-,-,-,-,-,1,-,-,-,1,-,1,1,2,1,-,-,-,-,-,..,..,..,2,2,2,9,,,,,,,,,,,
10,Mumps,239,239,564,21389,25436,25436,..,..,..,..,..,..,72,3,29,..,..,..,45,98,..,77,99,295,1,3,22,..,..,..,..,..,..,44,36,152,10,,,,,,,,,,,
11,"Poliomyelitis, epidemic: 4",1,2,46,279,564,2305,-,-,-,-,-,-,-,-,1,-,-,-,-,-,3,-,-,2,-,-,1,-,-,3,1,2,3,-,-,5,11,,,,,,,,,,,
12,(a) With paralysis,-,1,22,176,337,1122,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,1,-,1,-,-,-,3,12,,,,,,,,,,,
13,(b) Without paralysis,1,1,11,91,215,676,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,2,1,1,-,-,-,1,13,,,,,,,,,,,
14,Rubella,55,42,125,16075,50846,9745,-,-,-,..,..,..,-,-,3,..,..,..,3,4,10,7,8,33,1,1,1,..,..,..,39,27,12,5,2,13,14,,,,,,,,,,,
15,"Scarlet fever, etc. 5 **",166,104,221,7856,10917,10920,8,8,4,9,2,11,117,39,32,1,-,4,4,7,54,8,22,71,1,6,11,-,5,3,16,13,22,2,2,17,15,,,,,,,,,,,
