DOMINION BUREAU OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended December 7, 1957, in comparison with the previous week 1, and the 5 year (1952-56) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2,,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. ,,,,,,,,,,,
,,Report Week,Previous Week,Median 1952-56,Cumulative Total 3,,,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week ,Previous Week,Median 1952-56,,,,,,,,,,,,
,,,,,1957,1956,Median 1952-1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chickenpox,646,402,1107,30542,33742,35220,..,..,..,..,..,..,13,5,72,..,..,..,152,67,255,312,181,425,15,21,52,..,..,..,..,..,..,154,120,154,1,,,,,,,,,,,
2,Diphtheria,4,5,7,141,131,131,1,3,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,3,2,-,-,-,-,-,-,-,-,-,-,2,,,,,,,,,,,
3,Dysentery: 4,17,7,9,596,602,660,3,-,-,1,-,-,-,-,-,-,1,-,..,1,..,1,1,3,-,2,-,5,-,1,1,-,1,6,2,2,3,,,,,,,,,,,
4,(a) Amoebic,-,-,-,7,2,4,-,-,-,-,-,-,-,-,-,-,-,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,,,,,,,,,,,
5,(b) Bacillary,17,7,9,589,599,657,3,-,-,1,-,-,-,-,-,-,1,-,..,1,..,1,1,3,-,2,-,5,-,1,1,-,-,6,2,2,5,,,,,,,,,,,
6,"Encephalitis, infectious",-,-,2,31,45,41,-,-,-,..,..,..,-,-,-,-,-,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,,,,,,,,,,,
7,"Influenza, epidemic",820,3598,85,168881,10726,9954,*,..,..,277,194,-,392,206,45,..,..,..,-,-,-,32,14,1,62,2370,1,-,696,-,..,..,..,57,118,-,7,,,,,,,,,,,
8,Measles,385,224,887,48215,50033,53251,**,-,3,..,..,..,47,34,45,..,..,..,78,43,181,71,39,313,33,20,31,..,..,..,103,68,50,53,20,76,8,,,,,,,,,,,
9,"Meningitis, Meningococcal",4,5,5,324,269,269,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,2,1,1,-,-,-,-,..,..,..,1,2,1,9,,,,,,,,,,,
10,Mumps,330,239,701,21719,26039,26039,..,..,..,..,..,..,30,72,18,..,..,..,102,45,..,127,77,311,12,1,22,..,..,..,..,..,..,59,44,145,10,,,,,,,,,,,
11,"Poliomyelitis, epidemic: 4",1,1,10,280,566,2331,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,1,-,-,3,-,1,3,-,-,4,11,,,,,,,,,,,
12,(a) With paralysis,1,-,4,177,339,1132,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,1,-,-,-,-,-,-,-,-,1,12,,,,,,,,,,,
13,(b) Without paralysis,-,1,6,91,215,689,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,3,13,,,,,,,,,,,
14,Rubella,105,55,143,16180,51097,9888,-,-,-,..,..,..,8,-,3,..,..,..,2,3,3,20,7,25,-,1,-,..,..,..,31,39,21,44,5,10,14,,,,,,,,,,,
15,"Scarlet fever, etc. 5 **",185,167,245,8042,11117,11117,15,8,4,11,9,12,99,117,9,-,1,2,15,4,51,26,9,67,5,1,13,-,-,20,3,16,18,11,2,26,15,,,,,,,,,,,
