DOMINION BUREAU OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended January 25, 1958, in comparison with the previous week 1, and the 5 year (1953-57) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2,,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. ,,,,,,,,,,,
,,Report Week,Previous Week,Median 1953-57,Cumulative Total 3,,,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,,,,,,,,,,,,
,,,,,1958,1957,Median 1953-1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chickenpox,810,786,1345,3417,4137,4849,..,..,..,..,8,..,4,34,65,..,..,..,194,268,322,392,286,698,27,11,28,..,..,..,..,..,..,193,179,131,1,,,,,,,,,,,
2,Diphtheria,1,1,5,2,19,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,2,,,,,,,,,,,
3,Dysentery: 4,8,15,14,52,50,50,-,-,-,7,1,-,-,-,-,-,-,-,1,7,..,-,-,2,-,-,-,-,3,-,-,-,-,-,4,6,3,,,,,,,,,,,
4,(a) Amoebic,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,,,,,,,,,,,
5,(b) Bacillary,8,15,13,52,49,49,-,-,-,7,1,-,-,-,-,-,-,-,1,7,..,-,-,2,-,-,-,-,3,-,-,-,-,-,4,6,5,,,,,,,,,,,
6,"Encephalitis, infectious",-,-,1,-,1,2,-,-,-,..,..,..,-,-,-,-,-,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,,,,,,,,,,,
7,"Influenza, epidemic",137,223,241,683,358,535,*,..,..,52,57,27,49,140,55,..,..,..,-,-,-,35,20,2,1,4,1,-,-,-,..,..,..,-,2,1,7,,,,,,,,,,,
8,Measles,391,480,1765,1775,6541,6541,**,-,12,..,..,..,40,93,84,..,..,..,84,65,265,110,111,603,55,32,65,..,..,..,80,160,105,22,19,195,8,,,,,,,,,,,
