DOMINION BUREAU OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended February 1, 1958, in comparison with the previous week 1, and the 5 year (1953-57) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2,,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. ,,,,,,,,,,,
,,Report Week,Previous Week,Median 1953-57,Cumulative Total 3,,,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,,,,,,,,,,,,
,,,,,1958,1957,Median 1953-1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chickenpox,741,810,1284,4158,5008,6133,..,..,..,..,..,..,8,4,48,..,..,..,175,194,363,379,392,557,26,27,34,..,..,..,..,..,..,153,193,179,1,,,,,,,,,,,
2,Diphtheria,4,1,2,7,21,17,3,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,2,,,,,,,,,,,
3,Dysentery: 4,6,8,11,58,54,54,-,-,-,1,7,-,-,-,-,-,-,-,..,1,..,-,-,8,-,-,-,1,-,-,-,-,1,4,-,6,3,,,,,,,,,,,
4,(a) Amoebic,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,4,,,,,,,,,,,
5,(b) Bacillary,5,8,11,57,53,54,-,-,-,1,7,-,-,-,-,-,-,-,..,1,..,-,-,8,-,-,-,1,-,-,-,-,1,3,-,6,5,,,,,,,,,,,
6,"Encephalitis, infectious",-,-,1,-,1,2,-,-,-,..,..,..,-,-,-,-,-,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,,,,,,,,,,,
7,"Influenza, epidemic",196,147,130,889,448,777,..,..,..,72,52,26,71,49,30,..,..,..,-,-,-,32,45,16,21,1,2,-,-,-,..,..,..,-,-,3,7,,,,,,,,,,,
8,Measles,574,391,1717,2349,8632,8303,-,-,9,..,..,..,138,40,58,..,..,..,59,84,294,114,110,541,83,55,100,..,..,..,129,80,86,51,22,314,8,,,,,,,,,,,
