DOMINION BUREAU OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended February  22, 1958, in comparison with the previous week 1, and the 5 year (1953-57) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2,,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. ,,,,,,,,,,,
,,Report Week,Previous Week,Median 1953-57,Cumulative Total 3,,,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,,,,,,,,,,,,
,,,,,1958,1957,Median 1953-1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chickenpox,822,898,1199,5928,8384,9914,..,..,..,..,..,..,12,6,..,..,..,..,166,146,226,437,507,592,16,20,31,..,..,..,..,..,..,191,219,186,1,,,,,,,,,,,
2,Diphtheria,5,-,1,13,35,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,2,,,,,,,,,,,
3,Dysentery: 4,8,7,13,79,402,144,2,-,-,1,2,1,-,-,-,-,-,-,2,1,1,1,-,-,-,2,-,2,1,-,-,-,-,-,1,4,3,,,,,,,,,,,
4,(a) Amoebic,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,,,,,,,,,,,
5,(b) Bacillary,8,7,13,78,402,143,2,-,-,1,2,1,-,-,-,-,-,-,2,1,1,1,-,-,-,2,-,2,1,-,-,-,-,-,1,4,5,,,,,,,,,,,
6,"Encephalitis, infectious",-,-,-,2,1,4,-,-,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,,,,,,,,,,,
7,"Influenza, epidemic",323,258,144,1843,691,1470,..,..,..,103,66,39,207,100,67,..,..,..,-,-,-,7,78,4,6,14,1,-,-,-,..,..,..,-,-,-,7,,,,,,,,,,,
8,Measles,677,822,1941,4451,14736,13725,*,-,1,..,..,..,215,366,..,..,..,..,80,100,385,163,123,560,46,69,118,..,..,..,96,115,107,77,49,144,8,,,,,,,,,,,
