DOMINION BUREAU OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended July 12, 1958, in comparison with the previous week 1, and the 5 year (1953-57) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2,,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. ,,,,,,,,,,,
,,Report Week,Previous Week,Median 1953-57,Cumulative Total 3,,,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,,,,,,,,,,,,
,,,,,1958,1957,Median 1953-1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chickenpox,321,365,340,19298,26105,26105,..,..,..,..,..,..,110,10,27,..,..,..,31,31,41,128,240,130,15,21,16,..,..,..,8,3,..,29,60,70,1,,,,,,,,,,,
2,Diphtheria,-,-,-,32,69,57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,,,,,,,,,,,
3,Dysentery: 4,16,14,23,292,843,653,-,-,-,-,-,-,-,-,-,-,3,-,-,-,1,-,2,1,1,2,-,-,-,-,-,-,-,15,7,6,3,,,,,,,,,,,
4,(a) Amoebic,-,-,-,5,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,,,,,,,,,,,
5,(b) Bacillary,16,14,23,287,841,647,-,-,-,-,-,-,-,-,-,-,3,-,-,-,1,-,2,1,1,2,-,-,-,-,-,-,-,15,7,6,5,,,,,,,,,,,
6,"Encephalitis, infectious",-,-,1,11,11,13,-,-,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,6,,,,,,,,,,,
7,"Influenza, epidemic",327,112,69,4715,2872,8183,..,..,..,23,25,30,304,66,25,..,..,..,-,-,-,-,-,-,-,-,2,-,-,-,..,21,..,-,-,-,7,,,,,,,,,,,
8,Measles,708,778,564,21951,43508,41633,*,-,1,6,8,..,77,61,10,..,..,..,128,156,135,373,408,219,27,16,11,..,..,..,69,35,62,28,94,94,8,,,,,,,,,,,
