DOMINION BUREAU OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended August 9, 1958, in comparison with the previous week 1, and the 5 year (1953-57) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2,,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. ,,,,,,,,,,,
,,Report Week,Previous Week,Median 1953-57,Cumulative Total 3,,,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week ,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,,,,,,,,,,,,
,,,,,1958,1957,Median 1953-1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chickenpox,263,132,133,20155,26784,26784,..,..,..,..,..,..,1,12,7,..,..,..,158,12,24,57,61,46,19,17,10,..,..,..,..,..,..,28,32,22,1,,,,,,,,,,,
2,Diphtheria,-,1,1,33,81,66,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,,,,,,,,,,,
3,Dysentery: 4,17,29,21,389,875,717,-,-,-,1,3,-,-,-,-,-,-,-,3,8,2,1,1,2,4,1,-,-,-,-,-,1,-,8,15,14,3,,,,,,,,,,,
4,(a) Amoebic,-,2,-,8,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,4,,,,,,,,,,,
5,(b) Bacillary,17,27,21,381,873,705,-,-,-,1,3,-,-,-,-,-,-,-,3,8,2,1,1,2,4,1,-,-,-,-,-,1,-,8,13,14,5,,,,,,,,,,,
6,"Encephalitis, infectious",-,-,1,12,17,17,-,-,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,,,,,,,,,,,
7,"Influenza, epidemic",41,81,67,5126,3240,8550,..,..,..,28,29,25,-,43,14,..,..,..,-,-,-,-,-,2,-,1,-,-,-,-,..,..,..,13,8,-,7,,,,,,,,,,,
8,Measles,310,293,259,23453,44780,43078,*,-,-,9,..,..,6,31,12,..,..,..,50,59,61,190,151,66,27,13,8,..,..,..,18,23,53,10,16,37,8,,,,,,,,,,,
