DOMINION BUREAU OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended September 13, 1958, in comparison with the previous week 1, and the 5 year (1953-57) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2,,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. ,,,,,,,,,,,
,,Report Week,Previous Week,Median 1953-57,Cumulative Total 3,,,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week ,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,,,,,,,,,,,,
,,,,,1958,1957,Median 1953-1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chickenpox,98,81,118,20583,27251,27251,..,..,..,..,..,..,-,-,11,..,..,..,5,41,29,58,24,47,7,6,5,..,..,..,..,..,..,28,10,18,1,,,,,,,,,,,
2,Diphtheria,1,1,1,36,104,71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,2,,,,,,,,,,,
3,Dysentery: 4,47,35,13,593,980,791,-,-,-,-,8,-,-,-,-,-,-,-,10,5,2,6,4,2,3,1,1,1,-,-,2,2,-,25,15,3,3,,,,,,,,,,,
4,(a) Amoebic,-,-,-,9,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,,,,,,,,,,,
5,(b) Bacillary,47,35,13,584,976,772,-,-,-,-,8,-,-,-,-,-,-,-,10,5,2,6,4,2,3,1,1,1,-,-,2,2,-,25,15,3,5,,,,,,,,,,,
6,"Encephalitis, infectious",3,4,2,21,23,25,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,1,-,3,-,-,1,-,-,-,-,6,,,,,,,,,,,
7,"Influenza, epidemic",114,66,54,5550,6773,8969,..,..,..,33,..,..,74,38,24,..,1,..,1,-,-,-,-,4,1,2,2,-,-,-,..,..,..,5,-,1,7,,,,,,,,,,,
8,Measles,549,116,150,24670,45652,43969,-,-,-,..,25,25,18,2,6,..,..,..,13,32,29,93,70,34,382,-,4,..,..,..,21,12,24,22,-,25,8,,,,,,,,,,,
