DOMINION BUREAU OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended October 11, 1958, in comparison with the previous week 1, and the 5 year (1953-57) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2,,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. ,,,,,,,,,,,
,,Report Week,Previous Week,Median 1953-57,Cumulative Total 3,,,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week ,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,,,,,,,,,,,,
,,,,,1958,1957,Median 1953-1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chickenpox,113,153,212,21059,27766,27766,*,..,..,..,..,..,3,3,3,..,..,..,28,28,67,36,86,71,11,1,11,..,..,..,..,..,..,35,35,51,1,,,,,,,,,,,
2,Diphtheria,6,-,3,45,110,89,6,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,,,,,,,,,,,
3,Dysentery: 4,30,37,12,777,1023,840,-,-,-,-,2,-,-,-,-,-,-,-,3,1,1,2,7,1,2,3,-,2,-,-,2,5,-,19,19,6,3,,,,,,,,,,,
4,(a) Amoebic,-,-,-,9,5,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,,,,,,,,,,,
5,(b) Bacillary,30,37,12,767,1018,816,-,-,-,-,2,-,-,-,-,-,-,-,3,1,1,2,7,1,2,3,-,2,-,-,2,5,-,19,19,6,5,,,,,,,,,,,
6,"Encephalitis, infectious",1,-,-,23,26,33,-,-,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,6,,,,,,,,,,,
7,"Influenza, epidemic",19,103,118,5838,53506,9685,..,..,..,9,65,19,8,37,64,..,..,..,-,-,-,-,-,2,2,-,1,-,-,-,..,..,..,-,1,1,7,,,,,,,,,,,
8,Measles,321,281,301,25857,46466,45380,**,-,-,..,..,..,21,30,11,..,..,..,28,22,73,110,129,40,30,10,7,..,..,..,49,43,11,83,47,31,8,,,,,,,,,,,
