DOMINION BUREAU OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended November 1, 1958, in comparison with the previous week 1, and the 5 year (1953-57) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2,,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. ,,,,,,,,,,,
,,Report Week,Previous Week,Median 1953-57,Cumulative Total 3,,,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,,,,,,,,,,,,
,,,,,1958,1957,Median 1953-1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chickenpox,351,341,481,21921,28508,29427,..,..,..,..,..,..,8,48,17,..,..,..,42,73,125,216,138,196,11,10,23,..,..,..,..,..,..,74,72,84,1,,,,,,,,,,,
2,Diphtheria,6,-,3,54,123,103,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,2,,,,,,,,,,,
3,Dysentery: 4,47,31,7,892,1035,885,-,-,-,-,-,-,-,-,-,-,-,-,15,3,2,4,8,3,-,1,1,-,1,-,7,1,-,21,17,2,3,,,,,,,,,,,
4,(a) Amoebic,-,-,-,9,5,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,,,,,,,,,,,
5,(b) Bacillary,47,31,7,882,1030,855,-,-,-,-,-,-,-,-,-,-,-,-,15,3,-,4,8,3,-,1,1,-,1,-,7,1,-,21,17,2,5,,,,,,,,,,,
6,"Encephalitis, infectious",1,-,-,24,28,35,1,-,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,,,,,,,,,,,
7,"Influenza, epidemic",160,114,121,6226,143482,9939,..,..,..,61,30,56,97,74,60,..,..,..,-,-,-,1,-,2,1,8,2,-,-,-,..,..,..,-,2,-,7,,,,,,,,,,,
8,Measles,645,846,463,27839,46828,46828,-,350,-,..,..,..,151,35,9,..,..,..,28,49,47,346,272,94,10,7,21,..,..,..,27,41,27,83,92,59,8,,,,,,,,,,,
