DOMINION BUREAU OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended November 22, 1958, in comparison with the previous week 1, and the 5 year (1953-57) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2 (9),,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. ,,,,,,,,,,,
,,Report Week,Previous Week,Median 1953-57,Cumulative Total 3,,,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week (9),Previous Week (9),Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,,,,,,,,,,,,
,,,,,1958,1957,Median 1953-1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chickenpox,394,358,774,23004,29467,31836,*,..,..,7,6,..,2,11,35,..,..,..,-,-,245,251,162,317,40,30,44,..,..,..,..,..,..,94,149,108,1,,,,,,,,,,,
2,Diphtheria,1,-,4,56,129,118,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,2,,,,,,,,,,,
3,Dysentery: 4,33,24,19,978,1051,934,-,-,-,-,-,-,-,3,-,1,-,-,-,-,1,8,10,3,3,-,-,-,-,-,-,2,-,21,9,8,3,,,,,,,,,,,
4,(a) Amoebic,-,-,-,9,5,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,,,,,,,,,,,
5,(b) Bacillary,33,24,19,968,1046,904,-,-,-,-,-,-,-,3,-,1,-,-,-,-,1,8,10,3,3,-,-,-,-,-,-,2,-,21,9,8,5,,,,,,,,,,,
6,"Encephalitis, infectious",1,-,1,25,30,39,-,-,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,6,,,,,,,,,,,
7,"Influenza, epidemic",103,95,131,6597,247163,10371,**,..,..,88,47,20,-,39,106,2,..,..,-,-,-,1,-,3,12,1,-,-,-,-,..,..,..,-,8,6,7,,,,,,,,,,,
8,Measles,849,875,722,30229,47637,47637,***,-,7,..,..,..,22,82,41,..,..,..,-,-,130,698,513,176,34,23,66,..,..,..,39,177,64,56,78,104,8,,,,,,,,,,,
9,"Meningitis, Meningococcal",4,1,4,261,303,269,1,1,-,-,-,-,-,-,-,-,-,1,-,-,1,2,-,1,-,-,-,-,-,-,..,..,..,1,-,1,9,,,,,,,,,,,
10,Mumps,219,204,580,11174,21131,24204,..,..,..,6,..,..,-,15,14,..,..,..,-,-,98,151,142,202,34,6,13,..,..,..,..,..,..,28,41,82,10,,,,,,,,,,,
11,"Poliomyelitis, epidemic: 4",1,3,21,278,265,979,-,-,1,-,-,-,-,-,-,-,-,-,-,-,7,-,1,2,1,1,-,-,-,1,-,1,9,-,-,1,11,,,,,,,,,,,
12,(a) With paralysis,1,3,16,214,167,524,-,-,1,-,-,-,-,-,-,-,-,-,-,-,4,-,1,1,1,1,-,-,-,-,-,1,2,-,-,1,12,,,,,,,,,,,
13,(b) Without paralysis,-,-,5,64,92,366,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,3,-,-,-,13,,,,,,,,,,,
14,Rubella,69,77,46,7230,16176,16176,-,-,-,..,..,..,..,3,..,..,..,.,-,-,6,39,33,13,4,2,1,..,..,..,13,16,12,13,23,16,14,,,,,,,,,,,
15,"Scarlet fever, etc. 5 **",289,314,242,8994,7713,10711,12,19,8,4,7,5,3,55,38,1,4,1,-,-,36,64,54,46,89,50,9,16,45,7,9,15,21,91,65,15,15,,,,,,,,,,,
16,Smallpox,-,-,-,-,-,-,-,-,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,,,,,,,,,,,
17,"Tuberculosis: 4,6",78,98,183,6436,7232,8906,5,9,3,-,1,1,-,-,2,6,26,4,-,-,73,21,24,25,4,9,19,-,4,9,19,15,23,23,10,27,17,,,,,,,,,,,
18,(a) Pulmonary,52,68,148,5015,5582,7350,5,9,3,-,1,-,-,-,2,6,26,4,-,-,70,(7),(7),(7),4,8,19,-,4,9,18,13,21,19,7,26,18,,,,,,,,,,,
19,(b) Non-pulmonary,5,6,7,470,460,500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,(7),(7),(7),-,1,-,-,-,-,1,2,2,4,3,2,19,,,,,,,,,,,
20,Typhoid and paratyphoid,-,2,8,274,263,419,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,1,-,-,-,-,-,-,-,-,-,-,-,1,1,20,,,,,,,,,,,
21,Undulant fever,1,1,1,92,117,119,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,..,..,..,-,-,-,21,,,,,,,,,,,
22,Venereal diseases:,301,348,341,15113,14868,15196,5,7,6,-,-,2,5,10,8,6,10,4,60,62,66,39,54,62,38,46,34,23,44,28,46,63,58,79,52,70,22,,,,,,,,,,,
23,"(a) Syphilis, primary",3,3,1,105,136,136,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,1,-,1,1,-,23,,,,,,,,,,,
24,(b) '' secondary,4,2,1,74,42,49,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,-,1,2,-,-,-,-,24,,,,,,,,,,,
25,(c) '' other,38,36,45,1684,1870,2066,1,-,1,-,-,-,-,4,1,3,2,-,8,11,17,8,8,12,1,2,1,2,1,2,10,3,2,5,5,-,25,,,,,,,,,,,
26,(d) Gonorrhoea,256,307,291,13208,12808,13219,4,7,5,-,-,1,4,6,8,3,8,4,51,51,43,30,46,45,37,44,33,20,42,28,34,57,58,73,46,69,26,,,,,,,,,,,
27,(e) Other venereal diseases 8,-,-,-,6,12,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,,,,,,,,,,,
28,Whooping cough,109,131,240,6114,6888,8487,1,-,-,7,15,4,-,2,10,-,1,2,-,-,10,91,77,68,-,-,4,-,-,3,4,18,24,6,18,23,28,,,,,,,,,,,
