DOMINION BUREAU OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended December 13, 1958, in comparison with the previous week 1, and the 5 year (1953-57) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2 (9),,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. ,,,,,,,,,,,
,,Report Week,Previous Week,Median 1953-57,Cumulative Total 3,,,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week (9),Previous Week (9),Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week (10),Previous Week,Median 1953-57,Report Week (10),Previous Week,Median 1953-57,,,,,,,,,,,,
,,,,,1958,1957,Median 1953-1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chickenpox,522,545,1087,24569,31027,34696,..,..,..,7,4,..,39,17,27,..,..,..,-,-,322,260,269,438,12,33,42,..,..,..,..,..,..,204,222,128,1,,,,,,,,,,,
2,Diphtheria,-,-,3,61,137,134,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,,,,,,,,,,,
3,Dysentery: 4,22,14,12,1069,1084,1015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,12,11,1,-,-,2,-,-,-,-,-,-,10,3,2,3,,,,,,,,,,,
4,(a) Amoebic,-,-,-,9,6,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,,,,,,,,,,,
5,(b) Bacillary,22,14,12,1059,1078,983,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,12,11,1,-,-,2,-,-,-,-,-,-,10,3,2,5,,,,,,,,,,,
6,"Encephalitis, infectious",-,-,1,25,31,41,-,-,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,,,,,,,,,,,
7,"Influenza, epidemic",103,139,122,6977,253607,10858,..,..,..,79,63,48,8,72,62,1,..,..,-,-,-,-,2,3,8,1,2,-,-,-,..,..,..,7,1,-,7,,,,,,,,,,,
8,Measles,646,968,1059,32810,48592,51593,*,-,1,..,..,..,13,58,10,..,..,..,-,-,167,399,689,258,11,14,37,..,..,..,-,62,115,223,145,99,8,,,,,,,,,,,
