1285,1345,1358,6134,5393,7499,6,5,4,-,-,6,54,65,52,1,-,1,436,329,221,539,698,586,30,15,43,..,2,68,..,..,95,219,231,151,1
1,5,1,19,18,18,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,-,-,-,-,-,-,-,1,-,-,1,-,-,1,-,2
10,9,10,55,34,57,-,-,-,-,-,-,-,-,-,..,..,..,..,..,1,-,2,2,-,1,1,-,-,-,1,-,-,9,6,2,3
-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,..,..,..,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
10,9,10,55,34,53,-,-,-,-,-,-,-,-,-,..,..,..,..,..,1,-,2,2,-,1,1,-,-,-,1,-,-,9,6,2,5
-,1,-,2,1,3,-,-,-,..,..,..,-,-,-,-,-,-,..,..,..,..,..,..,-,-,-,-,-,-,-,1,-,-,-,-,6
115,482,161,1017,6930,777,..,..,..,6,85,..,104,73,65,-,-,1,-,6,-,1,2,14,2,2,3,-,-,5,..,..,..,2,314,14,7
1717,1779,2085,8303,6572,8281,10,49,10,13,20,-,102,87,70,-,-,1,446,386,235,985,954,594,62,49,145,5,19,23,57,105,56,37,110,223,8
3,3,9,36,42,31,-,-,-,..,..,..,-,-,-,2,-,1,-,-,-,-,-,3,1,-,-,-,2,-,..,..,..,-,1,1,9
1084,1007,917,4537,3597,5201,-,-,3,15,14,5,11,1,29,-,-,2,283,136,164,520,639,462,33,41,37,..,4,64,..,..,25,222,172,184,10
7,-,3,14,21,21,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,1,1,-,1,-,-,-,2,-,-,2,-,2,11
5,-,3,8,16,16,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,1,1,-,1,-,-,-,1,-,-,1,-,-,12
2,-,2,3,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,13
1242,1365,266,5164,1069,1083,-,5,-,..,..,..,36,46,10,..,..,..,832,851,20,229,300,139,2,1,1,1,1,5,33,27,27,109,134,49,14
342,329,441,1474,1081,1785,1,6,3,11,4,7,35,10,2,1,1,1,62,88,84,169,146,66,7,9,20,2,-,26,29,33,93,25,32,80,15
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
171,190,202,846,774,986,3,4,5,1,1,1,3,3,3,24,2,6,55,101,73,22,15,28,8,9,11,8,14,12,20,18,20,27,23,28,17
138,165,147,713,613,760,3,4,4,-,1,1,3,3,3,24,2,6,54,96,70,(6),(6),(6),8,9,11,7,12,8,15,15,20,24,23,25,18
10,10,10,36,48,46,-,-,-,1,-,-,-,-,-,-,-,-,1,5,3,(6),(6),(6),-,-,-,-,2,1,5,3,1,3,-,3,19
12,5,8,44,19,42,1,-,-,-,-,-,-,-,-,-,-,1,1,2,3,1,2,1,-,-,-,-,-,-,-,1,-,9,-,-,20
6,4,2,18,7,9,-,-,-,-,-,-,-,-,-,..,..,..,4,2,1,1,1,-,1,-,-,-,-,-,..,1,..,-,-,-,21
379,379,314,1707,1846,1846,9,20,9,2,-,-,17,5,14,2,4,7,74,105,88,58,48,60,29,30,22,22,23,20,77,66,46,89,78,40,22
2,4,4,17,14,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,1,-,1,-,1,1,-,-,1,-,-,1,-,23
-,2,4,9,4,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,2,-,-,-,1,-,-,-,24
40,49,58,155,244,250,4,1,1,-,-,-,3,1,4,1,1,3,18,28,16,8,9,10,-,2,3,4,4,3,-,3,1,2,-,3,25
337,324,254,1526,1583,1562,5,19,6,2,-,-,14,4,7,1,3,3,56,77,67,49,39,42,29,27,21,17,16,18,77,62,45,87,77,37,26
-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27
227,219,199,897,1959,1021,1,27,-,14,16,-,3,1,6,2,-,2,77,88,54,58,52,51,14,2,8,4,11,4,13,5,11,41,17,30,28
