645,592,806,"29,361","26,719","36,147",-,-,4,-,-,1,2,27,27,1.2,A.P.,1,144,265,165,320,139,312,23,53,31,9.3,R.P.,18,A.9.,..,9,156,108,95,1,FILLER
11,2,7,91,92,129,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,-,1,-,11,-,-,-,-,-,-,-,-,-,I,I,2,FILLER
7,5,17,523,591,591,-,-,-,-,-,-,-,-,-,3,,,,,6,4,-,2,-,-,-,-,-,-,-,-,-,-,5.,8,3,FILLER
1,F,-,2,2,18,-,-,-,-,-,-,-,-,-,,,,,,,-,-,-,-,-,-,-,-,-,-,=,-,-,I:,if,4,FILLER
7,5,17,521,589,589,-,-,-,-,-,-,-,-,-,3,,,,,1,4,-,2,-,-,-,=,-,-,1,-,-,a,5,8.,5,FILLER
 infectious,-,-,-,40,28,35,-,-,-,..A,*...,9.A,-,-,-,-,-,-,,,,,R.R,...,-,-,-,-,-,-,-,-,-,-,-,-,6
 epidemic,71,49,31,"9,873","37,457","9,580",....,..,A..,57,22,-,10,26,31,...,...,P..,-,-,-,2,1,4,2,-,-,-,-,-,,,,-,-,2,7
724,522,593,"44,925","47,514","49,677",-,-,3,.A,R.P.,1,1,7,12,...,a.a,1,179,179,103,362,172,106,21,19,26,....,,27,43,69,... 51,118,76,68,8,FILLER
 meningococcal,5,7,5,254,259,250,3,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,2,2,I,I,I,-,-,,,1,,-,3,-,9
352,292,509,"23,484","22,354","30,327",-,-,2,..A,A...,5,2,8,17,....,...,,41,38,110,208,126,259,11,12,21,....,,7,... R.A,,10,90,108,52,10,FILLER
 epidemic:⁴,17,22,63,512,936,"2,413",-,-,-,-,1,-,-,-,-,-,1,-,5,6,6,4,8,8,1,2,5,-,-,11,5,2,13,2,2,5,11
9,18,32,290,495,"1,052",-,-,-,-,1,-,-,-,-,-,1,-,1,5,6,1,6,3,1,2,4,-,-,1,5,1,-,1,2,5,12,FILLER
5,3,21,179,354,"1,258",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,3,2,5.,-,-,1,-,-,1,I,1,-,1,-,1,13,FILLER
237,155,46,"50,185","18,003","9,431",-,-,-,,,,-,4,2,,,a.e,116,30,9,44,24,11,1:,,E,,a.e.,1,27.,15,10,50,82,11,14,FILLER
 etc.⁵,122,195,320,"10,048","7,610","10,939",8,3,3,9,16,6,14,32,12,-,-,1,27.,43,78,32,48,68,1,2,16,-,-,13,15,21,28,16,30,39,15
-,-,-,-,-,-,-,-,-,..A,...,.A,I,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,I,-,-,16,FILLER
218,138,222,"7,666","8,716","8,951",9,3,6,2,4,2,2,-,2,8,18,22,77,49,104,35,12,27,15,13,18,5,8,8,32,14,21,33,17,23,17,FILLER
177,124,194,"6,255","6,922","7,273",9,3,6,1,4,-,2,-,1,8,18,22,76,47,103,(6),(6),(6),15,13,18,5,8,6,31,14,21,30,17,22,18,FILLER
6,2,14,452,498,463,-,-,-,1,-,1,-,-,-,-,-,-,1,2,1,(6),(6),(6),-,-,-,-,-,2,1,,1,3,-,3,19,FILLER
12,13,9,397,340,405,-,-,-,-,-,-,-,-,-,-,-,-,10,4,7,2,4,1,-,-,-,-,-,-,I,2,-,-,3,-,20,FILLER
5,3,1,123,109,115,-,-,-,-,-,-,-,-,-,-,-,-,4,3,..,1,-,-,-,-,-,-,-,-,R.A,,..A,-,-,-,21,FILLER
379,369,395,"14,196","14,293","15,423",13,6,6,2,1,-,9,21,11,4,2,7,94,71,87,55,59,57,34,26,22,35,26,31,71,69,54,62,88,86,22,FILLER
 primary,2,4,3,95,102,178,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,-,-,1,-,-,-,-,-,-,-,4,-,-,-,-,23
1,4,1,46,42,92,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-,2,-,-,-,-,24,FILLER
50,44,58,"1,624","1,950","2,167",-,-,2,-,I,-,1,1,1,-,-,1,30,25,22,11,7,10,3,-,2,2,2,3,-,1,3,3,8,6,25,FILLER
326,317,329,"12,422","12,181","12,352",13,6,5,2,1,-,8,19,10,4,2,3,62,46,69,44,52,47,31,26,21,32,23,26,71,62,51,59,80,81,26,FILLER
-,-,-,9,18,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,FILLER
137,161,234,"7,224","11,961","7,819",-,-,-,-,-,-,-,2,8,-,-,-,62,78,121,33,39,58,8,1,7,10,4,7,15,31,30,9,6,21,28,FILLER
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FILLER
FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER
week,Disease,year,Calendar,year,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER
1955,1956,1955,1956,1955,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER
628,"13,085","26,027","14,152","27,090",FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER
283,"5,464","9,130","6,047","9,594",FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER
174,"5,240","10,180","5,525","10,470",FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER
171,"2,381","6,717","2,580","7,026",FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER
