842,649,"1,099","30,867","27,990","38,102",-,-,3,2,2,2,46,28,35,.A,A.A.,1,197,134,245,383,295,416,34,26,47,...,A...,68,A.T.,..,7,180,164,112,1,FILLER
7,4,9,114,107,137,-,-,-,-,-,-,-,-,-,-,-,1,-,-,6,-,-,-,7,4,-,-,-,-,-,-,-,-,-,-,2,FILLER
24,14,14,561,624,624,-,1,-,3,-,-,-,-,-,1,4,,A.9.,...,3,-,1,3,-,-,1,-,-,-,10,5,-,10,3,3,3,FILLER
:,E,E,2,2.,18,-,(6),-,-,-,-,-,-,-,,,,,.A,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,4,FILLER
24,13,14,558,622,622,-,(6),-,3,-,-,-,-,-,1,4,,,A.A,1,-,1,3,-,-,1,-,-,-,10,5,-,10,3,3,5,FILLER
 infectious,F,5,1,45,33,38,-,-,-,,,,-,-,-,-,-,-,,,,,1,,-,-,-,-,-,1,-,-,-,-,4,-,6
 epidemic,120,97,60,"10,164","37,637","9,648",,,,87,61,-,32,35,56,,A.O.,,-,-,-,-,1,2,1,=,-,-,-,-,A.A,,A.S.,-,1,-,7
827,699,793,"46,459","49,587","50,726",-,-,7,,,5,-,23,21,,,,222,183,154,339,207,176,43,22,66,a.e.,39,4,103,62,77,120,163,104,8,FILLER
 meningococcal,1,4,6,259,267,263,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,1,I:,0.0,,,.,-,1,9
426,384,637,"24,310","23,320","31,258",-,-,I,4,,5,32,6,11,,,2,78,91,130,131,160,302,10,19,20,,,22,,,23,171,108,82,10,FILLER
 epidemic:4,10,12,32,537,968,"2,478",-,-,-,-,-,-,-,-,1,-,-,-,3,2,7,4,5,3,1,3,-,1,-,8,1,2,7,=,=,6,11
4,5,19,301,517,"1,097",-,-,-,-,-,-,-,-,-,-,-,-,2,1,4,1,2,3,-,1,F,(6),E,2,1,1,1,PP.,E,5,12,FILLER
5,6,13,191,363,"1,278",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,3,3,1,1,2,-,(6),-,3,-,1,-,-,-,1,13,FILLER
169,131,68,"50,487","18,360","9,552",-,-,-,..R,P...,...,14,5,-,,,P...,29,19,6,32,31,23,-,-,-,a.e,A.A,1,13,31,12,81,45,16,14,FILLER
 etc.⁵,186,161,371,"10,405","8,022","11,750",2,4,5,6,23,5,51,37,19,-,2,3,40,16,74,37,33,53,12,1,10,-,5,18,21,21,28,17,19,45,15
-,-,-,-,-,-,-,-,-,...,P...,T.A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,I,16,FILLER
208,173,230,"8,047","9,028","9,304",1,4,7,-,-,1,1,1,2,19,10,4,100,29,86,16,27,21,15,23,24,6,7,15,32,22,13,18,50,27,17,FILLER
180,143,190,"6,578","7,160","7,579",1,4,7,-,-,-,1,1,2,15,10,4,95,28,83,(6),(6),(6),15,23,24,5.,6,11,32,21,13,16,50,26,18,FILLER
12,3,12,467,529,484,-,-,-,-,-,-,-,-,-,4,-,-,5,1,3,(6),(6),(6),-,-,-,1,1,3,-,1,-,2,-,3,19,FILLER
10,7,12,411,347,432,-,1,-,-,-,-,-,-,-,-,1,-,7,4,5,3,1,1,-,-,-,-,-,-,-,-,-,-,-,1,20,FILLER
3,2,1,128,110,118,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,2,-,-,-,-,-,-,-,-,a.a,,,-,-,-,21,FILLER
303,386,362,"14,885","14,818","16,097",19,22,6,-,1,2,9,13,10,8,3,5.,84,56,96,(8),66,63,27,40,30,24,43,29,59,57,59,73,85,58,22,FILLER
 primary,-,2,4.,97,106,184,-,-,-,-,-,1,-,-,-,-,1,-,-,I,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,23
-,1,2,47,44,98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,24,FILLER
43,42,47,"1,709","2,021","2,271",-,-,1,-,-,-,1,-,5,2,1,-,30,22,21,-,11,9,4,1,2,-,1,2,1,-,1,5.,6,3,25,FILLER
260,340,301,"13,022","12,628","12,902",19,22,5,-,1,1,8,13,5,6,1,3,54,34,68,-,55,54,23,39,27,24,40,28,58,56,56,68,79,53,26,FILLER
-,1,-,10,19,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,I,-,-,-,-,-,-,27,FILLER
279,208,253,"7,711","12,412","8,245",-,-,-,2,-,3,5,10,4,35,-,2,96,112,85,51,53,60,9,1,8,4,19,15,14,9,24,13,4,22,28,FILLER
