863,994,"1,185","33,576","31,055","42,094",-,-,1,3,1,2,91,66,37,P..,..A,...,211,271,322,315,424,524,49,57,51,A.P.,A.A,25,..,P...,14,194,175,131,1,FILLER
7,7,5,132,118,161,-,-,-,-,-,-,-,-,-,-,1,-,3,-,3,-,-,1,4,6,-,-,-,-,-,-,-,-,,-,2,FILLER
5.,10,12,609,660,660,-,-,1,-,-,-,-,-,-,,1,,...,...,6,-,-,2,-,-,2,3,-,2,2,-,-,-,9,2,3,FILLER
PP.,-,-,2,3,18,-,1,-,-,-,-,-,-,-,,,,,,,-,-,-,-,-,-,-,-,-,,-,-,-,,-,4,FILLER
5.,10,12,606,657,657,-,-,-,-,-,-,-,-,-,A.9,1,R.P.,P.A,A.P.,6,-,-,2,-,-,2,3,-,2,2,-,-,-,9,2,5,FILLER
 infectious,-,=,-,45,32,41,-,-,-,,..A,...,-,-,-,-,-,-,O.R,A.O.,..,R.O.,...,A.P.,-,-,-,-,-,-,-,-,-,-,-,-,6
 epidemic,80,259,68,"10,717","38,081","9,954",A.S.,...,,50,54,-,29,203,52,A.O.,.A,,-,-,-,-,-,3,1,2,3,-,-,-,...,R.P.,9.8,-,-,3,7
"1,251","1,287","1,227","49,927","53,327","53,327",-,-,17,....,..A,3,45,17,85,R.P.,0.0,3,383,358,197,378,493,258,31,46,25,..,...,7,97,68,46,317,305,136,8,FILLER
 meningococcal,2,5.,6,271,285,280,-,-,-,-,-,1,1,-,-,-,-,-,-,-,2,1,1,1,-,1,1,-,1,-,P.R,...,P.R.,-,2,1,9
585,543,690,"25,932","25,583","33,237",-,-,-,....,2,2,14,63,22,4.9.,**,1,72,70,174,132,171,283,40,36,29,S.A.,...,17,...,,5,327,201,103,10,FILLER
 epidemic:4,-,14,27,579,"1,000","2,527",-,-,-,-,-,-,-,-,-,-,-,-,-,9,2,-,1,-,-,1,2,-,-,2,-,2,6,-,1,5,11
=,9,9,331,536,"1,132",-,-,-,-,-,-,-,-,-,-,-,-,-,7,1,-,-,-,-,-,1,-,-,1,-,1,-,-,1,2,12,FILLER
-,3,14,201,373,"1,292",-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-,-,1,-,-,-,3,13,FILLER
251,294,81,"51,380","19,217","9,888",I,-,1,,,A.O.,4,3,-,A.S.,,,74,113,8,16,33,30,-,-,I,.8.8,...,3,80,33,21,77,112,8,14,FILLER
 etc.⁵,183,205,414,"11,089","8,766","13,007",4,2,3,24,22,12,35,68,15,1,-,1,40,27,137,33,38,70,7,9,17,5,1,18,16,28,26,18,10,90,15
-,-,-,-,-,-,-,-,-,....,...,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,FILLER
185,276,185,"8,684","9,643","9,936",7,15,9,-,2,1,-,-,1,11,14,8,64,137,51,25,16,33,29,16,9,4,3,8,22,29,23,23,44,44,17,FILLER
153,251,152,"7,124","7,649","8,070",7,15,9,-,1,-,-,-,1,10,13,8,61,136,49,(6),(6),(6),29,15,9,3,2,7,21,29,22,22,40,41,18,FILLER
7,9,9.,489,565,513,-,-,-,-,1,-,-,-,-,1,1,-,3,1,2,(6),(6),(6),-,1,-,1,1,1,1,-,1,1,4,3,19,FILLER
5,7,4,433,363,451,-,-,-,-,-,-,-,-,-,-,-,-,5,5,3,-,2,-,-,-,-,-,-,-,-,-,-,-,-,1,20,FILLER
2,2,2,134,117,124,-,-,-,-,-,-,-,-,-,-,-,-,2,2,1,-,-,-,-,-,-,-,-,-,....,...,:,-,-,-,21,FILLER
284,346,350,"15,911","15,839","17,229",10,6,7,-,3,1,12,17,8,2,3,8,68,82,93,(8),47,65,30,38,22,35,20,35,60,54,51,67,76,77,22,FILLER
 primary,2,4,5,108,120,194,-,-,1,-,-,-,-,-,-,-,I,-,-,1,-,-,-,-,-,-,1,2,1,-,-,1,-,-,1,1,23
1,2,2,53,47,104,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,24,FILLER
34,43,58,"1,835","2,145","2,460",-,-,1,1,1,I,2,1,1,-,-,4,22,18,17,-,12,14,3,3,1,2,1,4,3,1,1,2,7,4,25,FILLER
247,296,302,"13,904","13,506","13,506",10,6,6,I,3,-,10,16,6.,2,3,4,46,61,68,-,35,50,27,35,20,31,17,28,56,52,49,65,68,69,26,FILLER
-,1,-,11,21,21,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,FILLER
175,196,217,"8,232","13,139","8,865",-,2,-,1,5,8,1,-,13,1,-,1,122,99,61,19,42,42,6,14,6,5,-,13,16,21,9,4,13,10,28,FILLER
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FILLER
FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER
week,Disease,year,Calendar,year,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER
1955,1956,1955,1956,1955,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER
229,"14,061","27,753","15,128","28,816",FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER
119,"5,982","9,941","6,565","10,405",FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER
60,"5,520","10,691","5,805","10,981",FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER
50,"2,559","7,121","2,758","7,430",FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER
