923,871,940,"34,507","31,995","43,643",-,-,3,5,3,1,75,99,35,: .,: .,2,638,211,255,-,315,297,48,49,44,:.,:,104,:.,...,13,157,194,157,1,FILLER
2,7,4,134,128,163,-,-,-,-,-,-,-,-,-,-,-,-,2,3,3,-,-,-,-,4,-,-,-,-,-,-,-,-,-,,2,FILLER
4,5,7,613,665,665,-,-,-,-,-,-,-,-,-,8.9,...,....,...,,1,-,-,1,-,-,-,-,3,2,-,2,-,4,-,1,3,FILLER
-,-,,2,3,18,-,-,-,-,-,-,-,-,-,R.O,9.8,...,..,,P.A,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,4,FILLER
4,5,7,610,662,662,-,-,-,-,-,-,-,-,-,,,,,,1,-,-,1,-,-,-,-,3,2,-,2,-,4,-,1,5,FILLER
 infectious,1,-,,46,32,41,-,-,-,,,,-,,,-,-,-,,,,,,,-,-,-,-,,-,-,-,=,1,-,-,6
 epidemic,105,96,90,"10,838","38,193","10,002",,,,50,50,-,55,45,60,,,,-,,-,-,-,2,-,1,1,-,-,-,,,,,,,7
"1,284","1,251",984,"51,211","54,663","54,633",-,-,3,1,,2,10,45,65,,,1,881,383,228,-,378,140,53,31,21,,,7,115,97,80,224,317,84,8,FILLER
 meningococcal,5,2,3,276,292,290,3,-,-,-,-,-,-,1,-,-,-,,-,-,1,-,1,1,-,-,1,2,-,-,,,,,,,9
551,589,619,"26,487","26,086","33,927",-,-,1,4,,,45,18,20,,,,222,72,152,-,132,238,17,40,23,,,16,,,4,263,327,84,10,FILLER
 epidemic:4,26,-,28,605,"1,009","2,528",-,-,-,-,-,-,-,-,-,-,-,-,24(8),-,3,-,-,1,1,-,-,-,-,1,1,-,1,-,,2,11
25,-,10,356,542,"1,142",-,-,-,-,-,-,-,-,-,-,-,-,24,-,3,-,-,1,1,-,-,-,-,1,,-,-,-,-,1,12,FILLER
1,-,4,202,374,"1,292",-,-,-,-,,-,-,-,,,-,-,,-,-,-,-,-,-,-,-,-,-,-,1,,-,,-,,13,FILLER
335,251,95,"51,715","19,683","9,969",-,-,-,,,,-,4,2,,,,135,74,14,-,16,37,-,-,-,,,4,44,80,26,156,77,10,14,FILLER
 etc.⁵,200,199,350,"11,305","8,946","13,397",7,4,3,19,24,6,34,51,10,1,1,-,90,40,82,-,33,50,4,7,10,3,5,41,31,16,50,11,18,41,15
-,,,,,,-,-,-,..,,,-,-,-,,-,-,-,,-,-,,-,-,-,-,,,,-,,,,,1,16,FILLER
226,185,191,"8,910","9,913","10,202",9,7,7,-,-,1,-,-,1,13,11,3,125,64,74,-,25,20,19,29,16,8,4,5,29,22,21,23,23,37,17,FILLER
219,153,158,"7,343","7,881","8,272",9,7,7,-,-,1,-,-,1,12,10,3,123,61,74,(6),(6),(6),19,29,16,6,3,4,28,21,20,22,22,29,18,FILLER
7,7,10,496,578,533,-,,-,-,-,-,-,-,-,1,1,-,2,3,1,(6),(6),(6),-,-,,2,1,2,1,1,-,1,1,1,19,FILLER
,5,4,112,365,454,-,-,-,-,-,-,-,-,-,2,-,-,7,5,3,-,-,,-,-,-,,-,,-,-,-,-,-,-,20,FILLER
wis 3,2,,137,117,127,-,-,-,-,-,-,-,-,-,,-,-,3,2,...,-,-,,-,-,-,,-,-,,,,-,,,21,FILLER
258,284,311,"16,169","16,140","17,636",10,10,7,-,-,-,8,12,11,1,2,7,45,68,73,-,(9),54,31,30,25,20,35,29,70,60,66,73,67,42,22,FILLER
 primary,4,2,2,112,122,198,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,,-,-,-,4,2,-,,,,-,,-,23
-,1,2,53,49,106,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,24,FILLER
26,34,39,"1,861","2,174","2,520",1,-,2,-,-,-,2,2,2,-,-,2,20,22,15,-,-,8,2,3,2,-,2,2,-,3,3,7,2,5,25,FILLER
228,247,273,"14,132","13,773","13,944",9,10,5,-,-,-,6,10,6,1,2,4,25,46,57,-,-,43,29,27,22,16,31,27,70,56,60,72,65,41,26,FILLER
-,-,1,11,22,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,,-,-,,,-,,-,-,-,-,-,1,27,FILLER
285,175,155,"8,517","13,301","9,123",-,-,-,2,1,-,-,1,15,-,1,1,242,122,70,-,19,33,2,6,10,10,5,12,14,16,10,15,4,19,28,FILLER
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FILLER
FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER
week,Disease,year,Calendar,year,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER
1955,1956,1955,1956,1955,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER
