1,Chickenpox,592,476,765,"28,716","26,191","35,382",en,-,1,-,2,-,27,20,13,0.0,,1,265,89,149,139,265,244,53,19,32,9.9,A.P.,18,R.P.,9.8,14,108,76,123,1
2,Diphtheria,2,1,/,80,85,121,-,-,-,$,-,-,-,-,-,-,-,-,1,1,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
3,Dysentery:,5,17,7,516,559,559,-,as,a,5,4,the,as,and,@:,,,,,1,2,-,-,2,-,-,-,-,4,-,-,3,-,5.,5,3,3
4,(a) Amoebic,-,-,-,2,2,14,-,-,-,NO,NO,NO,-,-,-,*.*,9.9.,R.A,R.A,P.9,.,cm,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
5,(h) Bacillary,5,17,7,514,557,557,-,-,-,as,4,TAC,-,-,-,,,,,1,2,-,-,2,-,:,-,-,4,-,-,3,-,5,5,3,5
6,Encephalitis, infectious,-,1,1,40,28,35,I,-,:,,,,:,1,-,-,-,-,4.a,,,,1,,-,-,-,-,-,-,-,-,-,-,-,-,6
7,Influenza, epidemic,49,60,48,"9,802","37,368","9,522",a.s,,,22,29,*:,26,29,39,,,,=,-,-,1,2,I,-,-,-,-,-,-,,,a.a,-,-,3,7
8,Measles,522,767,463,"44,201","46,759","49,222",i,-,4,,,1,7,9,23,,,,179,203,56,172,196,97,19,13,20,,,12,69,45,16,76,301,59,8
9,Meningitis, meningococcal,7,7,5,249,254,242,$,#,:,;,$,-,,1,as,$,5,1,1,3,1,2,2,2,-,-,-,-,-,-,1,,.R,3,1,1,9
10,Mumps,292,227,353,"23,129","21,843","30,014",:,:,1,,,2,8,21,12,,,,38,54,48,126,66,153,12,14,15,a.a.,...,16,...,,6,108,72,54,10
11,Poliomyelitis, epidemic:4,18,22,72,490,920,"2,362",-,File,-,1,521,1,I,,1,1,3,1,6,7,7,4,5,10,2,-,2,-,1,6,2,2,12,2,4,11,11
12,(a) With paralysis,16,14,38,278,480,"1,030",-,I,$,1,8:,-,at,FP.,:,1,1,you,5,4,2,4,4,4,2,-,1,1,=,2,1,1,1,2,4,5,12
13,(b) Without paralysis,1,6,28,172,353,"1,230",I,,,-,an,for,100%,!,-,,-,2,1,-,1,1,I,1,6,I,-,1,-,1,1,1,1,1,I,-,11,13
14,Rubella,155,109,52,"49,948","17,847","9,359",-,487,-,,,,4,7,2,,&,a.e,30,21,3,24,47,14,#:,1,:,a.e.,*.A,1,15,7,9,82,33,12,14
15,Scarlet fever, etc.5,195,143,173,"9,926","7,366","10,604",3,3,5,16,17,e,32,30,30,-,9,2,43,31,36,48,36,44,2,6,10,-,2,10,21,7,17,30,11,20,15
16,Smallpox,-,-,-,-,,-,-,-,-,0.0,,,**,:,*,I,-,,-,-,1,-,-,-,1,I,#:,...,-,I,I,-,-,-,-,I,16
17,Tuberculosis:,138,161,187,"7,448","8,459","8,779",3,9,22,4,1,1,121,:,3,18,-,6,49,75,74,12,26,27,13,7,15,8,8,13,14,17,13,17,18,22,17
18,(a) Pulmonary,124,132,157,"6,078","6,725","7,136",3,9,22,4,1,FOR,-,I,3,18,3,6,47,74,74,(6),(6),(6),13,7,15,8,7,11,14,17,11,17,17,18,18
19,(b) Non-pulmonary,2,3,8,446,484,455,-,$,MKO,,-,,1,-,-,:,-,1,2,1,1,(6),(6),(6),I,1,-,-,1,3,...,,,-,1,2,19
20,Typhoid and paratyphoid,13,8,6,374,332,382,-,our,-,-,-,MD.,-,-,-,the,8,-,4,5,3,4,1,1,-,-,-,-,-,or,2,2,-,3,@,1,20
21,Undulant fever,3,5,2,118,110,114,-,was,-,-,-,-,-,-,-,I,-,we,3,2,1,en,3,S,1,-,-,-,**,-,9.8,**,P.A,-,-,-,21
22,Venereal diseases:,369,417,382,"13,817","13,890","15,013",6,2,9,1,1,,21,22,11,2,7,3,71,83,111,59,59,66,26,43,27,26,23,29,69,76,52,88,101,61,22
23,(a) Syphilis, primary,4,3,3,93,99,175,-,-,-,-,-,1,-,,NOT,-,-,-,-,-,1,-,-,-,-,-,-,-,2,-,4,1,1,,,-,-,23
24,"(b) "" secondary",4,2,1,45,41,91,-,No,-,-,174,WIN,1,1,1,-,-,-,as,20,1,F,-,-,-,-,-,1,-,-,2,1,-,-,-,-,24
25,"(c) "" other",44,40,49,"1,574","1,914","2,118",-,!,1,I,-,-,1,4,2,#,-,2,25,16,24,7,9,14,-,6,-,2,-,2,1,2,1,8,3,3,25
26,(d) Gonorrhoea,317,371,298,"12,096","11,818","12,061",6,2,3,1,1,-,19,17,7,2,7,3,46,67,69,52,50,58,26,37,23,23,21,26,62,72,50,80,97,56,26
27,(e) Other venereal diseases?,cas,1,-,9,18,18,-,-,-,450,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,case,-,1,-,27
28,Whooping cough,161,123,272,"7,087","11,791","7,547",*,-,-,,-,1,2,-,3,-,-,2,78,76,72,39,34,51,1,1,17,4,4,6,31,2,27,6,6,23,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
