Table: Table_1
,,,,,CANADA²,,,,NFLD.,,,P.F.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
No.,DISEASE,,Previous,,,Cumulative,Total³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
,,Report Week,Week,Median 1952-56,1957,1956,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous "eek,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,
1,Chickenpox,"1,025","1,017","1,347","4,136","4,349","5,927",-,-,5,3,9,11,72,46,62,....,,A.P,184,231,322,622,555,698,29,29,48,..,...,32,...,,27,115,147,220,1
2,Diphtheria,6,8,5.,19,20,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1,5,-,-,-,-,-,1,8,-,-,-,-,2
3,Dysentery:4,18,7,9,50,45,45,-,-,-,-,-,-,-,-,-,: .,2,:,2,5,1,2,-,2,-,-,-,9,-,-,2,-,-,3,-,6,3
4,(a) Amoebic,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,...,...,...,1,,...,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,4
5,(h) Bacillary,17,7,9,49,45,45,-,-,-,-,-,-,-,-,-,...,2,...,1,5,1,2,-,2,-,-,-,9,-,-,2,-,= -,3,-,6,5
6,Encephalitis, infectious,1,-,1,1,2,2,-,-,-,...,...,...,-,-,-,-,-,-,,..,...,1,...,...,I,-,-,-,-,-,-,-,-,-,-,-,6
7,Influenza, epidemic,68,84,241,346,902,535,...,...,...,36,50,24,32,34,5.5,...,...,1,,-,-,-,-,3,-,-,1,-,--,,,,,-,-,2,7
8,Measles,"1,765","1,678","1,420","6,541","6,586","6,586",-,-,33,....,1,20,35,69,84,,...,...,357 383,,265,603,445,339,83,101,49,,,19,122,173,105,565,506,195,8
9,Meningitis, meningococcal,3,2,4,18,34,25,1,1,-,-,-,-,-,-,-,1,-,-,-,-,1,1,1,1,-,-,-,-,-,1,,,,-,-,1,9
10,Mumps,894,796,"1,007","3,217","3,453","3,453",:,-,-,6,A.9,10,75,61,7,R.P.,,1,118,140,136,270,316,407,11,16,41,.A,...,40,A.P.,..A,7,414,263,172,10
11,Poliomyelitis, epidemic:⁴,2,4,4,8,9,18,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,1,1,-,-,-,-,-,1,1,-,2,-,11
12,(a) With paralysis,-,4,3,6,3,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,2,-,12
13,(b) Without paralysis,2,-,1,2,1,2,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,13
14,Rubella,with,229,231,"1,344","3,922",790,-,-,-,...,....,...,2,9,6,...,,-,40,16,7,69,53,125,1,3,1,..,....,2,162,148,27,170,-,34,14
15,Scarlet fever, etc.⁵,194,195,400,950,"1,145","1,353",1,1,5,15,10,4,13,30,19,-,-,4,56,37,68,80,99,98,1,1,15,-,3,34,12,14,66,16,1,32,15
16,Smallpox,-,-,-,-,-,-,-,-,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,I,1€
17,Tuberculosis:4,147,191,147,561,673,673,3,6,4,1,-,-,-,1,5,6,21,5,44,70,58,25,17,21,7,7,7,13,1,13,23,45,18,25,23,18,17
18,(a) Pulmonary,110,158,113,446,574,557,2,6,4,1,--,-,-,1,5,5,17,5,42,67,53,(6),(6),(6),7,7,7,9,1,11,22,37,15,22,22,16,18
19,(b) Non-pulmonary,12,16,10,48,26,31,1,-,-,-,-,-,-,-,-,1,4,-,2,3,5,(6),(6),(6),-,-,-,4,-,2,1,8,1,3,1,1,19
20,Typhoid and paratyphoid,8,5,5,24,34,27,-,-,-,-,-,-,-,-,-,-,-,-,5,1,2,2,1,-,-,-,-,-,-,-,-,-,-,1,3,-,20
21,Undulant fever,2,5,1,10,12,9,-,-,-,-,-,-,-,-,-,-,-,-,2,3,1,-,2,-,-,-,-,-,-,-,...,...,...,-,-,-,21
22,Venereal diseases:,322,366,379,"1,339","1,328","1,460",17,2,8,-,-,1,9,5,9,5,1,4,62,39,105,36,52,59,20,31,28,16,32,21,79,69,54,78,135,78,22
23,(a) Syphilis, primary,4,3,4,12,15,15,-,-,-,-,-,-,1,-,-,-,-,-,-,-,,-,-,-,1,-,-,2,-,-,-,1,-,-,2,1,23
24,(b) " secondary,-,-,2,-,9,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,24
25,(c) " other,36,34,54,135,115,196,1,-,1,-,-,-,1,-,3,2,-,1,20,17,28,6,9,16,-,1,1,-,-,1,2,1,3,4,6,4,25
26,(d) Gonorrhoea,282,328,312,"1,191","1,189","1,189",16,2,8,-,-,-,7,5.,6,3,1,3,42,22,77,30,43,49,19,29,27,14,32,16,77,67,49,74,127,77,26
27,(e) Other venereal diseases⁷,-,1,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,27
28,Whooping cough,301,139,220,625,721,721,-,-,-,-,-,1,-,-,10,3,-,1,197,55,76,62,42,52,-,12,6,-,1,11,25,20,7,14,9,22,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
