Table: Table_1
,,,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
No.,DISEASE,,Previous,,,Cumulative,Total³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
,,Report Week,Week,Median 1952-56,1957,1956,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,(8) Week Report,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,
1,Chickenpox,990,"1,340",927,"20,570","20,013","21,598",...,,,,3,,62,62,35,,,,110,208,147,6.81,951,408,24,24,19,,,,,,,113,92,160,1
2,Diphtheria,3,1,2,63,47,50,-,,-,-,-,-,-,-,-,,-,-,2,,1,,-,-,,,-,,,-,,1,,1,,,2
3,Dysentery:4,8,23,11,268,190,198,-,-,-,-,2,-,-,-,-,1,6,-,,4,,-,3,2,1,-,-,2,-,-,TV -,7,,4,1,5,3
4,(a) Amoebic,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,,,-,-,,4
5,(h) Bacillary,8,23,11,267,190,197,-,-,-,-,2,-,-,-,-,1,6,-,,4,,-,3,2,1,I,-,2,-,-,-,7,,4,1,5,5
6,Encephalitis, infectious,1,1,-,7,6,8,-,-,-,,,,-,-,-,,-,,,,,-,I,-,,,-,,-,-,-,1,,1,,,6
7,Influenza, epidemic,108,146,368,"1,928","6,755","6,755",,,,36,78,63,69,64,105,,,,-,-,,1,-,2,2,3,5,-,-,-,,,,,1,21,7
8,Measles,840,"1,614","1,469","34,044","28,981","30,853",-,-,8,,,,23,49,27,,,,183,251,374,358,481,501,7.5,93,40,,,,-,519,63,201,221,212,8
9,Meningitis, meningococcal,5,5,7,117,125,124,1,4,1,-,-,-,-,,-,1,-,1,1,-,-,2,1,1,,-,,o,,1,,,,,,,9
10,Mumps,597,724,793,"15,161","16,775","16,775",..,,:.,..,,,65,82,21,...,...,...,114,167,...,315,338,372,12,15,19,-,-,P.,...,R.P.,,91,122,138,10
11,Poliomyelitis, epidemic:4,1,1,2,37,52,83,-,-,-,-,-,-,-,,-,,-,,,,,-,1,-,-,-,-,-,-,-,IN,,,1,,,11
12,(a) With paralysis,-,1,1,21,34,50,-,-,-,-,-,-,-,,-,,-,-,-,-,,-,1,-,,-,-,-,-,,-,,,,,,12
13,(b) Without paralysis,1,-,-,10,18,26,-,-,-,-,-,,PP.,,-,MP,-,-,-,,-,,,,,-,-,-,,-,,-,,1,,,13
14,Rubella,256,744,597,"11,825","34,747","5,967",-,-,-,,,,27,20,11,,,,16,31,33,114,73,255,1,-,1,,,,-,465,17,98,155,47,14
15,Scarlet fever, etc.5,123,210,365,"4,418","6,471","7,215",2,5,8,2,13,9,46,91,21,-,-,12,13,31,81,51,32,66,1,4,10,5,3,10,-,12,34,3,19,36,15
16,Smallpox,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,,1€
17,Tuberculosis:,147,148,213,"3,101","3,288","3,693",3,4,5,1,1,1,3,1,2,17,10,17,61,57,83,19,31,26,15,9,16,3,-,12,I,16,19,25,19,27,17
18,(a) Pulmonary,119,106,171,"2,487","2,627","2,987",3,4,5,-,1,1,2,"1,",2,16,10,17,59,51,78,(6),(6),(6),14,9,16,1,I,8,=,14,18,24,16,24,18
19,(b) Non-pulmonary,9,11,14,197,177,177,-,-,-,1,-,-,1,I,-,1,-,-,2,6,1,(6),(6),(c),1,-,1,2,-,3,,2,2,1,3,3,19
20,Typhoid and paratyphoid,6,9,5,113,127,161,-,-,-,-,-,-,-,-,-,I,-,-,5,6,3,1,-,1,-,-,-,-,,-,,3,,-,,,20
21,Undulant fever,3,9,2,44,53,41,-,-,-,-,-,-,-,-,-,-,-,I,3,8,,-,-,-,-,-,-,-,=,-,,,,,1,-,21
22,Venereal diseases:,236,289,335,"6,003","5,850","6,337",6,7,9,1,1,1,3,6,5,4,5,4,53,56,84,39,42,52,13,44,25,19,19,21,-,38,5.8,98,7.1,73,22
23,(a) Syphilis, primary,3,3,5,55,45,64,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,2,1,-,IF,1,-,-,1,2,,,1,23
24,(b) " secondary,2,4,2,19,18,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-,1,-,-,1,,24
25,(c) : other,40,51,52,789,696,898,1,-,1,-,-,-,-,-,1,=,2,2,18,24,24,13,6,14,-,2,3,2,3,1,-,7,1,6,7,6,25
26,(d) Gonorrhoea,191,230,274,"5,137","5,091","5,239",5,7.,8,1,1,1,2,6,4,4,3,2,35,32,55,26,36,39,10,40,22,16,14,20,-,29,54,92,62,65,26
27,(e) Other venereal diseases⁷,-,1,-,3,I,8,-,-,-,-,-,-,-,-,1,-,-,-,,-,-,-,-,1,-,*,,-,-,-,-,-,-,,1,,27
28,Whooping cough,56,130,164,"2,675","3,456","3,332",-,-,1,-,1,10,-,-,4,-,-,t,27,75,56,25,42,25,1,-,3,2,-,5,-,9,19,1,3,27,28
