Table: Table_1
,,,,,CANADA²,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
No.,DISEASE,,,,,Cumulative,Total³,,,,,Week,,Report Week,Previous Week,1952-56,Report Week,Previous Week,1952-56,Report Week,Previous Week,1952-56,Report Week,Previous Week,,Report,Week,,,,,,,,,,,No.
,,Report Week,Previous Week,Median 1952-56,1957,1956,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous,Median 1952-56,,,Median,,,Median,,,Median,,,Median 1952-56,Week,Previous,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,
,,129,117,195,"27,671","27,328","29,422",:,..,..,:.,..,..,1,4,13,:.,:.,: .,18,34,46,72,58,58,7,2,12,..,:,..,:.,:.,:.,31,19,39,1
1,Chickenpox,1,3,3,104,84,84,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,2
2,Diphtheria,8,13,14,532,467,509,-,-,-,-,-,-,-,-,-,1,1,-,4,...,:.,-,4,6,3,5,1,-,1,-,-,-,-,-,2,-,3
3,Dysentery:4,-,-,-,7,2,4,-,-,-,-,-,-,-,-,-,-,-,-,...,...,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
4,(a) Amoebic,8,13,9,525,465,507,-,-,-,-,-,-,-,-,-,1,1,-,4,...,...,-,4,6,3,5,1,-,1,-,-,-,-,-,2,-,5
5,(h) Bacillary,-,2,1,27,37,33,-,-,-,...,...,...,-,-,-,-,-,-,...,R.9.,..,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,6
6,Encephalitis, infectious,"4,634","5,166",61,"19,963","9,405","9,296",:.,: .,..,145,110,-,328,236,43,..,..,...,184,268,-,1712,1622,2,1746,14,-,-,-,-,...,....,...,519,2916,1,7
7,Influenza, epidemic,231,196,215,"46,297","42,648","44,797",-,-,-,..,..,..,-,41,32,...,...,...,26,19,46,23,12,55,21,34,9,...,...,...,44,52,15,117,38,48,8
8,Measles,11,9,4,270,226,226,7,4,-,-,-,-,-,-,-,2,1,-,-,-,1,1,3,1,-,-,-,-,-,-,....,...,...,1,1,-,9
9,Meningitis, meningococcal,96,147,182,"20,156","22,446","22,441",..,:.,..,:.,..,.8,2,24,4,...,...,..,18,26,...,58,78,98,2,2,7,...,...,...,....,...,...,16,17,38,10
10,Mumps,8,14,114,241,437,"1,861",-,-,-,-,-,1,-,-,1,-,1,4,1,2,8,1,-,12,-,1,2,2,6,6,2,3,15,2,1,10,11
11,Poliomyelitis, epidemic:4,5,6,61,142,252,887,-,-,-,-,-,1,-,-,1,-,-,-,1,1,5,1,-,9,-,1,1,1,2,1,1,1,1,1,1,4,12
12,(a) With paralysis,2,7,23,88,175,551,-,-,-,-,-,-,-,-,-,-,1,4,-,1,1,-,-,5,-,-,1,-,3,2,1,2,1,1,-,5,13
13,(b) Without paralysis,60,51,40,"15,776","49,380","9,232",-,-,-,...,...,...,-,-,-,R.P.,...,R.P.,6,-,7,17,16,19,1,-,-,R.P.,9.8,R.P.,19,18,9,17,17,7,14
14,Rubella etc.⁵,129,207,108,"6,730","9,439","9,809",12,9,2,8,10,9,47,1/1,20,-,-,1,3,2,27,18,21,23,-,-,7,-,5,6,40,16,6,1,3,15,15
15,Scarlet fever,,-,-,-,-,-,-,-,-,-,...,...,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
16,Smallpox,156,145,204,"6,833","7,159","7,941",15,3,4,2,1,2,1,5,1,-,9.,18,64,42,73,24,17,25,10,17,9,7,3,7,15,33,15,18,15,30,17
17,Tuberculosis:4,129,121,171,"5,615","5,703","6,433",15,3,4,2,1,-,1,5,1,-,9.,17,63,42,72,(6),(6),(6),9.,17,9,7,2,5,15,30,12,17,12,27,18
18,(a) Pulmonary,3,7,13,408,415,415,-,-,-,-,-,1,-,-,-,-,-,1,1,-,2,(6),(6),(6),1,-,-,-,1,1,-,3,2,1,3,3,19
19,(b) Non-pulmonary and paratyphoid,6,6,12,257,353,349,-,-,-,-,-,-,-,-,-,-,-,-,5,3,6,-,2,2,-,-,-,-,-,-,1,1,-,-,-,1,20
20,Typhoid,3,3,2,111,106,100,-,-,W,-,-,-,-,-,-,-,-,-,3,2,...,-,-,1,-,1,-,-,-,-,...,,...,-,-,-,21
21,Undulant fever,295,280,364,"12,746","12,592","13,665",1,4,7,1,-,1,7,5,9,5,4,6,74,79,109,45,27,62,47,20,30,23,37,29,34,48,63,58,56,67,22
22,Venereal diseases:,4,3,3,111,84,128,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,-,-,-,-,-,2,1,-,-,-,1,-,2,-,23
23,(a) Syphilis, primary ",-,-,1,33,37,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,I,I,-,-,-,-,-,-,24
24,(b) secondary,44,39,48,"1,629","1,446","1,804",-,1,1,-,-,-,1,1,1,-,-,-,28,26,25,8,2,13,2,1,1,I,3,2,I,2,3,5,4,3,25
25,(c) other,247,237,315,"10,964","11,017","11,283",1,4,6,1,-,1,6,4,9,5,4,5,46,52,77,35,25,52,45,19,30,21,33,24,34,46,58,53,50,64,26
26 27,(d) Gonorrhoea (e) Other venereal,-,1,-,9,8,15,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27
,diseases,100,203,221,"5,926","6,596","6,811",-,-,-,-,-,2,18,2,9,-,-,-,19,38,75,33,90,44,-,3,8,5,3,6,13,39,15,12,28,15,28
28,Whooping cough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
