Table: Table_1
,,,,,CANADA²,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,,AskVene,,ALTA.,,Dispase,,,
No.,DISEASE,,,,,Cumulative,Total³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
,,Report Week,Previous Week,Median 1953-57,1958,1957,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Megian 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Week,Median L1953-57,Report,,Median,Report Week,Previous Week,Megian 1953-57,
1,Chickenpox,"1,166",655,"1,370","1,821","2,088","2,305",:.,:,:,..,2,..,27,8,85,:.,:.,:,591,204,301,430,362,633,7,47,38,:,:,:,:.,:.,:,111,32,191,1
2,Diphtheria,1,-,5,1,5,7,-,-,-,,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2
3,Dysentery:4,11,18,9,29,25,25,-,-,-,6,4,-,-,-,-,-,1,-,3,1,..,2,6,1,-,-,-,-,6,-,-,-,-,-,-,2,3
4,(a) Amoebic,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,:,:,:,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
5,(b) Bacillary,11,18,9,29,25,25,-,-,-,6,4,-,-,-,-,-,1,-,3,1,..,2,6,1,-,-,-,-,6,-,-,-,-,-,-,-,5
6,Encephalitis, infectious,-,-,-,-,-,-,-,-,-,DC,..,..,-,-,-,-,-,-,...,...,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6
7,Influenza, epidemic,153,164,108,317,194,194,...,...,..,74,44,27,62,96,78,..,...,...,-,-,-,10,10,2,-,13,-,3,-,-,:,....,...,4,1,1,7
8,Measles,592,312,"1,635",904,"3,098","3,098",-,-,14,...,...,...,42,26,74,...,...,as,188,31,240,107,105,529,12,43,38,....,...,....,218,103,90,25,4,272,8
9,Meningitis, meningococcal,10,1,6,11,13,13,2,-,-,-,-,-,-,-,-,2,-,-,2,-,-,4,-,3,-,-,-,-,-,-,...,R.R.,....,-,1,-,9
10,Mumps,516,303,906,819,"1,527","1,527",...,...,R.P.,8,1,..,5,16,12,R.P.,...,R.A,344,130,A.P.,119,112,366,13,26,15,P...,9.2,....,...,R.P.,....,27,18,171,10
11,Poliomyelitis, epidemic:4,1,1,5,2,2,12,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,4,-,-,-,11
12,(a) With paralysis,1,1,1,2,2,6,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,12
13,(b) Without paralysis,-,-,1,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13
14,Rubella,119,163,159,282,671,345,-,-,-,,,a.e.,5,-,9,17,A.A,,-,6,13,14,11,58,1,105,7,,,,71,34,49,11,7,20,14
15,* Scarlet fever, etc.5,178,258,334,436,561,561,7,15,3,9,8,10,36,163,44,66,-,3,-,13,48,49,34,70,3,6,5,2,3,4,5,15,27,1,1,23,15
16,Smallpox,-,-,-,-,-,-,-,-,-,..,P.O.,R.R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
17,Tuberculosis:4,6,316,165,165,481,223,281,3,3,11,-,-,1,2,-,1,11,1,15,214,65,45,14,33,24,-,8,2,5,1,2,46,38,21,21,16,26,17
18,(a) Pulmonary,275,127,135,402,178,240,3,3,10,-,-,-,2,-,1,11,1,15,202,61,42,(7),(7),(7),-,8,1,2,1,1,37,38,20,18,15,23,18
19,(b) Non-pulmonary,27,5,10,32,20,16,-,-,-,-,-,-,-,-,-,-,-,-,12,4,3,(7),(7),(7),-,-,-,3,-,1,9,-,1,3,1,3,19
20,Typhoid and paratyphoid,8,4,5.,12,15.,12,-,-,-,-,-,-,-,-,-,-,-,-,8,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20
21,Undulant fever,4,2,1,6,3,3,-,-,-,-,-,-,-,-,-,-,-,-,4,2,a.e.,-,-,-,-,-,-,-,-,-,A.A,a.e.,...,-,-,-,21
22,Venereal diseases:,424,237,375,661,651,651,17,8,15.,2,-,-,7,3,10,5,1,6,81,93,99,71,53,50,23,23,32,28,20,28,69,36,53,121,(9),92,22
23,(a) Syphilis, primary,2,1,3,3,5,7,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,23
24,(b) " secondary,1,-,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,,-,-,24
25,(c) " other,35,27,39,62,65,83,-,-,1,-,-,-,-,1,-,-,1,1,23,18,13,,3,14,-,2,-,-,-,1,3,2,1,3,-,4,25
26,(d) Gonorrhoea,386,209,356,595,581,589,17,8,14,2,-,-,7,1,8,5,-,5.,58,75,79,64,50,44,23,21,32,28,20,28,66,34,49,116,-,89,26
27,(e) Other venereal diseases⁸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27
28,Whooping cough,220,109,119,329,185,278,-,-,-,1,-,-,23,7,5,-,-,1,116,17,50,46,48,48,-,-,2,2,4,3,17,11,10,15,22,16,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
