Table: Table_1
,,,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,FEB,,ALTA.,,,B.C.,,
No.,DISEASE,,,,,Cumulative Total,,,,,,,,,,,,,,,,,Report,,,Report Week,Previous Week,1953-57,Report Week,Previous Week,1953-57,Report Week,Previous Week,,,,,No.
,,Report Week,Previous Week,Median 1953-57,1958,1957,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Week,Previous Week,Median 1953-57,,,Median,,,Median,,,Median 1953-57,Report Week,Previous Week,Median 1 953-57,
1,Chickenpox,741,810,"1,284","4,158","5,008","6,133",...,,,,,.....,8,4,48,....,...,....,17.5,194,363,379,392,557,26,27,34,...,,.....,....,...,....,153,193,179,1
2,Diphtheria,4,1,2,7,21,17,3,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,2
3,Dysentery:4,6,8,11,58,54,54,-,-,-,1,7,-,-,-,-,-,-,-,,1,:,-,-,8,-,-,-,1,-,-,-,-,1,4,-,6,3
4,(a) Amoebic,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,...,....,....,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,4
5,(b) Bacillary,5,8,11,57,53,54,-,-,-,1,7,-,-,-,-,-,-,-,....,1,...,-,-,8,-,-,-,1,-,-,-,-,1,3,-,6,5
6,Encephalitis, infectious,-,-,1,-,1,2,-,-,-,......,.....,,-,-,-,-,-,-,...,...,:,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6
7,Influenza, epidemic,196,147,130,889,448,777,...,....,....,72,52,26,71,49,30,.....,:,....,-,-,-,32,45,16,21,1,2,-,-,-,...,$ .....,...,-,-,3,7
8,Measles,574,391,"1,717","2,349","8,632","8,303",-,-,9,....,....,.....,138,40,58,....,...,....,59,84,294,114,110,541,83,55,100,.....,....,.....,129,80,86,51,22,314,8
9,Meningitis, meningococcal,5,16,6,39,23,31,2,-,-,-,-,-,-,-,-,1,3,-,-,-,1,2,7,1,-,3,1,-,1,-,:,.....,....,-,2,1,9
10,Mumps,362,335,903,"2,017","4,128","4,128",*,....,.....,1,....,.....,53,42,27,....,....,A.M.,132,98,,126,147,398,8,15,37,.....,....,...,.....,.....,....,42,33,222,10
11,Poliomyelitis, epidemic:4,-,2,7.,6,11,21,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,-,-,1,-,1,-,-,-,1,-,-,2,11
12,(a) With paralysis,-,-,3,4,8,16,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,12
13,(b) Without paralysis,-,2,2,2,3,6,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,13
14,Rubella,196,131,280,724,"1,922","1,084",-,-,-,,,,14,-,6,A.P.,,,17,9,12,42,19,47,3,1,2,,....,A.A.,101,83,33,19,19,59,14
15,Scarlet fever, etc. 5,411,364,342,"1,541","1,231","1,487",14,31,4,24,2,8,241,202,10,-,2,2,24,21,92,63,70,71,2.,3,11,-,3,11,38,17,29,5,13,27,15
16,Smallpox,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,16
17,Tuberculosis: "4,6",173,175,176,"1,018",708,812,1,5,3,-,1,1,-,-,1,13,20,18,72,60,82,17,22,28,8.,7.,6,4,2,6,43,29,14,15,29,27,17
18,(a) Pulmonary,143,145,138,847,555,660,1,5,3,-,-,-,-,-,1,11,20,15,70,59,78,(7),(7),(7),8,7,6,4,2,5,42,27,12,15,25,24,18
19,(b) Non-pulmonary,5,8,12,56,58,48,-,-,-,-,1,-,-,-,-,2,-,-,2,1,5,(7),(7),(7),-,-,-,-,-,-,1,2,2,-,4,2,19
20,Typhoid and paratyphoid,1,4,4,24,30,30,-,-,-,-,-,-,-,-,-,-,1,-,-,2,1,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,20
21,Undulant fever,-,1,1.,8,10,9,-,-,-,-,-,-,-,-,-,-,-,-,,1,,-,-,-,-,-,-,-,-,-,,A.P.,9..9,-,-,-,21
22,Venereal diseases:,339,409,379,"1,729","1,675","1,719",8,8,9,1,1,1,7,13,15,3,10,4,84,71,81,45,50,60,24,24,28,25,32,22,47,45,67,95,155,88,22
23,(a) Syphilis, primary,-,5,2,12,14,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,23
24,(b) " secondary,2,1,-,5,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,1,-,-,-,-,,-,-,24
25,(c) " other,34,67,48,206,162,228,-,-,3,-,-,-,1,-,2,-,-,1,25,33,18,4,10,8,-,1,1,-,2,2,-,5,1,4,16,5,25
26,(d) Gonorrhoea,303,336,328,"1,506","1,498","1,509",8,8,6,1,1,1,6,13,14,3,10,2,59,38,64,41,40,53,24,23,26,24,29,20,47,40,65,90,134,81,26
27,(e) Other venereal diseases⁸,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27
28,Whooping cough,185,151,227,824,823,948,-,-,-,-,-,1,35,31,7,-,-,-,32,33,77,53,33,51,20,1,11,1,-,6,13,17,8,31,36,30,28
