Table: Table_1
,,,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASH,,Venereal,ALTA.,,,B.C.,,
No.,DISEASE,Report Week,Previous Week,1953-57,,Cumulative,Total³,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous,Median 1963-57,Report Week,e,Control,Report Week,Previous Week,Median,No.
,,,,Median,1958,1957,Median 1953-57,,,-,,,Median,,,,,,,,,,,,,,,,,,,,,,,,I,
1,Chickenpox,845,768,"1,031","9,365","13,282","14,424",:.,:.,:,,:,:,6,28,:.,:.,:,:,182,80,258,304,489,534,23,23,37,:,:,:,:,:.,:.,330,148,172,1
2,Diphtheria,2,2,2,17,52,42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10%,-,-,-,-,-,2,2,-,-,-,-,2
3,Dysentery:4,38,9,22,136,624,307,-,-,-,2,-,-,-,-,-,-,-,-,23,-,-,1,1,6,-,-,-,-,-,-,-,-,-,12,8,15,3
4,(a) Amoebic,2,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
5,(b) Bacillary,36,9,22,133,624,305,-,-,-,2,-,-,-,-,-,-,-,-,21,-,-,1,1,6,-,-,-,-,-,-,-,-,-,12,8,15,5
6,Encephalitis, infectious,-,1,-,5,2,4,-,-,-,:,:,:,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,6
7,Influenza, epidemic,138,131,131,"2,347","1,069","3,304",:,:.,:.,117,54,62,15,29,107,:.,:.,:,-,-,-,1,46,16,5,2,4,-,-,-,:,:,:.,-,-,3,7
8,Measles,753,691,"1,886","7,092","22,803","20,065",-,-,7,:.,:.,:.,93,101,:.,:.,...,...,168,35,314,252,170,621,51,52,103,:.,:,:,66,112,238,123,221,184,8
9,Meningitis, meningococcal,2,6,6,77,67,78,-,4,-,-,-,-,-,-,-,1,1,-,-,-,-,1,1,2,-,-,-,-,-,-,:.,:.,:.,-,-,-,9
10,Mumps,496,342,926,"4,219","10,205","13,369",*,...,9.9,...,R...,P.R,57,47,....,...,R.P.,...,193,27,241,1/4,164,360,21,13,35,..,...,.....,...,...,...,81,91,219,10
