Table: Table_1
,,,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK,,,,,,,,
No.,DISEASE,,,,,Cumulative,Total3,,,,,,,,,,,,,,,,,,,,,,Report,Week,,Report Week,Previous,,,,,No.
,,Report Week,Previous Week,Median 1953-57,1958,1957,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Week,Previous,InMedian 11953-57,,nWeek-,Median 1953-57,Report Week,Previous [Week,Median 1 953-57,
1,Chickenpox,623,906,983,"10,894","15,538","15,928",a.e.,...,,R,6,...,1,25,R.O.,...,R.A.,,76,282,227,398,436,473,18,26,23,,,,,,,130,131,116,1
2,Diphtheria,-,1,1,18,56,43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,2
3,Dysentery:4,2,2,13,140,650,346,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,2,-,1,-,12,3
4,(a) Amoebic,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
5,(b) Bacillary,2,2,12,137,650,341,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,2,-,1,-,12,5
6,Encephalitis, infectious,-,-,1,5,3,6,-,-,-,...,R.9,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6
7,Influenza, epidemic,61,79,171,"2,495","1,302","4,704",P...,R.P.,9.9,55,14,77,the,57,83,9.A,R.P.,...,-,-,-,1,3,12,1,7,1,-,-,-,a.9.,,R.P.,-,-,7,7
8,Measles,494,689,"1,408","8,275","26,899","23,347",-,-,4,9.9.,....,9.8,12,41,...,...,A.A.,..A,25,117,245,206,339,529,32,36,59,...,A.A,9.9,53,54,196,166,102,144,8
9,Meningitis, meningococcal,7,4,7,88,83,90,1,-,-,-,-,-,-,-,-,3,3,1,-,-,1,2,1,1,-,-,-,-,-,-,R.P.,...,...,1,-,1,9
10,Mumps,272,458,764,"4,957","12,039","12,101",....,...,9..,...,....,...,12,86,P...,...,....,9.8,48,129,170,1/1,166,394,24,26,32,P.R.,...,...,...,...,...,47,51,131,10
11,Poliomyelitis, epidemic:4,2,-,4,15,24,56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,1,-,1,
12,(a) With paralysis,2,-,3,12,16,39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,1,11 12
13,(b) Without paralysis,-,-,1,3,6,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13
14,Rubella,192,184,983,"2,409","9,249","8,094",-,-,-,,,.A,,...,,,a.a,,10,4,36,92,95,125,2,5,-,:.,...,:.,75,68,15,13,12,26,14
15,Scarlet fever, etc. 5,158,193,324,"4,011","3,526","4,961",9,10,-,8,2,12,21,29,32,1,-,3,4,23,66,83,86,83,1,10,4,2,6,9,23,20,31,6,7,24,15
16,Smallpox,-,-,-,-,-,-,-,-,-,R.P.,P...,P.R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
17,Tuberculosis: "4,5",131,151,148,"2,086","2,426","2,426",3,2,3,1,1,-,1,-,2,6,$,14,61,71,40,22,22,20,9,8,10,4,3,6,13,15,16,11,21,30,17
18,(a) Pulmonary,100,119,114,"1,637","1,905",1,9/4,3,2,3,-,1,-,1,-,2,5,7,14,59,68,40,(7),(7),(7),8,6,9,2,3,5,13,14,13,9,18,28,18
19,(b) Non-pulmonary,9,10,13,125,151,151,-,-,-,1,-,-,-,-,-,1,1,-,2,3,2,(7),(7),(7),1,2,1,2,-,1,-,1,1,2,3,2,19
20,Typhoid and paratyphoid,3,5,7,71,79,93,-,-,-,-,-,-,-,-,-,-,1,-,2,2,5,1,-,-,-,-,-,-,-,-,-,-,1,-,2,-,20
21,Undulant fever,-,1,3,13,28,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,1,-,-,-,-,-,-,-,...,...,...,1,-,-,21
22,Venereal diseases:,261,329,329,"4,558","4,608","4,650",7,7,13,2,1,-,2,11,12,6,3,6,55,71,90,43,56,58,23,18,27,21,39,27,34,47,49,68,76,55,22
23,(a) Syphilis, primary,1,-,2,26,41,41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,23
24,(b) " secondary,1,1,-,15,10,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,24
25,(c) : other,50,30,44,547,584,683,-,-,3,1,1,-,-,1,1,-,-,1,24,17,18,9,4,9,3,-,1,1,1,1,3,2,1,,4,4,25
26,(d) Gonorrhoea,209,298,275,"3,970","3,971","3,923",7,7,12,1,-,-,2,10,9,6,3,4,31,54,62,34,52,44,19,18,26,20,37,24,31,45,48,58,72,49,26
27,(e) Other venereal diseases⁸,-,-,-,-,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27
28,Whooping cough,81,112,171,"1,706","2,278","2,453",-,-,-,8,2,2,4,6,1,-,-,-,12,31,45,21,41,17,-,4,5,-,1,2,3,5,7,33,22,31,28
