Table: Table_1
,,,,,CANADA²,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK,,,ALTA.,,,,B.C.,,
No.,DISEASE,,,,,Cumulative,Total³,,,,Report,,,,,,Report,Previous Week,,Report Week,Previous Week,1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,1953-57,Report Week,Previous Week,1953-57,Report Week,Previous,1963-57,
,,Report Week,Previous Week,Median 1953-57,1958,1957,Median 1953-57,Report Week,Previous Week,Median 1953-57,Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Week,,Median 1953-57,,,Median,,,,,,,,,,,,Median,,Week,Median,
1,Chickenpox,539,543,769,"15,676","22,076","22,076",*,...,.,1,...,....,2,16,24,9.9,8.9,9.9,77,97,163,346,321,386,23,9,25,,,,,,,90,100,134,1
2,Diphtheria,4,1,1,28,66,50,-,-,=,-,-:,$:,-:,#:,E,-,1,-,4,-:,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,=,2
3,Dysentery:4,4,4,10,186,70,491,-,-,=,1,=:,-,-,-:,-,-,-,-,-,-,1,-,-,1,-,-,-,-,1,-,-,-,-,3,3,6,3
4,(a) Amoebic,-,-,-,4,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
5,(b) Bacillary,4,4,10,182,770,486,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,1,-,-,-,-,3,3,6,5
6,Encephalitis, infectious,-,-,-,8,7,8,-,-,-,R.P.,9..9,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6
7,Influenza, epidemic,260,162,160,"3,693","2,196","7,072",P.R,,,68,37,50,25,53,76,a.a,a...,,-,-,-,-,5,4,2,5,1,-,-,-,...,..A,R.O.,165,62,3,7
8,Measles,"1,065",848,"1,574","15,079","36,913","33,945",-,-,4,,,,17,81,21,,a.e.,,287,146,332,579,502,657,47,40,52,,,,72,44,219,63,35,181,8
9,Meningitis, meningococcal,5,2,6,131,130,136,1,-,1,-,-,-,-,-,1,-,1,-,2,-,1,1,1,-,1,-,-,-,-,-,,,,-,-,-,9
