Table: Table_1
,,,,,CANADA²,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,,,,SASK.,,,ALTA.,,,B.C.,,
No.,DISEASE,,,,,Cumulative,Total³,Report,,,,,,,,,,,,,,,,,,,,1953-57,Report Week,Weak,,Report Week,Previous Week,,Report,,,No.
,,Report Week,Previous Week,Median 1953-57,1958,1957,Median 1953-57,Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,,,Media,,,,,,Median 1953-57,Week,Previous Week,Median 1 953-57,
1,Chickenpox,631,525,714,"18,102","25,109","25,109",:.,:,:,:.,,:.,19,3,28,:.,:.,..,51,98,131,371,269,421,35,,,Venenal,,,,:,:,155,133,113,1
2,Diphtheria,3,-,-,29,68,56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,3,-,-,-,-,-,2
3,Dysentery:4,12,10,14,254,809,600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,,-,2,,,-,1,-,9,3,6,3
4,(a) Amoebic,-,-,-,5,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,4
5,(b) Bacillary,12,10,14,249,809,594,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,5,,,1,-,-,1,-,9,3,6,5
6,Encephalitis, infectious,1,1,-,11,10,11,-,1,-,...,...,...,-,-,-,-,-,-,1,-,-,-,-,-,-,-,,-,-,-,-,1,-,-,-,-,6
7,Influenza; epidemic,49,65,89,"4,016","2,750","7,761",.,9.8,...,41,36,24,7,13,42,...,..,....,-,-,-,-,1,3,1,15,1,-,-,-,...,:.,...,-,-,1,7
8,Measles,"1,056","1,158","1,254","19,536","41,835","39,478",*,-,2,9.9.,R.P.,P...,62,110,30,...,...,9.9.,191,234,226,628,645,484,47,38,38,...,....,...,44,45,188,84,86,195,8
9,Meningitis, meningococcal,4,6,6,149,158,158,3,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,2,-,2,-,-,-,-,.....,...,....,-,1,-,9
10,Mumps,246,275,504,"8,485","18,118","19,111",...,:.,:.,..,:.,...,13,19,26,..,...,...,58,96,120,117,119,259,21,29,15,:.,:.,:.,:,..,:.,37,12,81,10
11,Poliomyelitis, epidemic:4,1,1,7,35,48,131,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,1,-,1,-,-,1,11
12,(a) With paralysis,1,1,5,29,30,80,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,12
13,(b) Without paralysis,-,-,2,6,16,41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,13
14,Rubella,420,383,325,"5,903","14,593","14,593",-,-,-,...,...,...,..,...,...,...,R.P.,9.9,13,15,32,301,301,78,47,6,-,...,...,..,35,45,40,24,16,37,14
15,Scarlet fever, etc.⁵,119,151,170,"5,898","5,367","7,872",5,7,2,3,2,7,13,19,21,-,-,2,15,21,45,48,64,82,3,3,3,1,4,3,30,29,12,1,2,11,15
16,Smallpox,-,-,-,-,-,-,-,-,-,9.9.,...,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
17,Tuberculosis:4,6,108,166,197,"3,728","4,016","4,552",7,10,10,1,2,2,1,2,3,10,3,12,35,74,62,20,18,22,10,15,17,5,9,11,7,20,22,12,13,32,17
18,(a) Pulmonary,79,135,160,"2,902","3,071","3,683",7,10,10,1,1,1,1,1,3,9,3,12,33,73,61,(7),(7),(7),10,14,17,3,8,7,7,15,21,8,10,25,18
19,(b) Non-pulmonary,9,13,14,265,273,273,-,-,-,-,1,-,-,1,-,1,-,-,2,1,1,(7),(7),(7),-,1,-,2,1,3,-,5,1,4,3,4,19
