Table: Table_1
,,,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SAS,,,,,,,,
No.,DISEASE,,,,,Cumulative,Total³,,,,,,,,,,,,,,,,Report,Previous Week,,Report Week,Previous Week,1953-57,Report Week,Previous Week,Median 1953-57[,Report Week,Previous Week,,Report,,,No.
,,Report Week,Previous Week,Median 1953-57,1958,1957,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Week,,Median 1953-57,,,Median,,,,,,Median 1953-57,Week,Previous Week,Median 1953-57,
1,Chickenpox,365,510,392,"18,977","25,853","25,853",*,:,:.,:,,:.,10,24,31,:,:.,:,31,41,58,240,246,188,21,45,29,:,:,:,3,9,:,60,145,79,1
2,Diphtheria,-,-,1,32,69,56,-,-,-,-,-,-,-,-,-,-,-,. -,-,-,1,-,-,-,-,-,-,-,-,=,-,-,-,-,-,-,2
3,Dysentery:4,14,8,12,276,834,642,-,-,-,-,-,-,-,-,-,3,-,-,-,3,1,2,-,1,2,-,-,-,1,-,-,-,-,7,4,5,3
4,(a) Amoebic,-,-,-,5,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
5,(b) Bacillary,14,8,12,271,833,636,-,-,-,-,-,-,-,-,-,3,-,-,-,3,1,2,-,1,2,-,-,-,1,-,-,-,-,7,4,5,5
6,Encephalitis, infectious,-,-,-,11,11,13,-,-,-,:.,..,:.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6
7,Influenza, epidemic,112,260,41,"4,388","2,834","8,035",:.,:,..,25,52,12,66,156,30,..,1,:.,-,-,-,-,-,1,-,1,1,-,-,-,21,.1,:,-,50,4,7
8,Measles,778,929,711,"21,243","42,967","41,140",-,-,3,8,:.,:,61,60,17,:.,:,:,156,105,97,408,610,222,16,55,23,:,:,:,35,35,101,94,64,74,8
9,Meningitis, meningococcal,4,8,6,161,170,170,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,-,1,-,1,-,-,-,:,1,:,1,-,1,9
10,Mumps,151,199,234,"8,835","18,579","19,684",**,:.,..,::,:.,:.,35,20,10,:,..,:,23,11,36,60,112,128,10,27,8,:,:,:,4,5,:,19,24,45,10
11,Poliomyelitis, epidemic:4,-,3,20,38,55,163,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,5,-,3,-,-,-,1,-,-,1,-,-,2,11
12,(a) With paralysis,-,3,8,32,36,99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,-,3,-,-,-,-,-,-,-,-,-,2,12
13,(b) Without paralysis,-,-,8,6,17,53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,2,13
14,Rubella,67,225,172,"6,195","14,927","14,927",-,-,-,....,:.,..,10,::,:.,...,..,....,12,7,10,-,169,65,3,3,2,:.,..,...,28,33,14,14,13,10,14
15,Scarlet fever, etc.⁵,116,141,116,"6,155","5,548","8,176",5,8,1,7,10,6,28,33,28,-,-,-,3,5,24,37,61,30,2,5,4,1,-,2,10,16,11,23,3,5,15
16,Smallpox,-,-,-,-,-,-,-,-,-,9.9.,...,R.P.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
17,Tuberculosis: "4,6",144,130,176,"4,018","4,228","4,935",2,2,8,3,3,1,-,1,4,13,18,11,71,42,70,19,19,23,11,20,12,-,10,7,16,-,18,9,15,26,17
18,(a) Pulmonary,112,99,146,"3,127","3,219","3,994",2,2,8,2,2,1,-,-,3,13,17,11,67,40,69,(7),(7),(7),9,17,12,-,7,6,12,-,17,7,14,22,18
19,(b) Non-pulmonary,13,12,7,292,285,285,-,-,-,1,1,-,-,1,-,-,1,-,4,2,2,(7),(7),(7),2,3,-,-,3,2,4,-,2,2,1,1,19
20,Typhoid and paratyphoid,8,2,4,148,145,213,-,-,-,-,-,-,1,-,-,-,-,-,-,1,1,,-,1,-,-,-,1,-,-,-,-,-,6,1,-,20
21,Undulant fever,1,2,2,51,63,63,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,:,:.,:,-,1,-,21
22,Venereal diseases:,370,344,310,"8,566","8,594","8,683",7,21,6,-,3,-,2,3,10,6,9,6,100,71,74,65,35,53,22,12,26,19,37,20,65,70,42,84,83,68,22
23,(a) Syphilis, primary,2,2,3,45,73,73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,,1,-,-,-,1,-,23
24,(b) " secondary,2,4,-,29,26,26,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,1,1,-,,-,-,-,-,-,,1,--,-,-,-,24
