Table: Table_1
,,,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,enereal.,,,,B.C.,,
No.,DISEASE,,,,,Cumulative,Total³,,,,Report,,,,,,,,,Report,Previous Week,1953-57,Report Week,Previous Week,1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1963-57,Report,Control e,,,ous Waek,1 953-57,No.
,,Report Week,Previous Week,Median 1953-57,1958,1957,Median 1953-57,Report Week,Previous Week,Median 1953-57,Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Week,,Median,,,Median,,,,,P,,,Pr,,,,Median,
1,Chickenpox,107,72,98,"20,403","27,051","27,051",:,:.,:.,.....,:,:,-,-,6,:,:.,:,44,12,14,33,50,27,6,4,13,:,:,:,:,:,:,24,6,20,1
2,Diphtheria,1,-,2,34,96,68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2
3,Dysentery:4,44,41,18,510,902,771,-,4,-,3,-,-,-,2,-,1,-,-,1,2,1,1,7,3,5,5,-,-,-,-,4,-,2,29,21,6,3
4,(a) Amoebic,-,-,-,8,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
5,(b) Bacillary,44,41,18,502,898,752,-,4,-,3,-,-,-,2,-,1,-,-,1,2,1,1,7,3,5,5,-,-,-,-,4,-,2,29,21,6,5
6,Encephalitis, infectious,-,2,1,14,22,22,-,1,-,...,....,...,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,6
7,Influenza, epidemic,66,63,113,"5,370","4,485","8,801",,R.S.,....,20,39,39,20,22,43,1,....,...,-,-,-,-,-,3,-,1,2,-,-,-,...,,:,25,1,-,7
8,Measles,162,162,152,"24,003","45,359","43,678",*,-,1,9,10,...,2,3,17,..,...,...,11,29,15,110,72,37,5,8,9,...,.....,..,10,15,34,15,25,16,8
9,Meningitis, meningococcal,3,6,5,205,220,209,1,-,1,-,-,-,-,2,-,-,-,-,-,-,-,1,2,1,1,1,-,-,-,-,....,.....,:.,-,1,-,9
10,Mumps,27,57,100,"9,494","19,532","20,726",P.A.,R.P.,9.3,R.P.,...,R.P.,-,5,6,R.P.,R..,R.R.,4,5,14,14,34,64,6,3,5,...,....,.....,.....,...,....,3,10,15,10
11,Poliomyelitis, epidemic:4,19,14,76,99,152,599,-,-,-,-,-,-,-,-,1,-,-,3,-,-,9,-,1,15,16,11,3,-,-,7,3,2,10,-,-,8,11
12,(a) With paralysis,12,12,27,80,92,318,-,-,-,-,-,-,-,-,1,-,-,-,-,-,7,-,1,5,10,10,1,-,-,1,2,1,3,-,-,3,12
13,(b) Without paralysis,7,2,32,19,58,227,-,-,-,-,-,-,-,-,-,-,-,2,-,-,4,-,-,5,6,1,2,-,-,4,1,1,6,-,-,6,13
14,Rubella,47,28,28,"6,591","15,607","15,607",-,-,-,2.2,R.P.,R.A,9.9,R.9.,...,R.P.,....,R.R.,-,4,1,10,4,9,21,1,-,...,....,...,7,11,8,9,8,8,14
15,Scarlet fever, etc.5,46,56,61,"6,655","6,177","8,878",8,9,1,9,7,3,2,15,12,-,-,1,1,3,9.,13,7,11,3,1,2,-,-,4,2,2,2,8,12,3,15
