Table: Table_1
,,,,,CANADA²,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SEP,26,1958,ALTA,,,B.C.,,
No.,DISEASE,Report Week,Previous Week,,,Cumulative,Total,,,,,,,,,,,,,,,,,,,,,,,Venereals,,,Disease,,,,,No.
,,,,Median 1953-57,1958,1957,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,1953-57,,,Control,,Previou Week,Median 1953-57,Week,Previous Week,Median 1953-57,
1,Chickenpox,98,81,118,"20,583","27,251","27,251",:,:,:,:,:,: .,-,-,11,:,: .,:,5,41,29,58,24,47,7,6,,,,,:,:.,:,28,10,18,
2,Diphtheria,1,1,1,36,104,71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,1
3,Dysentery:4,47,35,13,593,980,791,-,-,-,-,8,-,-,-,-,-,-,-,10,5,2,6,4,2,3,1,1,1,-,-,2,2,-,25,15,3,2
4,(a) Amoebic,-,-,-,9,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
5,(b) Bacillary,47,35,13,584,976,772,-,-,-,-,8,-,-,-,-,-,-,-,10,5,2,6,4,2,3,1,1,1,-,-,2,2,-,25,15,3,4 5
6,Encephalitis, infectious,3,4,2,21,23,25,-,-,-,...,...,..,-,-,-,-,-,-,-,-,-,-,-,1,3,-,1,-,3,-,-,1,-,-,-,-,6
7,Influenza, epidemic,114,66,54,"5,550","6,773","8,969",...,R.P.,9.A,33,25,25,74,38,24,R.P.,1,...,1,-,-,-,-,4,1,2,2,-,-,-,...,...,.....,5,-,1,7
8,Measles,549,116,150,"24,670","45,652","43,969",-,-,-,A.P.,...,a.a,18,2,6,R.P.,...,A.R,13,32,29,93,70,34,382,-,4,S.P.,P...,....,21,12,24,22,-,25,8
