Table: Table_1
,,,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,,,,SASK.,,,ALTA.,,,B.C.,,
No.,DISEASE,,,,,Cumulative,Total³,,,,,,,,,,,,,,,,,,,,,,,Previous,,Report Week,Previous,,,,,No.
,,Report Week,Previous Week,Median 1953-57,1958,1957,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous,Median 1953-57,CoReport Week,Week,Median -1953-57,,Week,Median 1953-57,Report Week,Previous Week,Median 1 953-57,
1,Chickenpox,72,98,110,"20,655","27,361","27,361",:,:,:.,:,:,:.,1,-,2,:,:,:,14,5,48,39,58,41,10,,7.5,:,,,,:,:,8,28,17,1
2,Diphtheria,1,1,1,37,105,72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,1,1,-,-,-,-,2
3,Dysentery:4,38,47,10,631,990,810,-,-,-,6,-,-,-,-,-,1,-,-,11,10,2,6,6,2,3,3,,,1,-,-,2,-,11,25,2,3
4,(a) Amoebic,-,-,-,9,5.,4,-,-,-,-,-,-,-,-,-,(7),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
5,(b) Bacillary,37,47,9,621,985,791,-,-,-,6,-,-,-,-,-,(7),-,-,11,10,2,6,6,2,3,3,-,-,1,-,-,2,-,11,25,2,5
6,Encephalitis, infectious,-,3,1,21,24,29,-,-,-,A.P.,9.8,R.P.,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,-,-,-,-,-,-,-,-,-,6
7,Influenza, epidemic,46,114,77,"5,598","10,029","9,203",..A,A.9.,9.A,15,33,30,19,74,39,A.9,...,R.R.,-,1,-,1,-,2,6,1,4,-,-,-,9.8,....,...,5,5,1,7
8,Measles,262,551,152,"24,939","45,856","44,175",*,-,2,a.e.,,a.a,6,20,17,a.e.,,a.a,123,13,31,101,93,28,8,382,8,A.P.,9.A,a.e.,11,21,26,13,22,20,8
9,Meningitis, meningococcal,10,2,4,221,240,232,4,-,1,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,1,-,-,1,-,-,...,...,:.,2,-,-,9
10,Mumps,105,79,139,"9,724","19,886","21,139",...,R.P.,9.A,A.9,...,R.P.,-,16,2,R.9,...,R.R.,47,5.,25,35,44,56,5,4,8,...,.....,...,...,....,...,18,10,31,10
11,Poliomyelitis, epidemic:4,29,15,52,165,212,765,1,-,-,-,-,-,-,-,2,-,-,1,7,6,13,3,-,10,16,6,-,1,-,5,1,3,12,-,-,5,11
12,(a) With paralysis,23,9,20,130,128,393,1,-,-,-,-,-,-,-,1,-,-,1,6,5.,8,3,-,8,12,4,-,1,-,3,-,-,-,-,-,2,12
13,(b) Without paralysis,6,6,21,35,80,293,-,-,-,-,-,-,-,-,-,-,-,1,1,1,5,-,-,4,4,2,-,-,-,2,1,3,2,-,-,5,13
14,Rubella,60,52,44,"6,739","15,785","15,785",-,-,-,....,....,...,6,2,...,....,9.3,...,-,-,6,15,16,16,20,19,-,:.,:.,...,15,9,10,4,6,8,14
15,Scarlet fever, etc.5,85,66,96,"6,956","6,412","9,176",6,5,1,13,3,8,16,27,16,1,1,-,8,3,15,19,15,18,2,6,3,3,3,1,8,2,10,9,1,13,15
16,Smallpox,-,-,-,-,-,-,-,-,-,...,9.9,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
17,Tuberculosis: "4,6",151,112,178,"5,397","5,923","7,099",3,6,6,1,-,-,2,-,4,11,15,10,82,32,73,16,17.,13,10,9.,12,-,1,9,14,19,18,12,13,15,17
18,(a) Pulmonary,123,86,149,"4,215","4,587","5,842",3,6,6,-,-,-,2,-,1,9,14,10,79,32,70,(7),(7),(7),8,6,12,-,1,6,11,16,18,11,11,14,18
19,(b) Non-pulmonary,12,9,10,409,386,403,-,-,-,1,-,-,-,-,-,2,1,-,3,-,3,(7),(7),(7),2,3,-,-,-,2,3,3,1,1,2,1,19
20,Typhoid and paratyphoid,7,10,18,238,220,327,-,-,1,-,-,-,-,-,-,-,-,-,4,7,7,2,3,3,-,-,-,1,-,-,-,-,1,-,-,2,20
21,Undulant fever,-,2,1,78,103,101,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-,-,-,-,-,-,-,:.,:.,:.,-,-,-,21
22,Venereal diseases:,362,359,382,"12,078","12,171","12,310",-,8,5,-,-,-,10,8,12,9,6,7,70,67,66,57,56,67,31,47,27,29,39,25,77,54,69,79,74,68,22
23,(a) Syphilis, primary,2,2,5,70,104,104,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,1,-,-,-,-,1,-,-,1,-,-,-,-,23
24,(b) " secondary,5,1,1,51,33,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,-,1,-,-,-,-,-,1,-,1,-,-,-,24
25,(c) " other,30,31,42,"1,336","1,546","1,655",-,-,-,-,-,-,-,-,2,2,-,1,18,11,16,4,12,11,1,-,-,1,4,2,1,2,3,3,2,3,25
26,(d) Gonorrhoea,325,325,325,"10,618","10,480","10,480",-,8,5,-,-,-,10,8,10,7,6,6,51,56,55,49,43,55,29,47,27,28,34,23,75,51,63,76,72,67,26
27,(e) Other venereal diseases⁸,-,-,-,3,8,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27
28,Whooping cough,155,194,305,"4,853","5,623","6,308",-,-,-,7,11,-,11,35,8,-,-,1,45,16,110,44,67,52,3,1,4,2,4,8,22,17,25,21,43,25,28
