Table: Table_1
,,,,DEPT.,,1958,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
No.,DISEASE,,,,,,Disease,,,,,,,,,,,,,,,,Report,Previous Week,1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,1953-57,Report Week,Previous Week,1 953-57,No.
,,Report Week,Previous Week,Median 1953-57,Veternal,1957,Median 1953-57,,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Week,,Median,,,,,,,,,Median,,,Median,
1,Chickenpox,113,153,202,"21,059",,"27,766",*,:,,:,:,:.,3,3,3,:.,:,:,28,28,67,36,86,71,11,1,11,:.,:,:,:.,:.,: .,35,35,51,1
2,Diphtheria,6,w -,,45,110,89,6,(#) -,# -,-,-,-,e -,the -,as -,-,- -,41 -,- -,- -,1,VS-,,14-,,-,a -,-,- -,-,-,-,,,-,-,2
3,Dysentery:4,30,37,12,,"1,023",840,-,-,-,-,2,-,-,-,-,-,-,-,3,1,1,2,7,1,2,3,-,2,-,-,2,5,-,19,19,6,3
4,(a) Amoebic,-,-,-,9.,5,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
5,(b) Bacillary,30,37,12,767,"1,018",816,-,-,-,-,2,-,-,-,-,-,-,-,3,1,1,2,7,1,2,3,-,2,-,-,2,5,-,19,19,6,5
6,Encephalitis, infectious,1,-,-,23,26,33,-,-,-,...,...,..,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,6
7,Influenza, epidemic,19,103,118,"5,838","53,506","9,685",,...,....,9,65,19,8,37,64,...,...,...,-,-,-,-,-,2,2,-,1,-,-,-,:..,:.,..,-,1,1,7
8,Measles,321,281,301,"25,857","46,466","45,380",**,-,-,..,.....,.....,21,30,11,...,...,....,28,22,73,110,129,40,30,10,7,:,....,:,49,43,11,83,47,31,8
9,Meningitis, meningococcal,4,4,5,233,266,213,2,1,-,-,-,-,-,-,-,1,-,-,-,1,-,-,2,7,-,-,1,1,-,-,..,...,.....,-,-,-,9
10,Mumps,98,145,171,"10,064","20,196","21,791",R.P.,...,P...,...,R.P.,...,2,15,4,...,R.R.,9.9,15,21,47,35,82,61,23,6,11,.....,...,.....,...,...,.....,23,21,42,10
