Table: Table_1
,,,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,OCT,1958,,,B.,,
No.,DISEASE,,,,,Cumulative,Total³,Report,,,Report,Previous,,Report,Previous,,Report,Previous Week,1953-57,Report Week,Previous Week,1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report,Previous Week,Median 1953-57,Report Week),Previous Week,Median 1953*5,Reports Week);,Previous,Median 1 953-57,No.
,,Report Week,Previous Week,Median 1953-57,1958,1957,Median 1953-57,Week,Previous Week,Median 1953-57,Week,Week,Median 1953-57,Week,Week,Median 1953-57,Week,,Median,,,Median,,,,,,,,,,,,,,Week,,
1,Chickenpox,168,115,377,"21,229","27,935","28,154",*,:,:.,:,,:.,4,5,15,:.,:,..,34,28,91,80,36,146,7,11,16,.,,,:.,:,:.,- 43,35,51,1
2,Diphtheria,-,9,2,48,112,90,-,6,-,-,-,-,-,-,-,-,-,-,-,3,1,-,:-,-,-,-,-,-,-,-,-,-,-,-,-,,2
3,Dysentery:4,37,30,7,814,"1,025",847,-,-,-,-,-,-,1,-,-,-,-,-,3,3,1,10,2,-,-,2,1,7,2,-,13,2,-,9,19,3,3
4,(a) Amoebic,-,-,-,9,5,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
5,(b) Bacillary,37,30,6,804,"1,020",822,-,-,-,-,-,-,1,-,-,-,-,-,3,3,1,10,2,-,-,2,1,1,2,-,13,2,-,9,19,3,5
6,Encephalitis, infectious,-,1,1,23,26,34,-,-,-,:.,:.,:.,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,6
7,Influenza, epidemic,66,66,62,"5,951","90,512","9,745",**,:,:.,33,9,22,18,55,42,:.,...,...,-,-,-,-,-,3,2,2,6,-,-,-,:,:.,: .,13,-,-,7
8,Measles,491,321,360,"26,348","46,596","46,166",***,-,1,:,:.,:.,51,21,9,...,....,.....,33,28,57,300,110,68,35,30,13,...,...,..,28,49,22,44,83,61,8
