Table: Table_1
,,,,,CANADA2,(9),,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
No.,DISEASE,,,,,Cumulative,Total³,Report,Previous,,Report,Previous,,Report,,,Report,Previous Week,,Report Week,Previous Week,1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1 953-57,No.
,,Report Week,Previous Week,Median 1953-57,1958,1957,Median 1953-57,Week,Week,Median 1953-57,Week,Week,Median 1953-57,Week,Previous Week,Median 1953-57,Week,,Median 1953-57,(9),(9),Median,,,,,,,,,,,,,,,,
1,Chickenpox,394,358,774,"23,004","29,467","31,836",*,:.,..,7,6,..,2,11,35,:.,..,::,-,-,245,251,162,317,40,30,44,:,..,...,:.,:.,..,94,149,108,1
2,Diphtheria,1,-,4,56,129,118,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,1,-,--,-,-,=,-,-,-,-,2
3,Dysentery:4,33,24,19,978,"1,051",934,-,-,-,-,-,-,-,3,-,1,-,-,-,-,1,8,10,3,3,-,-,-,-,-,-,2,-,21,9,8,3
4,(a) Amoebic,-,-,-,9,5,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
5,(b) Bacillary,33,24,19,968,"1,046",904,-,-,-,-,-,-,-,3,-,1,-,-,-,-,1,8,10,3,3,-,-,-,-,-,-,2,-,21,9,8,5
6,Encephalitis, infectious,1,-,1,25,30,39,-,-,-,:.,:.,:.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,6
7,Influenza, epidemic,103,95,131,"6,597","247,163","10,371",**,:.,::,88,47,20,-,39,106,2,..,:.,-,-,-,1,-,3,12,1,-,-,-,-,:.,..,:.,-,8,6,7
8,Measles,849,875,722,"30,229","47,637","47,637",***,-,7,....,....,..,22,82,41,...,...,...,-,-,130,698,513,176,34,23,66,...,.....,...,39,177,64,56,78,104,8
9,Meningitis, meningococcal,4,1,4,261,303,269,1,1,-,-,-,-,-,-,-,-,-,1,-,-,1,2,-,1,-,-,-,-,-,-,....,...,.....,1,-,1,9
10,Mumps,219,204,580,"11,174","21,131","24,204",...,R.P.,9.8,6,...,R.P.,-,15,14,R.R.,...,R.R.,-,-,98,151,142,202,34,6,13,...,R.P.,9.8,....,...,R...,28,41,82,10
11,Poliomyelitis, epidemic:4,1,3,21,278,265,979,-,-,1,-,-,-,-,-,-,-,-,-,-,-,7,-,1,2,1,1,-,-,-,1,-,1,9,-,-,1,11
12,(a) With paralysis,1,3,16,214,167,524,-,-,1,-,-,-,-,-,-,-,-,-,-,-,4,-,1,1,1,1,-,-,-,-,-,1,2,-,-,1,12
13,(b) Without paralysis,-,-,5,64,92,366,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,3,-,-,-,13
14,Rubella,69,77,46,"7,230","16,176","16,176",-,-,-,,,,,3,9.9,R.P.,9.9.,A.R.,-,-,6,39,33,13,4,2,1,9.8,R...,...,13,16,12,13,23,16,14
15,Scarlet fever, etc.⁵,289,314,242,"8,994","7,713","10,711",12,19,8,4,7,5,3,55,38,1,4,1,-,-,63,64,54,46,89,50,9,16,45,7,9,15,21,91,65,15,15
,Smallpox,-,-,-,-,-,-,-,-,-,.....,...,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
16 17,Tuberculosis: "4,6",78,98,183,"6,436","7,232","8,906",5,9,3,-,1,1,-,-,2,6,26,4,-,-,73,21,24,25,4,9,19,-,4,9,19,15,23,23,10,27,17
18,(a) Pulmonary,52,68,148,"5,015","5,582","7,350",5,9,3,-,1,-,-,-,2,6,26,4,-,-,70,(7),(7),(7),4,8,19,-,4,9,18,13,21,19,7,26,18
19,(b) Non-pulmonary,5,6,7,470,460,500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,(7),(7),(7),-,1,-,-,-,-,1,2,2,4,3,2,19
20,Typhoid and paratyphoid,-,2,8,274,263,419,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,1,-,-,-,-,-,-,-,-,-,-,-,1,1,20
21,Undulant fever,1,1,1,92,117,119,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,..,:.,:.,-,-,-,21
22,Venereal diseases:,301,348,341,"15,113","14,868","15,196",5,7,6,-,-,2,5,10,8,6,10,4,60,62,66,39,54,62,38,46,34,23,44,28,46,63,58,79,52,70,22
23,(a) Syphilis, primary,3,3,1,105,136,136,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,D,1,-,1,1,-,23
24,(b) " secondary,4,2,1,74,42,49,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,1 1,-,-,V,2,-,-,-,-,24
," other,38,36,45,"1,648","1,870","2,066",1,-,1,-,-,-,-,4,1,3,2,-,8,11,17,8,8,12,1,2,1,2,1,2,10,3,2,5,5,-,25
25 26,(c) (d) Gonorrhoea,256,307,291,"13,280","12,808","13,219",4,7,5,-,-,1,4,6,8,3,8,4,51,51,43,30,46,45,37,44,33,20,42,28,34,57,58,73,46,69,26
27,(e) Other venereal diseases⁸,-,-,-,6,12,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27
28,Whooping cough,109,131,240,"6,114","6,888","8,487",1,-,-,7,15,4,-,2,10,-,1,2,-,-,70,91,77,68,-,-,4,-,-,3,4,18,24,6,18,23,28
