Table: Table_1
,,,,,CANADA2,(9),,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA,DEC2,,9B.c.,,
No.,DISEASE,,,,,Cumulative,Total³,Report Week,Previous Week,1953-57,Report Week,Previous Week,,Report Week,Previous Week,1953-57,Report Week,Previous Week,1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,,Previous Week,Median 1953-57,Week Report,Previous),Median 1953-57,No.
,,Report Week,Previous Week,Median 1953-57,1958,1957,Median 1953-57,,,Median,,,Median 1953-57,,,Median,,,Median,(9),(9),,,,,,,,,,,Week (10),,,,Week,,
1,Chickenpox,522,545,"1,087","24,569","31,027","34,696",:.,:,:.,7,4,:,39,17,27,:,:,:.,-,-,322,260,269,438,12,33,43,:.,:,:,,,,,222,128,1
2,Diphtheria,-,-,3,61,137,134,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,,,,-,-,-,2
3,Dysentery:4,22,14,12,"1,069","1,084","1,015",-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,12,11,1,-,-,2,-,-,-,-,-,-,10,3,2,3
4,(a) Amoebic,-,-,-,9,6,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
5,(b) Bacillary,22,14,12,"1,059","1,078",983,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,12,11,1,-,-,2,-,-,-,-,-,-,10,3,2,5
6,Encephalitis, infectious,-,-,1,25,31,41,-,-,-,...,...,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6
7,Influenza, epidemic,103,139,122,"6,977","253,607","10,858",9.8,8.9,...,79,63,L8,S,72,62,1,....,...,-,-,-,-,2,3,8,1,2,-,-,-,:.,:,:,7,1,-,7
8,Measles,646,968,"1,059","32,810","48,592","51,593",*,-,1,...,....,3.2.,13,50,10,...,....,....,-,-,167,399,609,258,11,14,37,..,..,...,-,62,115,223,1/5,99,8
9,Meningitis, meningococcal,3,3,6,274,319,291,1,-,2,-,-,-,-,1,-,-,-,-,-,-,-,1,2,1,1,-,1,-,-,1,.....,...,.....,-,-,1,9
10,Mumps,243,207,572,"11,890","21,901","26,086",:.,:.,:.,:.,3,:.,14,5,22,:,:,:.,-,-,204,169,137,231,12,25,27,:.,:,:,..,:,:,48,37,103,10
11,Poliomyelitis, epidemic:4,1,3,27,286,269,"1,008",-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,1,1,-,1,-,1,1,-,-,1,-,2,4,11
12,(a) With paralysis,1,2,9,220,169,542,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,1,-,-,1,-,-,1,-,2,2,12
,Without paralysis,-,1,3,66,94,373,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,13
13,(b) Rubella,56,88,86,"7,464","16,464","16,464",-,-,1,....,...,:.,11,:,:,:.,:.,:.,-,-,8,26,45,30,5,C2,-,:,:,:,-,27,35,14,8,8,14
14 15,Scarlet fever, etc.⁵,278,484,273,"10,130","8,232","11,252",5,13,7,10,19,15,12,116,38,-,-,1,-,-,63,45,61,57,55,57,5,39,64,7,-,27,20,112,127,23,15
,Smallpox,-,-,-,-,-,-,-,-,-,....,....,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
16 17,Tuberculosis:,43,73,173,"6,611","7,695","9,496",1,6,6,-,-,1,-,1,-,11,13,10,-,-,51,16,19,18,6,6,10,-,5,3,-,5,29,9,18,31,17
18,(a) Pulmonary,25,49,139,"5,156","5,927","7,845",1,6,6,-,-,-,-,1,-,9,12,10,-,-,49,(7),(7),(7),6,6,9,-,4,6,-,4,28,9,16,28,18
19,(b) Non-pulmonary,2,5,7,483,487,533,-,-,-,-,-,-,-,-,-,2,1,-,-,-,2,(7),(7),(7),-,-,-,-,1,1,-,1,1,-,2,1,19
20,Typhoid and paratyphoid,-,3,7,279,272,434,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,1,-,-,-,-,1,-,-,-,-,-,2,1,20
,Undulant fever,1,2,2,95,118,127,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,2,-,-,-,-,:,:.,:.,-,-,-,21
21 22,Venereal diseases:,99,321,317,"15,802","15,875","16,140",6,5,10,-,-,-,8,13,10,4,7,6,47,60,63,(10),76,53,14,20,35,20,28,22,-,45,54,(10),67,73,22
,Syphilis, primary,-,3,4,112,139,139,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,1,-,-,-,-,-,-,1,23
23 24,(a) (b) " secondary,1,1,1,79,45,52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,,-,-,-,-,-,-,-,-,-,-,-,24
25," other,15,34,38,"1,734","1,979","2,174",-,-,1,-,-,-,1,2,1,1,1,1,11,20,17,-,7,10,2,-,2,-,1,1,-,-,1,-,3,3,25
26,(c) (d) Gonorrhoea,83,283,276,"13,870","13,700","14,076",6,5,9,-,-,-,7,11,8,3,6,4,36,40,45,-,67,47,11,19,32,20,26,20,-,45,54,-,64,69,26
27,(e) Other venereal diseases⁸,-,-,-,7,12,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27
28,Whooping cough,105,101,258,"6,432","7,309","9,123",-,-,-,7,2,to,-,-,7,-,-,-,-,-,58,84,77,42,5,-,3,-,1,10,-,14,14,9,7,24,28
