source_file,disease,cases
cdi_ca_1956_wk_prov_dbs_Part1_tables.csv,Chickenpox,927
cdi_ca_1956_wk_prov_dbs_Part1_tables.csv,Mumps,809
cdi_ca_1956_wk_prov_dbs_Part2_tables.csv,Chickenpox,1369
cdi_ca_1956_wk_prov_dbs_Part2_tables.csv,Mumps,923
cdi_ca_1956_wk_prov_dbs_Part3_tables.csv,Chickenpox,1145
cdi_ca_1956_wk_prov_dbs_Part3_tables.csv,Mumps,709
cdi_ca_1956_wk_prov_dbs_Part4_tables.csv,Chickenpox,1345
cdi_ca_1956_wk_prov_dbs_Part4_tables.csv,Mumps,
cdi_ca_1956_wk_prov_dbs_Part5_tables.csv,Chickenpox,1285
cdi_ca_1956_wk_prov_dbs_Part5_tables.csv,Mumps,1084
cdi_ca_1956_wk_prov_dbs_Part6_tables.csv,Chickenpox,1279
cdi_ca_1956_wk_prov_dbs_Part6_tables.csv,Mumps,876
cdi_ca_1956_wk_prov_dbs_Part7_tables.csv,Chickenpox,1303
cdi_ca_1956_wk_prov_dbs_Part7_tables.csv,Mumps,886
cdi_ca_1956_wk_prov_dbs_Part8_tables.csv,Chickenpox,1199
cdi_ca_1956_wk_prov_dbs_Part8_tables.csv,Mumps,1102
cdi_ca_1956_wk_prov_dbs_Part9_tables.csv,Chickenpox,1224
cdi_ca_1956_wk_prov_dbs_Part9_tables.csv,Mumps,904
cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,Chickenpox,1111
cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,Mumps,820
cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,Chickenpox,1135
cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,Mumps,1139
cdi_ca_1956_wk_prov_dbs_Part12_tables.csv,Chickenpox,1028
cdi_ca_1956_wk_prov_dbs_Part12_tables.csv,Mumps,926
cdi_ca_1956_wk_prov_dbs_Part13_tables.csv,Chickenpox,690
cdi_ca_1956_wk_prov_dbs_Part13_tables.csv,Mumps,715
cdi_ca_1956_wk_prov_dbs_Part14_tables.csv,Chickenpox,813
cdi_ca_1956_wk_prov_dbs_Part14_tables.csv,Mumps,709
cdi_ca_1956_wk_prov_dbs_Part15_tables.csv,Chickenpox,848
cdi_ca_1956_wk_prov_dbs_Part15_tables.csv,Mumps,852
cdi_ca_1956_wk_prov_dbs_Part16_tables.csv,Chickenpox,883
cdi_ca_1956_wk_prov_dbs_Part16_tables.csv,Mumps,1050
cdi_ca_1956_wk_prov_dbs_Part17_tables.csv,Chickenpox,871
cdi_ca_1956_wk_prov_dbs_Part17_tables.csv,Mumps,783
cdi_ca_1956_wk_prov_dbs_Part18_tables.csv,Chickenpox,766
cdi_ca_1956_wk_prov_dbs_Part18_tables.csv,Mumps,791
cdi_ca_1956_wk_prov_dbs_Part19_tables.csv,Chickenpox,715
cdi_ca_1956_wk_prov_dbs_Part19_tables.csv,Mumps,676
cdi_ca_1956_wk_prov_dbs_Part20_tables.csv,Chickenpox,820
cdi_ca_1956_wk_prov_dbs_Part20_tables.csv,Mumps,542
cdi_ca_1956_wk_prov_dbs_Part21_tables.csv,Chickenpox,841
cdi_ca_1956_wk_prov_dbs_Part21_tables.csv,Mumps,574
cdi_ca_1956_wk_prov_dbs_Part22_tables.csv,Chickenpox,750
cdi_ca_1956_wk_prov_dbs_Part22_tables.csv,Mumps,629
cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,Chickenpox,804
cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,Mumps,662
cdi_ca_1956_wk_prov_dbs_Part24_tables.csv,Chickenpox,611
cdi_ca_1956_wk_prov_dbs_Part24_tables.csv,Mumps,491
cdi_ca_1956_wk_prov_dbs_Part25_tables.csv,Chickenpox,632
cdi_ca_1956_wk_prov_dbs_Part25_tables.csv,Mumps,417
cdi_ca_1956_wk_prov_dbs_Part26_tables.csv,Chickenpox,377
cdi_ca_1956_wk_prov_dbs_Part26_tables.csv,Mumps,295
cdi_ca_1956_wk_prov_dbs_Part27_tables.csv,Chickenpox,1
cdi_ca_1956_wk_prov_dbs_Part27_tables.csv,Mumps,5
cdi_ca_1956_wk_prov_dbs_Part28_tables.csv,Chickenpox,1
cdi_ca_1956_wk_prov_dbs_Part28_tables.csv,Mumps,2
cdi_ca_1956_wk_prov_dbs_Part29_tables.csv,Chickenpox,301
cdi_ca_1956_wk_prov_dbs_Part29_tables.csv,Mumps,138
cdi_ca_1956_wk_prov_dbs_Part30_tables.csv,Chickenpox,226
cdi_ca_1956_wk_prov_dbs_Part30_tables.csv,Mumps,150
cdi_ca_1956_wk_prov_dbs_Part31_tables.csv,Chickenpox,188
cdi_ca_1956_wk_prov_dbs_Part31_tables.csv,Mumps,128
cdi_ca_1956_wk_prov_dbs_Part32_tables.csv,Chickenpox,
cdi_ca_1956_wk_prov_dbs_Part32_tables.csv,Mumps,
cdi_ca_1956_wk_prov_dbs_Part33_tables.csv,Chickenpox,94
cdi_ca_1956_wk_prov_dbs_Part33_tables.csv,Mumps,100
cdi_ca_1956_wk_prov_dbs_Part34_tables.csv,Chickenpox,235
cdi_ca_1956_wk_prov_dbs_Part34_tables.csv,Mumps,127
cdi_ca_1956_wk_prov_dbs_Part35_tables.csv,Chickenpox,98
