Row,Chickenpox,Measles
1,927,1574
2,1369,1634
3,1145,1332
4,1345,1779
5,1285,1717
6,1279,1795
7,1303,1676
8,1199,1947
9,1224,1862
10,1111,1697
11,1135,1323
12,1028,1321
13,690,1388
14,813,1195
15,848,1077
16,883,1290
17,871,1317
18,766,1348
19,715,1388
20,820,1458
21,841,1659
22,750,1285
23,804,1390
24,611,1377
25,632,1137
26,377,698
27,255,489
28,252,470
29,301,552
30,226,396
31,188,247
32,133,423
33,94,204
34,235,246
35,98,152
36,90,310
37,119,192
38,119,235
39,122,343
40,161,222
41,350,343
42,461,767
43,592,522
44,645,724
45,634,687
46,842,827
47,876,907
48,994,1283
49,863,1251
50,923,1284
51,519,806
52,609,884
53,956,1126
54,1087,1830
55,1017,1678
56,871,1872
57,1110,1832
58,1104,1799
59,1121,1625
60,1025,1765
61,1319,1730
62,1243,1981
63,1110,1582
64,1257,2102
65,1257,2183
66,950,1878
67,895,1020
68,1004,1504
69,758,1655
70,1340,1614
71,990,840
72,775,1130
73,772,873
74,762,900
75,881,1292
76,731,1115
77,665,1254
78,439,598
79,303,534
80,255,541
81,202,435
82,257,300
83,123,319
84,76,192
85,67,245
86,68,178
87,109,94
88,82,172
89,114,117
90,109,198
91,115,185
92,129,231
93,159,151
94,169,130
95,287,100
96,282,130
97,275,170
98,258,196
99,385,394
100,402,224
101,646,385
102,474,285
103,308,211
104,398,248
105,649,312
106,1166,592
107,784,466
108,810,391
109,741,574
110,638,771
111,898,822
112,822,677
113,989,618
114,832,576
115,768,691
116,845,753
117,903,665
118,623,494
119,608,695
120,873,935
121,768,1068
122,780,819
123,642,1026
124,538,773
125,539,1065
126,661,1095
127,609,1112
128,525,1158
129,631,1056
130,486,869
131,365,778
132,321,708
133,266,508
134,192,346
135,134,267
136,263,310
137,67,200
138,553,144
139,107,162
140,81,125
141,98,549
142,72,262
143,137,294
144,153,281
145,113,321
146,168,491
147,341,469
148,351,645
149,312,661
150,358,873
151,394,849
152,487,867
153,534,965
154,522,646
155,232,602
156,265,611
