Row,Chickenpox,Measles
1,927.0,1574.0
2,1369.0,1634.0
3,1145.0,1332.0
4,1345.0,1779.0
5,1285.0,1717.0
6,1279.0,1795.0
7,1303.0,1676.0
8,1199.0,1947.0
9,1224.0,1852.0
10,1111.0,1697.0
11,1135.0,1323.0
12,1028.0,1321.0
13,690.0,1388.0
14,813.0,1195.0
15,848.0,1077.0
16,883.0,1290.0
17,871.0,1317.0
18,766.0,1348.0
19,715.0,1388.0
20,820.0,1458.0
21,841.0,1659.0
22,750.0,1285.0
23,804.0,1390.0
24,611.0,1377.0
25,632.0,1137.0
26,377.0,698.0
27,1.0,1.0
28,1.0,4.0
29,301.0,552.0
30,226.0,396.0
31,188.0,247.0
32,94.0,204.0
33,235.0,246.0
34,98.0,125.0
35,90.0,310.0
36,119.0,192.0
37,119.0,235.0
38,122.0,343.0
39,161.0,222.0
40,350.0,343.0
41,461.0,767.0
42,592.0,522.0
43,645.0,724.0
44,634.0,687.0
45,842.0,827.0
46,876.0,907.0
47,994.0,1283.0
48,863.0,1251.0
49,923.0,1284.0
50,519.0,806.0
51,609.0,884.0
52,956.0,1126.0
53,1087.0,1830.0
54,1017.0,1678.0
55,1025.0,1765.0
56,871.0,1872.0
57,1110.0,1832.0
58,10.0,1799
59,1121.0,1625.0
60,1319.0,1730.0
61,1243.0,1981.0
62,1110.0,1582.0
63,1257.0,2102.0
64,1275.0,2183.0
65,950.0,1878.0
66,895.0,1020.0
67,1004.0,1504.0
68,758.0,1655.0
69,1340.0,1614.0
70,990.0,840.0
71,772.0,873.0
72,762.0,900.0
73,881.0,1292.0
74,731.0,1115.0
75,665.0,1254.0
76,439.0,598.0
77,303.0,534.0
78,255.0,541.0
79,202.0,435.0
80,257.0,300.0
81,123.0,319.0
82,76.0,192.0
83,67.0,245.0
84,68.0,178.0
85,109.0,94.0
86,82.0,172.0
87,114.0,117.0
88,109.0,198.0
89,115.0,185.0
90,129.0,
91,159.0,151.0
92,169.0,130.0
93,287.0,100.0
94,282.0,130.0
95,275.0,170.0
96,258.0,196.0
97,385.0,394.0
98,5.0,
99,646.0,385.0
100,474.0,285.0
101,308.0,211.0
102,1.0,
103,649.0,312.0
104,1166.0,592.0
105,784.0,466.0
106,810.0,391.0
107,741.0,574.0
108,638.0,771.0
109,898.0,822.0
110,822.0,677.0
111,989.0,618.0
112,832.0,576.0
113,768.0,691.0
114,845.0,753.0
115,903.0,665.0
116,623.0,494.0
117,608.0,695.0
118,873.0,935.0
119,768.0,1068.0
120,780.0,819.0
121,642.0,1026.0
122,538.0,773.0
123,539.0,1065.0
124,661.0,1095.0
125,609.0,1112.0
126,525.0,1158.0
127,631.0,1056.0
128,486.0,869.0
129,365.0,778.0
130,321.0,708.0
131,266.0,508.0
132,192.0,346.0
133,1.0,
134,263.0,310.0
135,67.0,200.0
136,553.0,
137,107.0,162.0
138,81.0,125.0
139,98.0,549.0
140,72.0,262.0
141,137.0,14.0
142,153.0,281.0
143,113.0,321.0
144,168.0,491.0
145,341.0,496.0
146,351.0,645.0
147,312.0,661.0
148,358.0,
149,394.0,849.0
150,487.0,867.0
151,534.0,965.0
152,522.0,646.0
153,232.0,602.0
154,265.0,611.0
