file,Measles,Meningitis
cdi_ca_1956_wk_prov_dbs_Part9_tables.csv,1852.0,7.0
cdi_ca_1956_wk_prov_dbs_Part30_tables.csv,396.0,4.0
cdi_ca_1956_wk_prov_dbs_Part2_tables.csv,1634.0,15.0
cdi_ca_1956_wk_prov_dbs_Part29_tables.csv,552.0,1.0
cdi_ca_1956_wk_prov_dbs_Part28_tables.csv,4.0,198.0
cdi_ca_1956_wk_prov_dbs_Part27_tables.csv,1.0,186.0
cdi_ca_1956_wk_prov_dbs_Part26_tables.csv,698.0,4.0
cdi_ca_1956_wk_prov_dbs_Part25_tables.csv,1137.0,8.0
cdi_ca_1956_wk_prov_dbs_Part24_tables.csv,1377.0,2.0
cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,1390.0,6.0
cdi_ca_1956_wk_prov_dbs_Part22_tables.csv,1285.0,7.0
cdi_ca_1956_wk_prov_dbs_Part31_tables.csv,247.0,7.0
cdi_ca_1956_wk_prov_dbs_Part21_tables.csv,1659.0,6.0
cdi_ca_1956_wk_prov_dbs_Part1_tables.csv,1574.0,4.0
cdi_ca_1956_wk_prov_dbs_Part19_tables.csv,1388.0,8.0
cdi_ca_1956_wk_prov_dbs_Part18_tables.csv,1348.0,6.0
cdi_ca_1956_wk_prov_dbs_Part17_tables.csv,1317.0,3.0
cdi_ca_1956_wk_prov_dbs_Part16_tables.csv,1290.0,5.0
cdi_ca_1956_wk_prov_dbs_Part15_tables.csv,1077.0,9.0
cdi_ca_1956_wk_prov_dbs_Part14_tables.csv,1195.0,3.0
cdi_ca_1956_wk_prov_dbs_Part13_tables.csv,1388.0,10.0
cdi_ca_1956_wk_prov_dbs_Part12_tables.csv,1321.0,3.0
cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,1323.0,7.0
cdi_ca_1956_wk_prov_dbs_Part20_tables.csv,1458.0,8.0
cdi_ca_1956_wk_prov_dbs_Part32_tables.csv,,
cdi_ca_1956_wk_prov_dbs_Part33_tables.csv,204.0,5.0
cdi_ca_1956_wk_prov_dbs_Part34_tables.csv,246.0,2.0
cdi_ca_1956_wk_prov_dbs_Part7_tables.csv,1676.0,7.0
cdi_ca_1956_wk_prov_dbs_Part6_tables.csv,1795.0,2.0
cdi_ca_1956_wk_prov_dbs_Part5_tables.csv,1717.0,3.0
cdi_ca_1956_wk_prov_dbs_Part52_tables.csv,884.0,4.0
cdi_ca_1956_wk_prov_dbs_Part51_tables.csv,806.0,2.0
cdi_ca_1956_wk_prov_dbs_Part50_tables.csv,1284.0,5.0
cdi_ca_1956_wk_prov_dbs_Part4_tables.csv,1779.0,11.0
cdi_ca_1956_wk_prov_dbs_Part49_tables.csv,1251.0,2.0
cdi_ca_1956_wk_prov_dbs_Part48_tables.csv,1283.0,5.0
cdi_ca_1956_wk_prov_dbs_Part47_tables.csv,907.0,5.0
cdi_ca_1956_wk_prov_dbs_Part46_tables.csv,827.0,1.0
cdi_ca_1956_wk_prov_dbs_Part45_tables.csv,687.0,4.0
cdi_ca_1956_wk_prov_dbs_Part44_tables.csv,724.0,5.0
cdi_ca_1956_wk_prov_dbs_Part43_tables.csv,522.0,7.0
cdi_ca_1956_wk_prov_dbs_Part42_tables.csv,767.0,6.0
cdi_ca_1956_wk_prov_dbs_Part41_tables.csv,343.0,5.0
cdi_ca_1956_wk_prov_dbs_Part40_tables.csv,222.0,6.0
cdi_ca_1956_wk_prov_dbs_Part3_tables.csv,1332.0,11.0
cdi_ca_1956_wk_prov_dbs_Part39_tables.csv,343.0,4.0
