source_file,value_at_4,computed_sum,difference,values_used,matches
cdi_ca_1956_wk_prov_dbs_Part1_tables.csv,88,88,0,13:34;16:48;22:2;37:4,True
cdi_ca_1956_wk_prov_dbs_Part2_tables.csv,200,200,0,13:100;16:95;25:4;37:1,True
cdi_ca_1956_wk_prov_dbs_Part3_tables.csv,39,40,-1,10:2;13:26;19:1;28:3;37:8,False
cdi_ca_1956_wk_prov_dbs_Part4_tables.csv,482,482,0,13:85;16:73;22:6;25:2;28:2;37:314,True
cdi_ca_1956_wk_prov_dbs_Part5_tables.csv,115,115,0,13:6;16:104;25:1;28:2;37:2,True
cdi_ca_1956_wk_prov_dbs_Part6_tables.csv,93,93,0,13:26;16:52;25:5;28:9;37:1,True
cdi_ca_1956_wk_prov_dbs_Part7_tables.csv,205,205,0,13:86;16:83;25:4;28:2;37:30,True
cdi_ca_1956_wk_prov_dbs_Part8_tables.csv,104,104,0,13:49;16:32;19:1;25:21;28:1,True
cdi_ca_1956_wk_prov_dbs_Part9_tables.csv,1093,1093,0,13:32;16:72;25:27;28:2;37:960,True
cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,167,167,0,13:27;16:46;25:74;28:2;31:8;37:10,True
cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,2230,2230,0,13:65;16:63;25:26;28:1;37:2075,True
cdi_ca_1956_wk_prov_dbs_Part12_tables.csv,64,64,0,16:46;25:11;28:4;37:3,True
cdi_ca_1956_wk_prov_dbs_Part13_tables.csv,372,372,0,13:86;16:36;25:3;37:247,True
cdi_ca_1956_wk_prov_dbs_Part14_tables.csv,170,170,0,13:80;16:31;25:28;37:31,True
cdi_ca_1956_wk_prov_dbs_Part15_tables.csv,280,273,7,13:49;16:40;28:3;37:181,False
cdi_ca_1956_wk_prov_dbs_Part16_tables.csv,315,315,0,13:165;16:25;25:12;28:1;37:112,True
cdi_ca_1956_wk_prov_dbs_Part17_tables.csv,142,142,0,13:32;16:96;25:2;28:6;37:6,True
cdi_ca_1956_wk_prov_dbs_Part18_tables.csv,161,161,0,13:59;16:79;19:2;25:2;28:6;37:13,True
cdi_ca_1956_wk_prov_dbs_Part19_tables.csv,184,184,0,13:63;16:114;25:1;28:5;37:1,True
cdi_ca_1956_wk_prov_dbs_Part20_tables.csv,145,138,7,13:94;16:28;31:15;37:1,False
cdi_ca_1956_wk_prov_dbs_Part21_tables.csv,161,161,0,13:76;16:79;25:3;28:1;37:2,True
cdi_ca_1956_wk_prov_dbs_Part22_tables.csv,169,169,0,13:89;16:66;28:10;37:4,True
cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,182,182,0,13:129;16:49;25:1;28:3,True
cdi_ca_1956_wk_prov_dbs_Part24_tables.csv,158,158,0,13:88;16:65;19:1;25:3;28:1,True
cdi_ca_1956_wk_prov_dbs_Part25_tables.csv,168,168,0,13:140;16:26;25:1;28:1,True
cdi_ca_1956_wk_prov_dbs_Part26_tables.csv,133,133,0,13:97;16:35;28:1,True
cdi_ca_1956_wk_prov_dbs_Part27_tables.csv,489,497,-8,10:3;13:23;16:19;22:97;25:281;28:22;34:18;37:26;40:8,False
cdi_ca_1956_wk_prov_dbs_Part28_tables.csv,470,478,-8,10:1;13:10;16:13;22:188;25:219;28:10;37:29;40:8,False
cdi_ca_1956_wk_prov_dbs_Part29_tables.csv,127,127,0,13:84;16:34;25:9,True
cdi_ca_1956_wk_prov_dbs_Part30_tables.csv,64,64,0,13:61;16:2;25:1,True
cdi_ca_1956_wk_prov_dbs_Part31_tables.csv,90,90,0,13:66;16:21;25:2;28:1,True
cdi_ca_1956_wk_prov_dbs_Part33_tables.csv,66,67,-1,13:33;16:31;25:2;31:1,False
cdi_ca_1956_wk_prov_dbs_Part34_tables.csv,43,43,0,13:9;16:31;28:2;37:1,True
cdi_ca_1956_wk_prov_dbs_Part35_tables.csv,126,29,97,19:28;31:1,False
cdi_ca_1956_wk_prov_dbs_Part36_tables.csv,55,55,0,13:48;16:3;25:4,True
cdi_ca_1956_wk_prov_dbs_Part37_tables.csv,52,52,0,13:25;16:22;25:3;28:2,True
cdi_ca_1956_wk_prov_dbs_Part38_tables.csv,147,147,0,13:87;16:55;25:5,True
cdi_ca_1956_wk_prov_dbs_Part39_tables.csv,124,124,0,13:38;16:81;25:3;28:2,True
cdi_ca_1956_wk_prov_dbs_Part40_tables.csv,130,130,0,13:38;16:89;37:3,True
cdi_ca_1956_wk_prov_dbs_Part41_tables.csv,75,75,0,13:41;16:34,True
cdi_ca_1956_wk_prov_dbs_Part42_tables.csv,45,45,0,13:29;16:16,True
cdi_ca_1956_wk_prov_dbs_Part43_tables.csv,49,49,0,13:22;16:26;25:1,True
cdi_ca_1956_wk_prov_dbs_Part44_tables.csv,71,71,0,13:57;16:10;25:2;28:2,True
cdi_ca_1956_wk_prov_dbs_Part45_tables.csv,79,79,0,13:61;16:17;25:1,True
cdi_ca_1956_wk_prov_dbs_Part46_tables.csv,120,120,0,13:87;16:32;28:1,True
cdi_ca_1956_wk_prov_dbs_Part47_tables.csv,122,122,0,13:36;16:70;25:1;28:9;37:6,True
cdi_ca_1956_wk_prov_dbs_Part48_tables.csv,253,253,0,13:54;16:197;28:2,True
cdi_ca_1956_wk_prov_dbs_Part49_tables.csv,80,80,0,13:50;16:29;28:1,True
cdi_ca_1956_wk_prov_dbs_Part50_tables.csv,105,105,0,13:50;16:55,True
cdi_ca_1956_wk_prov_dbs_Part51_tables.csv,28,28,0,13:22;16:5;28:1,True
cdi_ca_1956_wk_prov_dbs_Part52_tables.csv,116,116,0,13:57;16:55;25:1;28:3,True
