source_file,value_at_4,computed_sum,difference,values_used,matches
cdi_ca_1956_wk_prov_dbs_Part1_tables.csv,88,94,-6,13:34;16:48;22:2;37:4;40:7,False
cdi_ca_1956_wk_prov_dbs_Part2_tables.csv,200,206,-6,13:100;16:95;25:4;37:1;40:7,False
cdi_ca_1956_wk_prov_dbs_Part3_tables.csv,39,46,-7,10:2;13:26;19:1;28:3;37:8;40:7,False
cdi_ca_1956_wk_prov_dbs_Part4_tables.csv,482,488,-6,13:85;16:73;22:6;25:2;28:2;37:314;40:7,False
cdi_ca_1956_wk_prov_dbs_Part5_tables.csv,115,121,-6,13:6;16:104;25:1;28:2;37:2;40:7,False
cdi_ca_1956_wk_prov_dbs_Part6_tables.csv,93,99,-6,13:26;16:52;25:5;28:9;37:1;40:7,False
cdi_ca_1956_wk_prov_dbs_Part7_tables.csv,205,211,-6,13:86;16:83;25:4;28:2;37:30;40:7,False
cdi_ca_1956_wk_prov_dbs_Part8_tables.csv,104,110,-6,13:49;16:32;19:1;25:21;28:1;40:7,False
cdi_ca_1956_wk_prov_dbs_Part9_tables.csv,1093,1099,-6,13:32;16:72;25:27;28:2;37:960;40:7,False
cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,167,173,-6,13:27;16:46;25:74;28:2;31:8;37:10;40:7,False
cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,2230,2236,-6,13:65;16:63;25:26;28:1;37:2075;40:7,False
cdi_ca_1956_wk_prov_dbs_Part12_tables.csv,64,70,-6,16:46;25:11;28:4;37:3;40:7,False
cdi_ca_1956_wk_prov_dbs_Part13_tables.csv,372,378,-6,13:86;16:36;25:3;37:247;40:7,False
cdi_ca_1956_wk_prov_dbs_Part14_tables.csv,170,176,-6,13:80;16:31;25:28;37:31;40:7,False
cdi_ca_1956_wk_prov_dbs_Part15_tables.csv,280,286,-6,13:49;16:40;25:7;28:3;37:181;40:7,False
cdi_ca_1956_wk_prov_dbs_Part16_tables.csv,315,321,-6,13:165;16:25;25:12;28:1;37:112;40:7,False
cdi_ca_1956_wk_prov_dbs_Part17_tables.csv,142,148,-6,13:32;16:96;25:2;28:6;37:6;40:7,False
cdi_ca_1956_wk_prov_dbs_Part18_tables.csv,161,167,-6,13:59;16:79;19:2;25:2;28:6;37:13;40:7,False
cdi_ca_1956_wk_prov_dbs_Part19_tables.csv,184,190,-6,13:63;16:114;25:1;28:5;37:1;40:7,False
cdi_ca_1956_wk_prov_dbs_Part20_tables.csv,145,151,-6,13:94;16:28;28:7;31:15;37:1;40:7,False
cdi_ca_1956_wk_prov_dbs_Part21_tables.csv,161,167,-6,13:76;16:79;25:3;28:1;37:2;40:7,False
cdi_ca_1956_wk_prov_dbs_Part22_tables.csv,169,175,-6,13:89;16:66;28:10;37:4;40:7,False
cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,182,188,-6,13:129;16:49;25:1;28:3;40:7,False
cdi_ca_1956_wk_prov_dbs_Part24_tables.csv,158,164,-6,13:88;16:65;19:1;25:3;28:1;40:7,False
cdi_ca_1956_wk_prov_dbs_Part25_tables.csv,168,174,-6,13:140;16:26;25:1;28:1;40:7,False
cdi_ca_1956_wk_prov_dbs_Part26_tables.csv,133,139,-6,13:97;16:35;28:1;40:7,False
cdi_ca_1956_wk_prov_dbs_Part27_tables.csv,489,496,-7,10:3;13:23;16:19;22:97;25:281;28:22;34:18;37:26;40:8,False
cdi_ca_1956_wk_prov_dbs_Part28_tables.csv,470,477,-7,10:1;13:10;16:13;22:188;25:219;28:10;37:29;40:8,False
cdi_ca_1956_wk_prov_dbs_Part29_tables.csv,127,133,-6,13:84;16:34;25:9;40:7,False
cdi_ca_1956_wk_prov_dbs_Part30_tables.csv,64,70,-6,13:61;16:2;25:1;40:7,False
cdi_ca_1956_wk_prov_dbs_Part31_tables.csv,90,96,-6,13:66;16:21;25:2;28:1;40:7,False
cdi_ca_1956_wk_prov_dbs_Part33_tables.csv,66,73,-7,13:33;16:31;25:2;31:1;40:7,False
cdi_ca_1956_wk_prov_dbs_Part34_tables.csv,43,49,-6,13:9;16:31;28:2;37:1;40:7,False
cdi_ca_1956_wk_prov_dbs_Part35_tables.csv,126,28,98,19:28;31:1,False
cdi_ca_1956_wk_prov_dbs_Part36_tables.csv,55,61,-6,13:48;16:3;25:4;40:7,False
cdi_ca_1956_wk_prov_dbs_Part37_tables.csv,52,58,-6,13:25;16:22;25:3;28:2;40:7,False
cdi_ca_1956_wk_prov_dbs_Part38_tables.csv,147,153,-6,13:87;16:55;25:5;40:7,False
