source_file,disease,cases
cdi_ca_1956_wk_prov_dbs_Part1.csv,Chickenpox,927
cdi_ca_1956_wk_prov_dbs_Part1.csv,Measles,1574
cdi_ca_1956_wk_prov_dbs_Part2.csv,Chickenpox,1369
cdi_ca_1956_wk_prov_dbs_Part2.csv,Measles,1634
cdi_ca_1956_wk_prov_dbs_Part3.csv,Chickenpox,1145
cdi_ca_1956_wk_prov_dbs_Part3.csv,Measles,1332
cdi_ca_1956_wk_prov_dbs_Part4.csv,Chickenpox,1345
cdi_ca_1956_wk_prov_dbs_Part4.csv,Measles,1779
cdi_ca_1956_wk_prov_dbs_Part5.csv,Chickenpox,1285
cdi_ca_1956_wk_prov_dbs_Part5.csv,Measles,1717
cdi_ca_1956_wk_prov_dbs_Part6.csv,Chickenpox,1279
cdi_ca_1956_wk_prov_dbs_Part6.csv,Measles,1795
cdi_ca_1956_wk_prov_dbs_Part7.csv,Chickenpox,1303
cdi_ca_1956_wk_prov_dbs_Part7.csv,Measles,1676
cdi_ca_1956_wk_prov_dbs_Part8.csv,Chickenpox,1199
cdi_ca_1956_wk_prov_dbs_Part8.csv,Measles,1947
cdi_ca_1956_wk_prov_dbs_Part9.csv,Chickenpox,1224
cdi_ca_1956_wk_prov_dbs_Part9.csv,Measles,1862
cdi_ca_1956_wk_prov_dbs_Part10.csv,Chickenpox,1111
cdi_ca_1956_wk_prov_dbs_Part10.csv,Measles,1697
cdi_ca_1956_wk_prov_dbs_Part11.csv,Chickenpox,1135
cdi_ca_1956_wk_prov_dbs_Part11.csv,Measles,1323
cdi_ca_1956_wk_prov_dbs_Part12.csv,Chickenpox,1028
cdi_ca_1956_wk_prov_dbs_Part12.csv,Measles,1321
cdi_ca_1956_wk_prov_dbs_Part13.csv,Chickenpox,690
cdi_ca_1956_wk_prov_dbs_Part13.csv,Measles,1388
cdi_ca_1956_wk_prov_dbs_Part14.csv,Chickenpox,813
cdi_ca_1956_wk_prov_dbs_Part14.csv,Measles,1195
cdi_ca_1956_wk_prov_dbs_Part15.csv,Chickenpox,848
cdi_ca_1956_wk_prov_dbs_Part15.csv,Measles,1077
cdi_ca_1956_wk_prov_dbs_Part16.csv,Chickenpox,883
cdi_ca_1956_wk_prov_dbs_Part16.csv,Measles,1290
cdi_ca_1956_wk_prov_dbs_Part17.csv,Chickenpox,871
cdi_ca_1956_wk_prov_dbs_Part17.csv,Measles,1317
cdi_ca_1956_wk_prov_dbs_Part18.csv,Chickenpox,766
cdi_ca_1956_wk_prov_dbs_Part18.csv,Measles,1348
cdi_ca_1956_wk_prov_dbs_Part19.csv,Chickenpox,715
cdi_ca_1956_wk_prov_dbs_Part19.csv,Measles,1388
cdi_ca_1956_wk_prov_dbs_Part20.csv,Chickenpox,820
cdi_ca_1956_wk_prov_dbs_Part20.csv,Measles,1458
cdi_ca_1956_wk_prov_dbs_Part21.csv,Chickenpox,841
cdi_ca_1956_wk_prov_dbs_Part21.csv,Measles,1659
cdi_ca_1956_wk_prov_dbs_Part22.csv,Chickenpox,750
cdi_ca_1956_wk_prov_dbs_Part22.csv,Measles,1285
cdi_ca_1956_wk_prov_dbs_Part23.csv,Chickenpox,804
cdi_ca_1956_wk_prov_dbs_Part23.csv,Measles,1390
cdi_ca_1956_wk_prov_dbs_Part24.csv,Chickenpox,611
cdi_ca_1956_wk_prov_dbs_Part24.csv,Measles,1377
cdi_ca_1956_wk_prov_dbs_Part25.csv,Chickenpox,632
cdi_ca_1956_wk_prov_dbs_Part25.csv,Measles,1137
cdi_ca_1956_wk_prov_dbs_Part26.csv,Chickenpox,377
cdi_ca_1956_wk_prov_dbs_Part26.csv,Measles,698
