source_file,disease,cases
cdi_ca_1956_wk_prov_dbs_Part1_tables.csv,Chickenpox,927
cdi_ca_1956_wk_prov_dbs_Part1_tables.csv,Measles,1574
cdi_ca_1956_wk_prov_dbs_Part2_tables.csv,Chickenpox,1369
cdi_ca_1956_wk_prov_dbs_Part2_tables.csv,Measles,1634
cdi_ca_1956_wk_prov_dbs_Part3_tables.csv,Chickenpox,1145
cdi_ca_1956_wk_prov_dbs_Part3_tables.csv,Measles,1332
cdi_ca_1956_wk_prov_dbs_Part4_tables.csv,Chickenpox,1345
cdi_ca_1956_wk_prov_dbs_Part4_tables.csv,Measles,1779
cdi_ca_1956_wk_prov_dbs_Part5_tables.csv,Chickenpox,1285
cdi_ca_1956_wk_prov_dbs_Part5_tables.csv,Measles,1717
cdi_ca_1956_wk_prov_dbs_Part6_tables.csv,Chickenpox,1279
cdi_ca_1956_wk_prov_dbs_Part6_tables.csv,Measles,1795
cdi_ca_1956_wk_prov_dbs_Part7_tables.csv,Chickenpox,1303
cdi_ca_1956_wk_prov_dbs_Part7_tables.csv,Measles,1676
cdi_ca_1956_wk_prov_dbs_Part8_tables.csv,Chickenpox,1199
cdi_ca_1956_wk_prov_dbs_Part8_tables.csv,Measles,1947
cdi_ca_1956_wk_prov_dbs_Part9_tables.csv,Chickenpox,1224
cdi_ca_1956_wk_prov_dbs_Part9_tables.csv,Measles,1852
cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,Chickenpox,1111
cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,Measles,1697
cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,Chickenpox,1135
cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,Measles,1323
cdi_ca_1956_wk_prov_dbs_Part12_tables.csv,Chickenpox,1028
cdi_ca_1956_wk_prov_dbs_Part12_tables.csv,Measles,1321
cdi_ca_1956_wk_prov_dbs_Part13_tables.csv,Chickenpox,690
cdi_ca_1956_wk_prov_dbs_Part13_tables.csv,Measles,1388
cdi_ca_1956_wk_prov_dbs_Part14_tables.csv,Chickenpox,813
cdi_ca_1956_wk_prov_dbs_Part14_tables.csv,Measles,1195
cdi_ca_1956_wk_prov_dbs_Part15_tables.csv,Chickenpox,848
cdi_ca_1956_wk_prov_dbs_Part15_tables.csv,Measles,1077
cdi_ca_1956_wk_prov_dbs_Part16_tables.csv,Chickenpox,883
cdi_ca_1956_wk_prov_dbs_Part16_tables.csv,Measles,1290
cdi_ca_1956_wk_prov_dbs_Part17_tables.csv,Chickenpox,871
cdi_ca_1956_wk_prov_dbs_Part17_tables.csv,Measles,1317
cdi_ca_1956_wk_prov_dbs_Part18_tables.csv,Chickenpox,766
cdi_ca_1956_wk_prov_dbs_Part18_tables.csv,Measles,1348
cdi_ca_1956_wk_prov_dbs_Part19_tables.csv,Chickenpox,715
cdi_ca_1956_wk_prov_dbs_Part19_tables.csv,Measles,1388
cdi_ca_1956_wk_prov_dbs_Part20_tables.csv,Chickenpox,820
cdi_ca_1956_wk_prov_dbs_Part20_tables.csv,Measles,1458
cdi_ca_1956_wk_prov_dbs_Part21_tables.csv,Chickenpox,841
cdi_ca_1956_wk_prov_dbs_Part21_tables.csv,Measles,1659
cdi_ca_1956_wk_prov_dbs_Part22_tables.csv,Chickenpox,750
cdi_ca_1956_wk_prov_dbs_Part22_tables.csv,Measles,1285
cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,Chickenpox,804
cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,Measles,1390
cdi_ca_1956_wk_prov_dbs_Part24_tables.csv,Chickenpox,611
cdi_ca_1956_wk_prov_dbs_Part24_tables.csv,Measles,1377
cdi_ca_1956_wk_prov_dbs_Part25_tables.csv,Chickenpox,632
cdi_ca_1956_wk_prov_dbs_Part25_tables.csv,Measles,1137
cdi_ca_1956_wk_prov_dbs_Part26_tables.csv,Chickenpox,377
cdi_ca_1956_wk_prov_dbs_Part26_tables.csv,Measles,698
cdi_ca_1956_wk_prov_dbs_Part27_tables.csv,Chickenpox,1
cdi_ca_1956_wk_prov_dbs_Part27_tables.csv,Measles,1
cdi_ca_1956_wk_prov_dbs_Part28_tables.csv,Chickenpox,1
cdi_ca_1956_wk_prov_dbs_Part28_tables.csv,Measles,4
cdi_ca_1956_wk_prov_dbs_Part29_tables.csv,Chickenpox,301
cdi_ca_1956_wk_prov_dbs_Part29_tables.csv,Measles,552
cdi_ca_1956_wk_prov_dbs_Part30_tables.csv,Chickenpox,226
cdi_ca_1956_wk_prov_dbs_Part30_tables.csv,Measles,396
cdi_ca_1956_wk_prov_dbs_Part31_tables.csv,Chickenpox,188
cdi_ca_1956_wk_prov_dbs_Part31_tables.csv,Measles,247
cdi_ca_1956_wk_prov_dbs_Part32_tables.csv,Chickenpox,
cdi_ca_1956_wk_prov_dbs_Part32_tables.csv,Measles,
cdi_ca_1956_wk_prov_dbs_Part33_tables.csv,Chickenpox,94
cdi_ca_1956_wk_prov_dbs_Part33_tables.csv,Measles,204
cdi_ca_1956_wk_prov_dbs_Part34_tables.csv,Chickenpox,235
cdi_ca_1956_wk_prov_dbs_Part34_tables.csv,Measles,246
cdi_ca_1956_wk_prov_dbs_Part35_tables.csv,Chickenpox,98
cdi_ca_1956_wk_prov_dbs_Part35_tables.csv,Measles,125
cdi_ca_1956_wk_prov_dbs_Part36_tables.csv,Chickenpox,90
cdi_ca_1956_wk_prov_dbs_Part36_tables.csv,Measles,310
cdi_ca_1956_wk_prov_dbs_Part37_tables.csv,Chickenpox,119
cdi_ca_1956_wk_prov_dbs_Part37_tables.csv,Measles,192
cdi_ca_1956_wk_prov_dbs_Part38_tables.csv,Chickenpox,119
cdi_ca_1956_wk_prov_dbs_Part38_tables.csv,Measles,235
cdi_ca_1956_wk_prov_dbs_Part39_tables.csv,Chickenpox,122
cdi_ca_1956_wk_prov_dbs_Part39_tables.csv,Measles,343
cdi_ca_1956_wk_prov_dbs_Part40_tables.csv,Chickenpox,161
cdi_ca_1956_wk_prov_dbs_Part40_tables.csv,Measles,222
cdi_ca_1956_wk_prov_dbs_Part41_tables.csv,Chickenpox,350
cdi_ca_1956_wk_prov_dbs_Part41_tables.csv,Measles,343
cdi_ca_1956_wk_prov_dbs_Part42_tables.csv,Chickenpox,461
cdi_ca_1956_wk_prov_dbs_Part42_tables.csv,Measles,767
cdi_ca_1956_wk_prov_dbs_Part43_tables.csv,Chickenpox,592
cdi_ca_1956_wk_prov_dbs_Part43_tables.csv,Measles,522
cdi_ca_1956_wk_prov_dbs_Part44_tables.csv,Chickenpox,645
cdi_ca_1956_wk_prov_dbs_Part44_tables.csv,Measles,724
cdi_ca_1956_wk_prov_dbs_Part45_tables.csv,Chickenpox,634
cdi_ca_1956_wk_prov_dbs_Part45_tables.csv,Measles,687
cdi_ca_1956_wk_prov_dbs_Part46_tables.csv,Chickenpox,842
cdi_ca_1956_wk_prov_dbs_Part46_tables.csv,Measles,827
cdi_ca_1956_wk_prov_dbs_Part47_tables.csv,Chickenpox,876
cdi_ca_1956_wk_prov_dbs_Part47_tables.csv,Measles,907
cdi_ca_1956_wk_prov_dbs_Part48_tables.csv,Chickenpox,994
cdi_ca_1956_wk_prov_dbs_Part48_tables.csv,Measles,1283
cdi_ca_1956_wk_prov_dbs_Part49_tables.csv,Chickenpox,863
cdi_ca_1956_wk_prov_dbs_Part49_tables.csv,Measles,1251
cdi_ca_1956_wk_prov_dbs_Part50_tables.csv,Chickenpox,923
cdi_ca_1956_wk_prov_dbs_Part50_tables.csv,Measles,1284
cdi_ca_1956_wk_prov_dbs_Part51_tables.csv,Chickenpox,519
cdi_ca_1956_wk_prov_dbs_Part51_tables.csv,Measles,806
cdi_ca_1956_wk_prov_dbs_Part52_tables.csv,Chickenpox,609
cdi_ca_1956_wk_prov_dbs_Part52_tables.csv,Measles,884
1957week_0001_tables.csv,Chickenpox,956
1957week_0001_tables.csv,Measles,1126
1957week_0002_tables.csv,Chickenpox,1087
1957week_0002_tables.csv,Measles,1830
1957week_0003_tables.csv,Chickenpox,1017
