source_file,disease,cases
cdi_ca_1958_wk_prov_dbs__0001__w1.csv,Measles,312
cdi_ca_1958_wk_prov_dbs__0001__w1.csv,Meningitis,1
cdi_ca_1958_wk_prov_dbs__0002__w2.csv,Measles,592
cdi_ca_1958_wk_prov_dbs__0002__w2.csv,Meningitis,10
cdi_ca_1958_wk_prov_dbs__0003__w3.csv,Measles,466
cdi_ca_1958_wk_prov_dbs__0003__w3.csv,Meningitis,11
cdi_ca_1958_wk_prov_dbs__0004__w4.csv,Measles,391
cdi_ca_1958_wk_prov_dbs__0004__w4.csv,Meningitis,16
cdi_ca_1958_wk_prov_dbs__0005__w5.csv,Measles,574
cdi_ca_1958_wk_prov_dbs__0005__w5.csv,Meningitis,5
cdi_ca_1958_wk_prov_dbs__0006__w6.csv,Measles,771
cdi_ca_1958_wk_prov_dbs__0006__w6.csv,Meningitis,14
cdi_ca_1958_wk_prov_dbs__0007__w7.csv,Measles,822
cdi_ca_1958_wk_prov_dbs__0007__w7.csv,Meningitis,5
cdi_ca_1958_wk_prov_dbs__0008__w8.csv,Measles,677
cdi_ca_1958_wk_prov_dbs__0008__w8.csv,Meningitis,6
cdi_ca_1958_wk_prov_dbs__0009__w9.csv,Measles,618
cdi_ca_1958_wk_prov_dbs__0009__w9.csv,Meningitis,7
cdi_ca_1958_wk_prov_dbs__0010__w10.csv,Measles,576
cdi_ca_1958_wk_prov_dbs__0010__w10.csv,Meningitis,4
cdi_ca_1958_wk_prov_dbs__0011__w11.csv,Measles,691
cdi_ca_1958_wk_prov_dbs__0011__w11.csv,Meningitis,6
cdi_ca_1958_wk_prov_dbs__0012__w12.csv,Measles,753
cdi_ca_1958_wk_prov_dbs__0012__w12.csv,Meningitis,2
cdi_ca_1958_wk_prov_dbs__0013__w13.csv,Measles,665
cdi_ca_1958_wk_prov_dbs__0013__w13.csv,Meningitis,4
cdi_ca_1958_wk_prov_dbs__0014__w14.csv,Measles,494
cdi_ca_1958_wk_prov_dbs__0014__w14.csv,Meningitis,7
cdi_ca_1958_wk_prov_dbs__0015__w15.csv,Measles,695
cdi_ca_1958_wk_prov_dbs__0015__w15.csv,Meningitis,11
cdi_ca_1958_wk_prov_dbs__0016__w16.csv,Measles,935
cdi_ca_1958_wk_prov_dbs__0016__w16.csv,Meningitis,8
cdi_ca_1958_wk_prov_dbs__0017__w17.csv,Measles,1068
cdi_ca_1958_wk_prov_dbs__0017__w17.csv,Meningitis,4
cdi_ca_1958_wk_prov_dbs__0018__w18.csv,Measles,819
cdi_ca_1958_wk_prov_dbs__0018__w18.csv,Meningitis,6
cdi_ca_1958_wk_prov_dbs__0019__w19.csv,Measles,1026
cdi_ca_1958_wk_prov_dbs__0019__w19.csv,Meningitis,7
cdi_ca_1958_wk_prov_dbs__0020__w20.csv,Measles,773
cdi_ca_1958_wk_prov_dbs__0020__w20.csv,Meningitis,2
cdi_ca_1958_wk_prov_dbs__0021__w21.csv,Measles,1065
cdi_ca_1958_wk_prov_dbs__0021__w21.csv,Meningitis,5
cdi_ca_1958_wk_prov_dbs__0022__w22.csv,Measles,1095
cdi_ca_1958_wk_prov_dbs__0022__w22.csv,Meningitis,5
cdi_ca_1958_wk_prov_dbs__0023__w23.csv,Measles,1112
cdi_ca_1958_wk_prov_dbs__0023__w23.csv,Meningitis,3
cdi_ca_1958_wk_prov_dbs__0024__w24.csv,Measles,1158
cdi_ca_1958_wk_prov_dbs__0024__w24.csv,Meningitis,6
cdi_ca_1958_wk_prov_dbs__0025__w25.csv,Measles,1056
cdi_ca_1958_wk_prov_dbs__0025__w25.csv,Meningitis,4
cdi_ca_1958_wk_prov_dbs__0026__w26.csv,Measles,869
cdi_ca_1958_wk_prov_dbs__0026__w26.csv,Meningitis,8
cdi_ca_1958_wk_prov_dbs__0027__w27.csv,Measles,778
cdi_ca_1958_wk_prov_dbs__0027__w27.csv,Meningitis,4
cdi_ca_1958_wk_prov_dbs__0028__w28.csv,Measles,708
cdi_ca_1958_wk_prov_dbs__0028__w28.csv,Meningitis,2
cdi_ca_1958_wk_prov_dbs__0029__w29.csv,Measles,508
cdi_ca_1958_wk_prov_dbs__0029__w29.csv,Meningitis,3
cdi_ca_1958_wk_prov_dbs__0030__w30.csv,Measles,346
cdi_ca_1958_wk_prov_dbs__0030__w30.csv,Meningitis,6
cdi_ca_1958_wk_prov_dbs__0031__w31.csv,Measles,267
cdi_ca_1958_wk_prov_dbs__0031__w31.csv,Meningitis,7
cdi_ca_1958_wk_prov_dbs__0032__w32.csv,Measles,310
cdi_ca_1958_wk_prov_dbs__0032__w32.csv,Meningitis,6
cdi_ca_1958_wk_prov_dbs__0033__w33.csv,Measles,200
cdi_ca_1958_wk_prov_dbs__0033__w33.csv,Meningitis,7
cdi_ca_1958_wk_prov_dbs__0034__w34.csv,Measles,144
cdi_ca_1958_wk_prov_dbs__0034__w34.csv,Meningitis,6
cdi_ca_1958_wk_prov_dbs__0035__w35.csv,Measles,162
cdi_ca_1958_wk_prov_dbs__0035__w35.csv,Meningitis,3
cdi_ca_1958_wk_prov_dbs__0036__w36.csv,Measles,125
cdi_ca_1958_wk_prov_dbs__0036__w36.csv,Meningitis,4
cdi_ca_1958_wk_prov_dbs__0037__w37.csv,Measles,549
cdi_ca_1958_wk_prov_dbs__0037__w37.csv,Meningitis,2
cdi_ca_1958_wk_prov_dbs__0038__w38.csv,Measles,262
cdi_ca_1958_wk_prov_dbs__0038__w38.csv,Meningitis,10
cdi_ca_1958_wk_prov_dbs__0039__w39.csv,Measles,294
cdi_ca_1958_wk_prov_dbs__0039__w39.csv,Meningitis,3
cdi_ca_1958_wk_prov_dbs__0040__w40.csv,Measles,281
cdi_ca_1958_wk_prov_dbs__0040__w40.csv,Meningitis,3
cdi_ca_1958_wk_prov_dbs__0041__w41.csv,Measles,321
cdi_ca_1958_wk_prov_dbs__0041__w41.csv,Meningitis,4
cdi_ca_1958_wk_prov_dbs__0042__w42.csv,Measles,491
cdi_ca_1958_wk_prov_dbs__0042__w42.csv,Meningitis,5
cdi_ca_1958_wk_prov_dbs__0043__w43.csv,Measles,469
cdi_ca_1958_wk_prov_dbs__0043__w43.csv,Meningitis,3
cdi_ca_1958_wk_prov_dbs__0044__w44.csv,Measles,645
cdi_ca_1958_wk_prov_dbs__0044__w44.csv,Meningitis,6
cdi_ca_1958_wk_prov_dbs__0045__w45.csv,Measles,661
cdi_ca_1958_wk_prov_dbs__0045__w45.csv,Meningitis,8
cdi_ca_1958_wk_prov_dbs__0046__w46.csv,Measles,873
cdi_ca_1958_wk_prov_dbs__0046__w46.csv,Meningitis,1
cdi_ca_1958_wk_prov_dbs__0047__w47.csv,Measles,849
cdi_ca_1958_wk_prov_dbs__0047__w47.csv,Meningitis,4
cdi_ca_1958_wk_prov_dbs__0048__w48.csv,Measles,867
cdi_ca_1958_wk_prov_dbs__0048__w48.csv,Meningitis,5
cdi_ca_1958_wk_prov_dbs__0049__w49.csv,Measles,965
cdi_ca_1958_wk_prov_dbs__0049__w49.csv,Meningitis,2
cdi_ca_1958_wk_prov_dbs__0050__w50.csv,Measles,646
cdi_ca_1958_wk_prov_dbs__0050__w50.csv,Meningitis,3
cdi_ca_1958_wk_prov_dbs__0051__w51.csv,Measles,602
cdi_ca_1958_wk_prov_dbs__0051__w51.csv,Meningitis,4
cdi_ca_1958_wk_prov_dbs__0052__w52.csv,Measles,611
cdi_ca_1958_wk_prov_dbs__0052__w52.csv,Meningitis,1
cdi_ca_1958_wk_prov_dbs__0053__template.csv,Measles,
cdi_ca_1958_wk_prov_dbs__0053__template.csv,Meningitis,
