source_file,disease,cases
1958week_0001_tables.csv,Measles,
1958week_0001_tables.csv,Meningitis,
1958week_0002_tables.csv,Measles,312
1958week_0002_tables.csv,Meningitis,1
1958week_0003_tables.csv,Measles,592
1958week_0003_tables.csv,Meningitis,10
1958week_0004_tables.csv,Measles,466
1958week_0004_tables.csv,Meningitis,11
1958week_0005_tables.csv,Measles,391
1958week_0005_tables.csv,Meningitis,16
1958week_0006_tables.csv,Measles,574
1958week_0006_tables.csv,Meningitis,5
1958week_0007_tables.csv,Measles,771
1958week_0007_tables.csv,Meningitis,14
1958week_0008_tables.csv,Measles,822
1958week_0008_tables.csv,Meningitis,5
1958week_0009_tables.csv,Measles,677
1958week_0009_tables.csv,Meningitis,6
1958week_0010_tables.csv,Measles,618
1958week_0010_tables.csv,Meningitis,7
1958week_0011_tables.csv,Measles,576
1958week_0011_tables.csv,Meningitis,4
1958week_0012_tables.csv,Measles,691
1958week_0012_tables.csv,Meningitis,6
1958week_0013_tables.csv,Measles,753
1958week_0013_tables.csv,Meningitis,2
1958week_0014_tables.csv,Measles,665
1958week_0014_tables.csv,Meningitis,4
1958week_0015_tables.csv,Measles,494
1958week_0015_tables.csv,Meningitis,7
1958week_0016_tables.csv,Measles,695
1958week_0016_tables.csv,Meningitis,11
1958week_0017_tables.csv,Measles,935
1958week_0017_tables.csv,Meningitis,8
1958week_0018_tables.csv,Measles,1068
1958week_0018_tables.csv,Meningitis,4
1958week_0019_tables.csv,Measles,819
1958week_0019_tables.csv,Meningitis,4
1958week_0020_tables.csv,Measles,1026
1958week_0020_tables.csv,Meningitis,7
1958week_0021_tables.csv,Measles,773
1958week_0021_tables.csv,Meningitis,2
1958week_0022_tables.csv,Measles,1065
1958week_0022_tables.csv,Meningitis,5
1958week_0023_tables.csv,Measles,1095
1958week_0023_tables.csv,Meningitis,5
1958week_0024_tables.csv,Measles,1112
1958week_0024_tables.csv,Meningitis,3
1958week_0025_tables.csv,Measles,1158
1958week_0025_tables.csv,Meningitis,6
1958week_0026_tables.csv,Measles,1056
1958week_0026_tables.csv,Meningitis,4
1958week_0027_tables.csv,Measles,869
1958week_0027_tables.csv,Meningitis,8
1958week_0028_tables.csv,Measles,778
1958week_0028_tables.csv,Meningitis,4
1958week_0029_tables.csv,Measles,708
1958week_0029_tables.csv,Meningitis,2
1958week_0030_tables.csv,Measles,508
1958week_0030_tables.csv,Meningitis,3
1958week_0031_tables.csv,Measles,346
1958week_0031_tables.csv,Meningitis,6
1958week_0032_tables.csv,Measles,
1958week_0032_tables.csv,Meningitis,66
1958week_0033_tables.csv,Measles,310
1958week_0033_tables.csv,Meningitis,6
1958week_0034_tables.csv,Measles,200
1958week_0034_tables.csv,Meningitis,7
1958week_0035_tables.csv,Measles,
1958week_0035_tables.csv,Meningitis,6
1958week_0036_tables.csv,Measles,162
1958week_0036_tables.csv,Meningitis,3
1958week_0037_tables.csv,Measles,125
1958week_0037_tables.csv,Meningitis,4
1958week_0038_tables.csv,Measles,549
1958week_0038_tables.csv,Meningitis,2
1958week_0039_tables.csv,Measles,262
1958week_0039_tables.csv,Meningitis,10
1958week_0040_tables.csv,Measles,14
1958week_0040_tables.csv,Meningitis,6
1958week_0041_tables.csv,Measles,281
1958week_0041_tables.csv,Meningitis,3
1958week_0042_tables.csv,Measles,321
1958week_0042_tables.csv,Meningitis,4
1958week_0043_tables.csv,Measles,491
1958week_0043_tables.csv,Meningitis,4
1958week_0044_tables.csv,Measles,496
1958week_0044_tables.csv,Meningitis,3
1958week_0045_tables.csv,Measles,645
1958week_0045_tables.csv,Meningitis,6
1958week_0046_tables.csv,Measles,661
1958week_0046_tables.csv,Meningitis,8
1958week_0047_tables.csv,Measles,
1958week_0047_tables.csv,Meningitis,8
1958week_0048_tables.csv,Measles,849
1958week_0048_tables.csv,Meningitis,4
1958week_0049_tables.csv,Measles,867
1958week_0049_tables.csv,Meningitis,5
1958week_0050_tables.csv,Measles,965
1958week_0050_tables.csv,Meningitis,2
1958week_0051_tables.csv,Measles,646
1958week_0051_tables.csv,Meningitis,3
1958week_0052_tables.csv,Measles,602
1958week_0052_tables.csv,Meningitis,4
1958week_0053_tables.csv,Measles,611
1958week_0053_tables.csv,Meningitis,1
