source_file,value_at_4,computed_sum,values_used,matches
cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,904,830,12:2;15:3;21:216;24:369;27:35;36:195;39:10,False
cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,820,1149,12:6;15:9;21:202;24:623;27:78;36:221;39:10,False
cdi_ca_1956_wk_prov_dbs_Part12_tables.csv,1139,936,21:301;24:360;27:46;36:219;39:10,False
cdi_ca_1956_wk_prov_dbs_Part13_tables.csv,926,725,12:14;15:3;21:104;24:404;27:51;30:1;36:138;39:10,False
cdi_ca_1956_wk_prov_dbs_Part14_tables.csv,716,719,12:12;15:6;21:170;24:352;27:36;30:2;36:131;39:10,False
cdi_ca_1956_wk_prov_dbs_Part15_tables.csv,709,862,12:5;15:26;21:209;24:421;27:36;36:155;39:10,False
cdi_ca_1956_wk_prov_dbs_Part16_tables.csv,852,1060,9:1;12:18;15:11;21:223;24:496;27:66;36:235;39:10,False
cdi_ca_1956_wk_prov_dbs_Part17_tables.csv,1057,793,9:1;12:7;15:13;21:217;24:388;27:25;36:132;39:10,False
cdi_ca_1956_wk_prov_dbs_Part18_tables.csv,784,801,12:7;15:9;21:173;24:372;27:39;36:191;39:10,False
cdi_ca_1956_wk_prov_dbs_Part19_tables.csv,791,686,12:22;15:9;21:145;24:337;27:20;30:1;36:142;39:10,False
cdi_ca_1956_wk_prov_dbs_Part1_tables.csv,481,819,12:6;15:3;21:64;24:585;27:2;36:149;39:10,False
cdi_ca_1956_wk_prov_dbs_Part20_tables.csv,676,552,12:13;15:6;21:95;24:310;27:17;36:101;39:10,False
cdi_ca_1956_wk_prov_dbs_Part21_tables.csv,542,584,12:10;15:19;21:92;24:341;27:17;36:95;39:10,False
cdi_ca_1956_wk_prov_dbs_Part22_tables.csv,574,639,12:37;21:131;24:297;27:37;36:127;39:10,False
cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,629,672,9:1;12:6;15:8;21:146;24:373;27:22;36:106;39:10,False
cdi_ca_1956_wk_prov_dbs_Part24_tables.csv,662,501,9:1;12:21;21:101;24:260;27:24;36:84;39:10,False
cdi_ca_1956_wk_prov_dbs_Part25_tables.csv,491,427,12:8;15:3;21:45;24:259;27:21;36:81;39:10,False
cdi_ca_1956_wk_prov_dbs_Part26_tables.csv,417,305,12:10;21:23;24:193;27:9;36:60;39:10,False
cdi_ca_1956_wk_prov_dbs_Part27_tables.csv,3,16,21:1;24:1;30:1;36:2;39:11,False
cdi_ca_1956_wk_prov_dbs_Part28_tables.csv,5,13,24:2;39:11,False
cdi_ca_1956_wk_prov_dbs_Part29_tables.csv,198,148,12:4;21:24;24:77;27:4;30:2;36:27;39:10,False
cdi_ca_1956_wk_prov_dbs_Part2_tables.csv,811,933,9:1;12:14;15:4;21:122;24:576;27:35;36:171;39:10,False
cdi_ca_1956_wk_prov_dbs_Part30_tables.csv,138,160,15:1;21:17;24:110;27:4;36:18;39:10,False
cdi_ca_1956_wk_prov_dbs_Part31_tables.csv,150,138,9:1;21:20;24:64;27:4;36:39;39:10,False
cdi_ca_1956_wk_prov_dbs_Part33_tables.csv,134,110,9:1;15:3;21:16;24:46;27:8;36:26;39:10,False
cdi_ca_1956_wk_prov_dbs_Part34_tables.csv,100,137,15:12;21:14;24:60;27:9;36:32;39:10,False
cdi_ca_1956_wk_prov_dbs_Part35_tables.csv,127,106,15:6;21:3;24:67;27:5;36:15;39:10,False
cdi_ca_1956_wk_prov_dbs_Part36_tables.csv,96,146,9:1;21:14;24:74;27:9;36:38;39:10,False
cdi_ca_1956_wk_prov_dbs_Part37_tables.csv,141,163,15:6;21:14;24:67;27:7;36:59;39:10,False
cdi_ca_1956_wk_prov_dbs_Part38_tables.csv,153,149,9:1;15:2;21:17;24:64;27:13;36:42;39:10,False
cdi_ca_1956_wk_prov_dbs_Part39_tables.csv,139,175,15:8;21:33;24:68;27:9;30:3;36:44;39:10,False
cdi_ca_1956_wk_prov_dbs_Part3_tables.csv,923,719,12:6;21:122;24:391;27:34;30:1;36:155;39:10,False
cdi_ca_1956_wk_prov_dbs_Part40_tables.csv,177,179,15:13;21:6;24:75;27:6;36:69;39:10,False
cdi_ca_1956_wk_prov_dbs_Part41_tables.csv,169,194,15:18;21:15;24:91;27:9;36:51;39:10,False
cdi_ca_1956_wk_prov_dbs_Part42_tables.csv,184,222,15:6;21:54;24:66;27:14;36:72;39:10,False
cdi_ca_1956_wk_prov_dbs_Part43_tables.csv,227,302,15:8;21:38;24:126;27:12;36:108;39:10,False
cdi_ca_1956_wk_prov_dbs_Part44_tables.csv,292,362,15:2;21:41;24:208;27:11;36:90;39:10,False
cdi_ca_1956_wk_prov_dbs_Part45_tables.csv,368,393,15:5;21:91;24:160;27:19;36:108;39:10,False
cdi_ca_1956_wk_prov_dbs_Part46_tables.csv,384,436,12:4;15:32;21:78;24:131;27:10;36:171;39:10,False
cdi_ca_1956_wk_prov_dbs_Part47_tables.csv,426,504,12:6;15:41;21:44;24:202;27:19;36:182;39:10,False
cdi_ca_1956_wk_prov_dbs_Part48_tables.csv,494,550,12:2;15:60;21:70;24:171;27:36;36:201;39:10,False
cdi_ca_1956_wk_prov_dbs_Part49_tables.csv,543,595,15:14;21:72;24:132;27:40;36:327;39:10,False
cdi_ca_1956_wk_prov_dbs_Part4_tables.csv,1007,5229,9:4207;12:3;15:4;18:22;24:163;27:408;30:48;33:78;36:33;39:263,False
cdi_ca_1956_wk_prov_dbs_Part50_tables.csv,589,561,12:4;15:45;21:222;27:17;36:263;39:10,False
cdi_ca_1956_wk_prov_dbs_Part51_tables.csv,778,488,12:4;15:12;21:132;27:22;36:308;39:10,False
cdi_ca_1956_wk_prov_dbs_Part52_tables.csv,710,320,12:7;15:3;21:78;24:204;27:18;39:10,False
cdi_ca_1956_wk_prov_dbs_Part5_tables.csv,1007,1094,12:15;15:11;21:283;24:520;27:33;36:222;39:10,False
cdi_ca_1956_wk_prov_dbs_Part6_tables.csv,1084,886,9:1;12:14;15:3;21:230;24:381;27:42;30:3;36:202;39:10,False
cdi_ca_1956_wk_prov_dbs_Part7_tables.csv,876,896,12:16;15:1;21:176;24:401;27:49;30:1;36:242;39:10,False
cdi_ca_1956_wk_prov_dbs_Part8_tables.csv,886,1112,12:6;15:5;21:226;24:683;27:47;36:135;39:10,False
cdi_ca_1956_wk_prov_dbs_Part9_tables.csv,1102,904,12:11;15:3;21:220;24:412;27:37;30:7;36:214,False
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,904,830,12:2;15:3;21:216;24:369;27:35;36:195;39:10,False
padded_cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,820,1149,12:6;15:9;21:202;24:623;27:78;36:221;39:10,False
padded_cdi_ca_1956_wk_prov_dbs_Part12_tables.csv,1139,936,21:301;24:360;27:46;36:219;39:10,False
padded_cdi_ca_1956_wk_prov_dbs_Part13_tables.csv,926,725,12:14;15:3;21:104;24:404;27:51;30:1;36:138;39:10,False
padded_cdi_ca_1956_wk_prov_dbs_Part14_tables.csv,716,719,12:12;15:6;21:170;24:352;27:36;30:2;36:131;39:10,False
padded_cdi_ca_1956_wk_prov_dbs_Part15_tables.csv,709,862,12:5;15:26;21:209;24:421;27:36;36:155;39:10,False
padded_cdi_ca_1956_wk_prov_dbs_Part16_tables.csv,852,1060,9:1;12:18;15:11;21:223;24:496;27:66;36:235;39:10,False
padded_cdi_ca_1956_wk_prov_dbs_Part17_tables.csv,1057,793,9:1;12:7;15:13;21:217;24:388;27:25;36:132;39:10,False
padded_cdi_ca_1956_wk_prov_dbs_Part18_tables.csv,784,801,12:7;15:9;21:173;24:372;27:39;36:191;39:10,False
padded_cdi_ca_1956_wk_prov_dbs_Part19_tables.csv,791,686,12:22;15:9;21:145;24:337;27:20;30:1;36:142;39:10,False
padded_cdi_ca_1956_wk_prov_dbs_Part1_tables.csv,481,819,12:6;15:3;21:64;24:585;27:2;36:149;39:10,False
padded_cdi_ca_1956_wk_prov_dbs_Part20_tables.csv,676,552,12:13;15:6;21:95;24:310;27:17;36:101;39:10,False
padded_cdi_ca_1956_wk_prov_dbs_Part21_tables.csv,542,584,12:10;15:19;21:92;24:341;27:17;36:95;39:10,False
padded_cdi_ca_1956_wk_prov_dbs_Part22_tables.csv,574,639,12:37;21:131;24:297;27:37;36:127;39:10,False
padded_cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,629,672,9:1;12:6;15:8;21:146;24:373;27:22;36:106;39:10,False
padded_cdi_ca_1956_wk_prov_dbs_Part24_tables.csv,662,501,9:1;12:21;21:101;24:260;27:24;36:84;39:10,False
padded_cdi_ca_1956_wk_prov_dbs_Part25_tables.csv,491,427,12:8;15:3;21:45;24:259;27:21;36:81;39:10,False
padded_cdi_ca_1956_wk_prov_dbs_Part26_tables.csv,417,305,12:10;21:23;24:193;27:9;36:60;39:10,False
padded_cdi_ca_1956_wk_prov_dbs_Part27_tables.csv,3,16,21:1;24:1;30:1;36:2;39:11,False
padded_cdi_ca_1956_wk_prov_dbs_Part28_tables.csv,5,13,24:2;39:11,False
padded_cdi_ca_1956_wk_prov_dbs_Part29_tables.csv,198,148,12:4;21:24;24:77;27:4;30:2;36:27;39:10,False
padded_cdi_ca_1956_wk_prov_dbs_Part2_tables.csv,811,933,9:1;12:14;15:4;21:122;24:576;27:35;36:171;39:10,False
padded_cdi_ca_1956_wk_prov_dbs_Part30_tables.csv,138,160,15:1;21:17;24:110;27:4;36:18;39:10,False
padded_cdi_ca_1956_wk_prov_dbs_Part31_tables.csv,150,138,9:1;21:20;24:64;27:4;36:39;39:10,False
padded_cdi_ca_1956_wk_prov_dbs_Part32_tables.csv,116,131,9:1;15:3;21:20;24:64;27:4;36:39,False
padded_cdi_ca_1956_wk_prov_dbs_Part33_tables.csv,134,110,9:1;15:3;21:16;24:46;27:8;36:26;39:10,False
padded_cdi_ca_1956_wk_prov_dbs_Part34_tables.csv,100,137,15:12;21:14;24:60;27:9;36:32;39:10,False
padded_cdi_ca_1956_wk_prov_dbs_Part35_tables.csv,127,106,15:6;21:3;24:67;27:5;36:15;39:10,False
padded_cdi_ca_1956_wk_prov_dbs_Part36_tables.csv,96,146,9:1;21:14;24:74;27:9;36:38;39:10,False
padded_cdi_ca_1956_wk_prov_dbs_Part37_tables.csv,141,163,15:6;21:14;24:67;27:7;36:59;39:10,False
padded_cdi_ca_1956_wk_prov_dbs_Part38_tables.csv,153,149,9:1;15:2;21:17;24:64;27:13;36:42;39:10,False
padded_cdi_ca_1956_wk_prov_dbs_Part39_tables.csv,139,175,15:8;21:33;24:68;27:9;30:3;36:44;39:10,False
padded_cdi_ca_1956_wk_prov_dbs_Part3_tables.csv,923,719,12:6;21:122;24:391;27:34;30:1;36:155;39:10,False
padded_cdi_ca_1956_wk_prov_dbs_Part40_tables.csv,177,179,15:13;21:6;24:75;27:6;36:69;39:10,False
padded_cdi_ca_1956_wk_prov_dbs_Part41_tables.csv,169,194,15:18;21:15;24:91;27:9;36:51;39:10,False
padded_cdi_ca_1956_wk_prov_dbs_Part42_tables.csv,184,222,15:6;21:54;24:66;27:14;36:72;39:10,False
padded_cdi_ca_1956_wk_prov_dbs_Part43_tables.csv,227,302,15:8;21:38;24:126;27:12;36:108;39:10,False
padded_cdi_ca_1956_wk_prov_dbs_Part44_tables.csv,292,362,15:2;21:41;24:208;27:11;36:90;39:10,False
padded_cdi_ca_1956_wk_prov_dbs_Part45_tables.csv,368,393,15:5;21:91;24:160;27:19;36:108;39:10,False
padded_cdi_ca_1956_wk_prov_dbs_Part46_tables.csv,384,436,12:4;15:32;21:78;24:131;27:10;36:171;39:10,False
padded_cdi_ca_1956_wk_prov_dbs_Part47_tables.csv,426,504,12:6;15:41;21:44;24:202;27:19;36:182;39:10,False
padded_cdi_ca_1956_wk_prov_dbs_Part48_tables.csv,494,550,12:2;15:60;21:70;24:171;27:36;36:201;39:10,False
padded_cdi_ca_1956_wk_prov_dbs_Part49_tables.csv,543,595,15:14;21:72;24:132;27:40;36:327;39:10,False
padded_cdi_ca_1956_wk_prov_dbs_Part4_tables.csv,1007,5229,9:4207;12:3;15:4;18:22;24:163;27:408;30:48;33:78;36:33;39:263,False
padded_cdi_ca_1956_wk_prov_dbs_Part50_tables.csv,589,561,12:4;15:45;21:222;27:17;36:263;39:10,False
padded_cdi_ca_1956_wk_prov_dbs_Part51_tables.csv,778,488,12:4;15:12;21:132;27:22;36:308;39:10,False
padded_cdi_ca_1956_wk_prov_dbs_Part52_tables.csv,710,320,12:7;15:3;21:78;24:204;27:18;39:10,False
padded_cdi_ca_1956_wk_prov_dbs_Part5_tables.csv,1007,1094,12:15;15:11;21:283;24:520;27:33;36:222;39:10,False
padded_cdi_ca_1956_wk_prov_dbs_Part6_tables.csv,1084,886,9:1;12:14;15:3;21:230;24:381;27:42;30:3;36:202;39:10,False
padded_cdi_ca_1956_wk_prov_dbs_Part7_tables.csv,876,896,12:16;15:1;21:176;24:401;27:49;30:1;36:242;39:10,False
padded_cdi_ca_1956_wk_prov_dbs_Part8_tables.csv,886,1112,12:6;15:5;21:226;24:683;27:47;36:135;39:10,False
padded_cdi_ca_1956_wk_prov_dbs_Part9_tables.csv,1102,904,12:11;15:3;21:220;24:412;27:37;30:7;36:214,False
