source_file,value_at_4,computed_sum,values_used,matches
cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2072,2208,9:12;15:31;21:1266;24:534;27:8;33:7;36:336;39:14,False
cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,2194,2168,15:34;21:1027;24:657;27:8;33:17;36:411;39:14,False
cdi_ca_1956_wk_prov_dbs_Part12_tables.csv,2154,2523,9:5;15:25;21:1373;24:356;27:7;33:6;36:737;39:14,False
cdi_ca_1956_wk_prov_dbs_Part13_tables.csv,2509,1850,9:22;15:19;21:790;24:298;27:22;33:8;36:677;39:14,False
cdi_ca_1956_wk_prov_dbs_Part14_tables.csv,1836,2650,9:5;15:30;21:966;24:1255;27:3;33:15;36:362;39:14,False
cdi_ca_1956_wk_prov_dbs_Part15_tables.csv,2636,2658,9:1;15:25;21:1108;24:760;27:3;33:21;36:726;39:14,False
cdi_ca_1956_wk_prov_dbs_Part16_tables.csv,2644,2943,9:4;15:29;21:953;24:1208;27:7;33:17;36:711;39:14,False
cdi_ca_1956_wk_prov_dbs_Part17_tables.csv,2929,2132,9:2;15:13;21:786;24:805;27:4;33:8;36:500;39:14,False
cdi_ca_1956_wk_prov_dbs_Part18_tables.csv,2120,2100,9:1;15:10;21:828;24:488;27:6;30:1;33:16;36:736;39:14,False
cdi_ca_1956_wk_prov_dbs_Part19_tables.csv,2087,1902,9:1;15:22;21:772;24:555;27:7;30:2;33:16;36:513;39:14,False
cdi_ca_1956_wk_prov_dbs_Part1_tables.csv,298,451,9:2;15:19;21:310;24:70;33:8;36:28;39:14,False
cdi_ca_1956_wk_prov_dbs_Part20_tables.csv,1921,3421,15:8;21:859;24:2077;27:8;36:455;39:14,False
cdi_ca_1956_wk_prov_dbs_Part21_tables.csv,3422,1783,15:12;21:609;24:670;27:1;33:28;36:449;39:14,False
cdi_ca_1956_wk_prov_dbs_Part22_tables.csv,,2489,9:1;15:11;21:958;24:1022;27:7;33:25;36:451;39:14,False
cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,2475,1831,9:2;15:24;21:546;24:698;27:3;33:29;36:515;39:14,False
cdi_ca_1956_wk_prov_dbs_Part24_tables.csv,1817,1667,9:1;15:32;21:481;24:586;27:4;33:19;36:530;39:14,False
cdi_ca_1956_wk_prov_dbs_Part25_tables.csv,1653,982,9:1;15:38;21:152;24:497;27:1;33:19;36:260;39:14,False
cdi_ca_1956_wk_prov_dbs_Part26_tables.csv,974,580,15:12;21:70;24:208;27:2;33:19;36:255;39:14,False
cdi_ca_1956_wk_prov_dbs_Part27_tables.csv,172,146,12:8;15:39;21:9;24:57;27:1;30:2;33:11;36:4;39:15,False
cdi_ca_1956_wk_prov_dbs_Part28_tables.csv,132,120,9:1;12:10;15:22;18:1;21:17;24:20;27:1;30:24;36:9;39:15,False
cdi_ca_1956_wk_prov_dbs_Part29_tables.csv,242,265,15:8;21:111;24:49;33:16;36:67;39:14,False
cdi_ca_1956_wk_prov_dbs_Part2_tables.csv,460,1227,9:6;15:61;21:899;24:139;27:3;33:13;36:92;39:14,False
cdi_ca_1956_wk_prov_dbs_Part30_tables.csv,251,174,15:10;21:36;24:60;33:8;36:46;39:14,False
cdi_ca_1956_wk_prov_dbs_Part31_tables.csv,160,297,9:5;15:2;21:181;24:43;27:2;33:14;36:36;39:14,False
cdi_ca_1956_wk_prov_dbs_Part33_tables.csv,94,102,21:18;24:23;27:1;30:1;33:13;36:32;39:14,False
cdi_ca_1956_wk_prov_dbs_Part34_tables.csv,88,85,9:1;21:25;24:25;30:1;33:6;36:13;39:14,False
cdi_ca_1956_wk_prov_dbs_Part35_tables.csv,73,117,9:1;15:3;21:1;24:74;27:4;33:8;36:12;39:14,False
cdi_ca_1956_wk_prov_dbs_Part36_tables.csv,103,127,9:1;15:1;21:74;24:16;33:9;36:12;39:14,False
cdi_ca_1956_wk_prov_dbs_Part37_tables.csv,113,77,21:9;24:31;33:8;36:15;39:14,False
cdi_ca_1956_wk_prov_dbs_Part38_tables.csv,92,109,15:3;21:10;24:38;27:2;33:6;36:36;39:14,False
cdi_ca_1956_wk_prov_dbs_Part39_tables.csv,95,85,15:1;21:23;24:22;27:1;30:3;33:4;36:17;39:14,False
cdi_ca_1956_wk_prov_dbs_Part3_tables.csv,1213,857,9:7;21:534;24:233;27:1;33:7;36:61;39:14,False
cdi_ca_1956_wk_prov_dbs_Part40_tables.csv,71,84,21:15;24:26;33:9;36:20;39:14,False
cdi_ca_1956_wk_prov_dbs_Part41_tables.csv,70,123,15:1;21:47;24:22;33:13;36:26;39:14,False
cdi_ca_1956_wk_prov_dbs_Part42_tables.csv,109,123,21:21;24:47;27:1;33:7;36:33;39:14,False
cdi_ca_1956_wk_prov_dbs_Part43_tables.csv,109,169,15:4;21:30;24:24;33:15;36:82;39:14,False
cdi_ca_1956_wk_prov_dbs_Part44_tables.csv,155,224,21:116;24:44;36:50;39:14,False
cdi_ca_1956_wk_prov_dbs_Part45_tables.csv,239,140,21:19;24:31;33:31;36:45;39:14,False
cdi_ca_1956_wk_prov_dbs_Part46_tables.csv,131,183,15:14;21:29;24:32;33:13;36:81;39:14,False
cdi_ca_1956_wk_prov_dbs_Part47_tables.csv,169,262,15:4;21:69;24:61;33:18;36:96;39:14,False
cdi_ca_1956_wk_prov_dbs_Part48_tables.csv,248,308,15:3;21:113;24:33;33:33;36:112;39:14,False
cdi_ca_1956_wk_prov_dbs_Part49_tables.csv,294,265,15:4;21:74;24:16;33:80;36:77;39:14,False
cdi_ca_1956_wk_prov_dbs_Part4_tables.csv,884,1379,9:5;15:46;21:851;24:300;27:1;30:1;33:27;36:134;39:14,False
cdi_ca_1956_wk_prov_dbs_Part50_tables.csv,251,349,21:135;33:44;36:156;39:14,False
cdi_ca_1956_wk_prov_dbs_Part51_tables.csv,372,245,21:48;27:4;33:90;36:89;39:14,False
cdi_ca_1956_wk_prov_dbs_Part52_tables.csv,249,93,15:1;21:28;24:35;33:15;39:14,False
cdi_ca_1956_wk_prov_dbs_Part5_tables.csv,1365,1256,15:36;21:832;24:229;27:2;30:1;33:33;36:109;39:14,False
cdi_ca_1956_wk_prov_dbs_Part6_tables.csv,1242,1510,9:22;15:73;21:951;24:293;27:7;30:2;33:26;36:122;39:14,False
cdi_ca_1956_wk_prov_dbs_Part7_tables.csv,1496,1485,9:4;15:41;21:999;24:260;27:12;33:13;36:142;39:14,False
cdi_ca_1956_wk_prov_dbs_Part8_tables.csv,1471,1642,9:5;15:60;21:945;24:434;27:15;33:18;36:151;39:14,False
cdi_ca_1956_wk_prov_dbs_Part9_tables.csv,1628,2086,15:35;21:1334;24:409;27:8;33:29;36:257;39:14,False
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,2072,2208,9:12;15:31;21:1266;24:534;27:8;33:7;36:336;39:14,False
padded_cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,2194,2168,15:34;21:1027;24:657;27:8;33:17;36:411;39:14,False
padded_cdi_ca_1956_wk_prov_dbs_Part12_tables.csv,2154,2523,9:5;15:25;21:1373;24:356;27:7;33:6;36:737;39:14,False
padded_cdi_ca_1956_wk_prov_dbs_Part13_tables.csv,2509,1850,9:22;15:19;21:790;24:298;27:22;33:8;36:677;39:14,False
padded_cdi_ca_1956_wk_prov_dbs_Part14_tables.csv,1836,2650,9:5;15:30;21:966;24:1255;27:3;33:15;36:362;39:14,False
padded_cdi_ca_1956_wk_prov_dbs_Part15_tables.csv,2636,2658,9:1;15:25;21:1108;24:760;27:3;33:21;36:726;39:14,False
padded_cdi_ca_1956_wk_prov_dbs_Part16_tables.csv,2644,2943,9:4;15:29;21:953;24:1208;27:7;33:17;36:711;39:14,False
padded_cdi_ca_1956_wk_prov_dbs_Part17_tables.csv,2929,2132,9:2;15:13;21:786;24:805;27:4;33:8;36:500;39:14,False
padded_cdi_ca_1956_wk_prov_dbs_Part18_tables.csv,2120,2100,9:1;15:10;21:828;24:488;27:6;30:1;33:16;36:736;39:14,False
padded_cdi_ca_1956_wk_prov_dbs_Part19_tables.csv,2087,1902,9:1;15:22;21:772;24:555;27:7;30:2;33:16;36:513;39:14,False
padded_cdi_ca_1956_wk_prov_dbs_Part1_tables.csv,298,451,9:2;15:19;21:310;24:70;33:8;36:28;39:14,False
padded_cdi_ca_1956_wk_prov_dbs_Part20_tables.csv,1921,3421,15:8;21:859;24:2077;27:8;36:455;39:14,False
padded_cdi_ca_1956_wk_prov_dbs_Part21_tables.csv,3422,1783,15:12;21:609;24:670;27:1;33:28;36:449;39:14,False
padded_cdi_ca_1956_wk_prov_dbs_Part22_tables.csv,,2489,9:1;15:11;21:958;24:1022;27:7;33:25;36:451;39:14,False
padded_cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,2475,1831,9:2;15:24;21:546;24:698;27:3;33:29;36:515;39:14,False
padded_cdi_ca_1956_wk_prov_dbs_Part24_tables.csv,1817,1667,9:1;15:32;21:481;24:586;27:4;33:19;36:530;39:14,False
padded_cdi_ca_1956_wk_prov_dbs_Part25_tables.csv,1653,982,9:1;15:38;21:152;24:497;27:1;33:19;36:260;39:14,False
padded_cdi_ca_1956_wk_prov_dbs_Part26_tables.csv,974,580,15:12;21:70;24:208;27:2;33:19;36:255;39:14,False
padded_cdi_ca_1956_wk_prov_dbs_Part27_tables.csv,172,146,12:8;15:39;21:9;24:57;27:1;30:2;33:11;36:4;39:15,False
padded_cdi_ca_1956_wk_prov_dbs_Part28_tables.csv,132,120,9:1;12:10;15:22;18:1;21:17;24:20;27:1;30:24;36:9;39:15,False
padded_cdi_ca_1956_wk_prov_dbs_Part29_tables.csv,242,265,15:8;21:111;24:49;33:16;36:67;39:14,False
padded_cdi_ca_1956_wk_prov_dbs_Part2_tables.csv,460,1227,9:6;15:61;21:899;24:139;27:3;33:13;36:92;39:14,False
padded_cdi_ca_1956_wk_prov_dbs_Part30_tables.csv,251,174,15:10;21:36;24:60;33:8;36:46;39:14,False
padded_cdi_ca_1956_wk_prov_dbs_Part31_tables.csv,160,297,9:5;15:2;21:181;24:43;27:2;33:14;36:36;39:14,False
padded_cdi_ca_1956_wk_prov_dbs_Part32_tables.csv,33,283,9:5;15:2;21:181;24:43;27:2;33:14;36:36,False
padded_cdi_ca_1956_wk_prov_dbs_Part33_tables.csv,94,102,21:18;24:23;27:1;30:1;33:13;36:32;39:14,False
padded_cdi_ca_1956_wk_prov_dbs_Part34_tables.csv,88,85,9:1;21:25;24:25;30:1;33:6;36:13;39:14,False
padded_cdi_ca_1956_wk_prov_dbs_Part35_tables.csv,73,117,9:1;15:3;21:1;24:74;27:4;33:8;36:12;39:14,False
padded_cdi_ca_1956_wk_prov_dbs_Part36_tables.csv,103,127,9:1;15:1;21:74;24:16;33:9;36:12;39:14,False
padded_cdi_ca_1956_wk_prov_dbs_Part37_tables.csv,113,77,21:9;24:31;33:8;36:15;39:14,False
padded_cdi_ca_1956_wk_prov_dbs_Part38_tables.csv,92,109,15:3;21:10;24:38;27:2;33:6;36:36;39:14,False
padded_cdi_ca_1956_wk_prov_dbs_Part39_tables.csv,95,85,15:1;21:23;24:22;27:1;30:3;33:4;36:17;39:14,False
padded_cdi_ca_1956_wk_prov_dbs_Part3_tables.csv,1213,857,9:7;21:534;24:233;27:1;33:7;36:61;39:14,False
padded_cdi_ca_1956_wk_prov_dbs_Part40_tables.csv,71,84,21:15;24:26;33:9;36:20;39:14,False
padded_cdi_ca_1956_wk_prov_dbs_Part41_tables.csv,70,123,15:1;21:47;24:22;33:13;36:26;39:14,False
padded_cdi_ca_1956_wk_prov_dbs_Part42_tables.csv,109,123,21:21;24:47;27:1;33:7;36:33;39:14,False
padded_cdi_ca_1956_wk_prov_dbs_Part43_tables.csv,109,169,15:4;21:30;24:24;33:15;36:82;39:14,False
padded_cdi_ca_1956_wk_prov_dbs_Part44_tables.csv,155,224,21:116;24:44;36:50;39:14,False
padded_cdi_ca_1956_wk_prov_dbs_Part45_tables.csv,239,140,21:19;24:31;33:31;36:45;39:14,False
