source_file,value_at_4,computed_sum,values_used,matches
cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,402,4302,9:3904;12:1;15:6;18:23;21:19;24:87;27:89;30:7;33:21;36:68;39:77,False
cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,415,4670,9:4343;15:7;18:9;21:19;24:100;27:68;30:15;33:10;36:42;39:57,False
cdi_ca_1956_wk_prov_dbs_Part12_tables.csv,333,5198,9:4832;12:3;15:9;18:12;21:10;24:76;27:65;30:18;33:34;36:69;39:70,False
cdi_ca_1956_wk_prov_dbs_Part13_tables.csv,319,5576,9:5272;12:1;15:3;18:31;21:9;24:70;27:67;30:15;33:9;36:49;39:50,False
cdi_ca_1956_wk_prov_dbs_Part14_tables.csv,537,6070,9:5714;15:7;18:6;21:15;24:105;27:74;30:11;33:23;36:50;39:65,False
cdi_ca_1956_wk_prov_dbs_Part15_tables.csv,292,6398,9:6049;12:1;15:4;18:24;21:8;24:91;27:77;30:17;33:17;36:47;39:63,False
cdi_ca_1956_wk_prov_dbs_Part16_tables.csv,348,6627,9:6351;12:2;15:4;18:8;21:7;24:78;27:52;30:12;33:15;36:42;39:56,False
cdi_ca_1956_wk_prov_dbs_Part17_tables.csv,306,6904,9:6618;12:3;15:6;18:26;21:3;24:64;27:75;30:12;33:16;36:31;39:50,False
cdi_ca_1956_wk_prov_dbs_Part18_tables.csv,271,7226,9:6921;12:5;15:7;18:15;21:12;24:86;27:49;30:15;33:20;36:46;39:50,False
cdi_ca_1956_wk_prov_dbs_Part19_tables.csv,291,8476,9:8132;12:3;15:4;18:7;21:6;24:93;27:80;30:22;33:15;36:42;39:72,False
cdi_ca_1956_wk_prov_dbs_Part1_tables.csv,151,182,9:21;18:1;21:40;24:78;27:2;33:18;36:7;39:15,False
cdi_ca_1956_wk_prov_dbs_Part20_tables.csv,316,7792,9:7524;12:2;15:3;18:11;21:7;24:77;27:57;30:8;33:15;36:38;39:50,False
cdi_ca_1956_wk_prov_dbs_Part21_tables.csv,259,7995,9:7746;12:3;15:5;18:11;21:8;24:72;27:40;30:12;33:13;36:29;39:56,False
cdi_ca_1956_wk_prov_dbs_Part22_tables.csv,238,8229,9:7984;12:5;15:2;18:6;21:7;24:91;27:53;30:13;33:9;36:23;39:36,False
cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,213,8531,9:8249;15:4;18:14;21:5;24:84;27:67;30:13;33:15;36:43;39:37,False
cdi_ca_1956_wk_prov_dbs_Part24_tables.csv,176,8725,9:8494;12:6;15:2;18:21;21:2;24:89;27:44;30:8;33:11;36:13;39:35,False
cdi_ca_1956_wk_prov_dbs_Part25_tables.csv,170,8860,9:8666;12:3;15:1;18:6;21:2;24:57;27:48;30:6;33:21;36:20;39:30,False
cdi_ca_1956_wk_prov_dbs_Part26_tables.csv,172,9002,9:8862;12:6;15:3;21:1;24:38;27:30;30:8;33:9;36:24;39:21,False
cdi_ca_1956_wk_prov_dbs_Part27_tables.csv,,0,,False
cdi_ca_1956_wk_prov_dbs_Part28_tables.csv,,0,,False
cdi_ca_1956_wk_prov_dbs_Part29_tables.csv,117,9213,9:9139;12:1;15:2;18:6;21:1;24:14;27:12;30:14;33:2;36:8;39:14,False
cdi_ca_1956_wk_prov_dbs_Part2_tables.csv,172,243,9:6;15:2;21:48;24:138;27:5;30:1;33:10;36:18;39:15,False
