source_file,value_at_4,computed_sum,values_used,matches
cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,197,168,9:8;12:15;15:9;18:1;21:67;24:7;27:4;30:7;33:15;36:7;39:28,False
cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,140,185,9:6;12:9;15:2;18:1;21:78;24:18;27:7;30:1;33:7;36:28;39:28,False
cdi_ca_1956_wk_prov_dbs_Part12_tables.csv,157,188,9:2;21:112;24:11;27:7;30:2;33:15;36:11;39:28,False
cdi_ca_1956_wk_prov_dbs_Part13_tables.csv,179,249,9:34;12:11;15:5;18:2;21:106;24:22;27:2;30:2;33:4;36:33;39:28,False
cdi_ca_1956_wk_prov_dbs_Part14_tables.csv,221,211,9:1;12:16;15:1;21:80;24:17;27:13;30:14;33:7;36:34;39:28,False
cdi_ca_1956_wk_prov_dbs_Part15_tables.csv,183,236,12:15;18:4;21:111;24:24;27:11;33:20;36:23;39:28,False
cdi_ca_1956_wk_prov_dbs_Part16_tables.csv,209,223,12:29;15:3;18:2;21:81;24:17;27:8;30:2;33:10;36:43;39:28,False
cdi_ca_1956_wk_prov_dbs_Part17_tables.csv,195,223,9:5;12:14;15:33;21:72;24:32;27:3;30:2;33:10;36:24;39:28,False
cdi_ca_1956_wk_prov_dbs_Part18_tables.csv,195,225,9:2;12:25;15:5;18:3;21:70;24:19;27:13;30:10;33:14;36:36;39:28,False
cdi_ca_1956_wk_prov_dbs_Part19_tables.csv,197,235,9:1;12:21;21:91;24:25;27:8;30:5;33:29;36:27;39:28,False
cdi_ca_1956_wk_prov_dbs_Part1_tables.csv,118,159,9:2;12:12;15:2;18:2;21:27;24:51;30:5;33:12;36:18;39:28,False
cdi_ca_1956_wk_prov_dbs_Part20_tables.csv,207,193,9:2;12:29;21:68;24:16;27:19;30:12;36:19;39:28,False
cdi_ca_1956_wk_prov_dbs_Part21_tables.csv,180,197,9:7;12:20;18:1;21:97;24:10;27:6;30:5;33:8;36:15;39:28,False
cdi_ca_1956_wk_prov_dbs_Part22_tables.csv,169,173,9:7;12:14;18:1;21:79;24:5;27:16;30:9;33:1;36:13;39:28,False
cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,145,143,12:15;15:2;18:2;21:80;24:6;27:17;30:3;33:2;36:16,False
cdi_ca_1956_wk_prov_dbs_Part24_tables.csv,143,193,12:19;18:2;21:86;24:10;27:8;30:9;33:17;36:14;39:28,False
cdi_ca_1956_wk_prov_dbs_Part25_tables.csv,165,158,12:39;15:3;21:54;24:10;27:8;33:5;36:11;39:28,False
cdi_ca_1956_wk_prov_dbs_Part26_tables.csv,130,121,12:13;15:2;21:23;24:9;27:16;30:5;33:1;36:24;39:28,False
cdi_ca_1956_wk_prov_dbs_Part27_tables.csv,,0,,False
